Table Name,Column Name,Column Datatype,Column Null Option,Primary Key,Restricted,PII
CommonMonthly,SNAPSHOT_DATE,int,NOT NULL,Yes,,
CommonMonthly,AccountNumber,int,NOT NULL,Yes,,
CommonMonthly,GroupCode,nvarchar(200),NULL,,,
CommonMonthly,ProductLevel3Rate,nvarchar(200),NULL,,,
CommonMonthly,ProductDescription,nvarchar(200),NULL,,,
CommonMonthly,Credit_Class,nvarchar(200),NULL,,,Yes
CommonMonthly,HDMALoanPurposeDesc,nvarchar(200),NULL,,,
CommonMonthly,ServicingLoanTypeDesc,nvarchar(200),NULL,,,
CommonMonthly,DocumentationDescription,nvarchar(200),NULL,,,
CommonMonthly,AUTO_MANUAL_APPRVL,nvarchar(200),NULL,,,
CommonMonthly,OriginalLoanAmount,"decimal(16,6)",NULL,,,
CommonMonthly,MonthEndBalanceAmount,"decimal(16,6)",NULL,,,
CommonMonthly,ORIG_JUN_BAL,"decimal(16,6)",NULL,,,
CommonMonthly,CURR_JUN_BAL,"decimal(16,6)",NULL,,,
CommonMonthly,ORIG_SEN_BAL,"decimal(16,6)",NULL,,,
CommonMonthly,CURR_SEN_BAL,"decimal(16,6)",NULL,,,
CommonMonthly,CURR_CRED_LIMIT,"decimal(16,6)",NULL,,,
CommonMonthly,CURR_UNFUND_BAL,"decimal(16,6)",NULL,,,
CommonMonthly,ORIG_FICO,int,NULL,,Yes,Yes
CommonMonthly,FICOClassic08,int,NULL,,Yes,Yes
CommonMonthly,CreditScoreDate,int,NULL,,Yes,Yes
CommonMonthly,StateCode,nchar(2),NULL,,,
CommonMonthly,BORROWER_OCCUP,nvarchar(200),NULL,,,Yes
CommonMonthly,AccountOpenedDate,int,NULL,,,
CommonMonthly,FirstDueDate,int,NULL,,,
CommonMonthly,AccountMaturityDate,int,NULL,,,
CommonMonthly,LoanTerm,int,NULL,,,
CommonMonthly,NextPaymentDueDate,int,NULL,,,
CommonMonthly,CurrentDueDate,int,NULL,,,
CommonMonthly,INT_PAID_THRU_DATE,int,NULL,,,
CommonMonthly,CLBalloon,nchar(1),NULL,,,
CommonMonthly,BALLOON_TERM,int,NULL,,,
CommonMonthly,INT_RATE_TYPE,nvarchar(200),NULL,,,
CommonMonthly,OriginalInterestRate,"decimal(16,6)",NULL,,,
CommonMonthly,AnnualInterestRate,"decimal(16,6)",NULL,,,
