Table Name,Column Name,Column Datatype,Column Null Option,Primary Key,Restricted,PII
DFCU_Settlement,LOAN,bigint,NULL,,,
DFCU_Settlement,OLD_LOAN_NUMBER,bigint,NULL,,,
DFCU_Settlement,CURR_INT,"decimal(16,6)",NULL,,,
DFCU_Settlement,SFEE,"decimal(16,6)",NULL,,,
DFCU_Settlement,NET_INT,"decimal(16,6)",NULL,,,
DFCU_Settlement,CURRENT_BALANCE_as_of_4_06_2022,"decimal(16,6)",NULL,,,
DFCU_Settlement,PARTICIPATION_BALANCE__90_,"decimal(16,6)",NULL,,,
DFCU_Settlement,DUE_DATE,datetime,NULL,,,
DFCU_Settlement,INT_DATE,datetime,NULL,,,
DFCU_Settlement,__OF_DAYS_OF_INT,int,NULL,,,
DFCU_Settlement,90__DAILY_INT_AT_NET_INT,float,NULL,,,
DFCU_Settlement,ACCRUED_INTEREST__90_,float,NULL,,,
DFCU_Settlement,PRICE,"decimal(16,6)",NULL,,,
DFCU_Settlement,PREMIUM__DISCOUNT_,"decimal(16,6)",NULL,,,
DFCU_Settlement,FUNDS_DUE,"decimal(16,6)",NULL,,,
