Table Name,Column Name,Column Datatype,Column Null Option,Primary Key,Restricted,PII
DFCULoad,LOAN_NUMBER,long,NULL,,,
DFCULoad,ORIG_AMT,"decimal(16,6)",NULL,,,
DFCULoad,BALANCE,"decimal(16,6)",NULL,,,
DFCULoad,ORIG_TERM,int,NULL,,,
DFCULoad,REMAINING_TERM,int,NULL,,,
DFCULoad,RATE,"decimal(16,6)",NULL,,,
DFCULoad,ORIG_LTV,"decimal(16,6)",NULL,,,
DFCULoad,CREDIT_SCORE,int,NULL,,,
DFCULoad,DTI,"decimal(16,6)",NULL,,,
DFCULoad,DAYSDEL,int,NULL,,,
DFCULoad,PRODUCT_NAME,nvarchar(50),NULL,,,
DFCULoad,DESC,nvarchar(50),NULL,,,
DFCULoad,NEW_USED,nvarchar(50),NULL,,,
DFCULoad,DIRECT_INDIRECT,nvarchar(50),NULL,,,
DFCULoad,AMOR_LTV,"decimal(16,6)",NULL,,,
DFCULoad,TIMES_DELQ_30_DAYS_LAST_12M,int,NULL,,,
DFCULoad,TIMES_DELQ_90_DAYS_LAST_12M,int,NULL,,,
DFCULoad,NEXT_DUE_DATE,int,NULL,,,
DFCULoad,OPEN_DATE,int,NULL,,,
DFCULoad,FINAL_PMT_DATE,int,NULL,,,
DFCULoad,STATE,nvarchar(50),NULL,,,
DFCULoad,MAKE,nvarchar(50),NULL,,,
DFCULoad,MODEL,nvarchar(50),NULL,,,
DFCULoad,YEAR,int,NULL,,,
DFCULoad,SCHEDULED_PMT,"decimal(16,6)",NULL,,,
DFCULoad,CURRENT_VALUE,int,NULL,,,
DFCULoad,LOAN_APP_NBR,int,NULL,,,
