Table Name,Column Name,Column Datatype,Column Null Option,Primary Key,Restricted,PII
DCU_Monthly,member_nbr,int,NULL,,,
DCU_Monthly,loan_nbr,int,NULL,,,
DCU_Monthly,act_pni_paid,"decimal(16,6)",NULL,,,
DCU_Monthly,age_purchase,int,NULL,,,
DCU_Monthly,amortizationtype,nvarchar(50),NULL,,,
DCU_Monthly,asset_class,nvarchar(50),NULL,,,
DCU_Monthly,auto_manual_apprvl,nvarchar(50),NULL,,,
DCU_Monthly,back_end_ltv,"decimal(16,6)",NULL,,,
DCU_Monthly,bkrpt_chapter,int,NULL,,,
DCU_Monthly,bkrpt_flag,nchar(1),NULL,,,
DCU_Monthly,borrower_age,int,NULL,,,
DCU_Monthly,borrower_occup,nvarchar(50),NULL,,,
DCU_Monthly,borrower_state_code,nvarchar(50),NULL,,,
DCU_Monthly,business_account_flag,nchar(1),NULL,,,
DCU_Monthly,co_borrower_fico,int,NULL,,,
DCU_Monthly,co_borrower_flag,nchar(1),NULL,,,
DCU_Monthly,co_borrower_occup,nvarchar(50),NULL,,,
DCU_Monthly,collateral_make,nvarchar(50),NULL,,,
DCU_Monthly,collateral_model,nvarchar(50),NULL,,,
DCU_Monthly,collateral_type,nvarchar(50),NULL,,,
DCU_Monthly,collateral_year,int,NULL,,,
DCU_Monthly,collateralstate,nvarchar(50),NULL,,,
DCU_Monthly,collateralzipcode,nvarchar(50),NULL,,,
DCU_Monthly,conform_collateral_type,int,NULL,,,
DCU_Monthly,conform_curr_dq_bkt,int,NULL,,,
DCU_Monthly,conform_curr_loan_status,int,NULL,,,
DCU_Monthly,conform_int_rate_index,int,NULL,,,
DCU_Monthly,conform_int_rate_type,int,NULL,,,
DCU_Monthly,conform_interest_accrual_basis,int,NULL,,,
DCU_Monthly,conform_loan_purpose,int,NULL,,,
DCU_Monthly,conform_paymnt_freqncy,int,NULL,,,
DCU_Monthly,conform_product_type,int,NULL,,,
DCU_Monthly,contract_res_value,int,NULL,,,
DCU_Monthly,credit_limit_change_action,int,NULL,,,
DCU_Monthly,credit_union_product_type,nvarchar(50),NULL,,,
DCU_Monthly,creditimpaired,int,NULL,,,
DCU_Monthly,curr_bal,"decimal(16,6)",NULL,,,
DCU_Monthly,curr_collateral_val,"decimal(16,6)",NULL,,,
DCU_Monthly,curr_cred_limit,int,NULL,,,
DCU_Monthly,curr_credit_grade,nchar(1),NULL,,,
DCU_Monthly,curr_dq_bkt,nvarchar(50),NULL,,,
DCU_Monthly,curr_fico,int,NULL,,,
DCU_Monthly,curr_fico_date,int,NULL,,,
DCU_Monthly,curr_int_rate,"decimal(16,6)",NULL,,,
DCU_Monthly,curr_loan_status,nvarchar(50),NULL,,,
DCU_Monthly,curr_unfund_bal,int,NULL,,,
DCU_Monthly,current_p_i_amount_owed,"decimal(16,6)",NULL,,,
DCU_Monthly,date_bank,int,NULL,,,
DCU_Monthly,date_closed,int,NULL,,,
DCU_Monthly,dealer_name,int,NULL,,,
DCU_Monthly,defaultdate,int,NULL,,,
DCU_Monthly,dpd,int,NULL,,,
DCU_Monthly,dq_hist_12,nvarchar(50),NULL,,,
DCU_Monthly,dti_back_orig,"decimal(16,6)",NULL,,,
DCU_Monthly,dti_front_orig,"decimal(16,6)",NULL,,,
DCU_Monthly,estimate_residual_value,int,NULL,,,
DCU_Monthly,exit_type,int,NULL,,,
DCU_Monthly,first_pay_date,int,NULL,,,
DCU_Monthly,first_reset_freq,int,NULL,,,
DCU_Monthly,flag_used,nchar(1),NULL,,,
DCU_Monthly,front_end_ltv,"decimal(16,6)",NULL,,,
DCU_Monthly,instrumentidentifier,long,NULL,,,
DCU_Monthly,int_gross_margin,int,NULL,,,
DCU_Monthly,int_paid_thru_date,int,NULL,,,
DCU_Monthly,int_rate_index,int,NULL,,,
DCU_Monthly,int_rate_type,nvarchar(50),NULL,,,
DCU_Monthly,interest_accrual_basis,nvarchar(50),NULL,,,
DCU_Monthly,last_limit_change_date,int,NULL,,,
DCU_Monthly,lease_factor,int,NULL,,,
DCU_Monthly,loan_desc,nvarchar(50),NULL,,,
DCU_Monthly,loan_id,bigint,NULL,,,
DCU_Monthly,loan_source,nvarchar(50),NULL,,,
DCU_Monthly,maturity_date,int,NULL,,,
DCU_Monthly,nbr_of_times_120_days_delinquent_life_of_loan,int,NULL,,,
DCU_Monthly,nbr_of_times_180_days_delinquent_life_of_loan,int,NULL,,,
DCU_Monthly,nbr_of_times_30_days_delinquent_life_of_loan,int,NULL,,,
DCU_Monthly,nbr_of_times_60_days_delinquent_life_of_loan,int,NULL,,,
DCU_Monthly,nbr_of_times_90_days_delinquent_life_of_loan,int,NULL,,,
DCU_Monthly,next_due_date,int,NULL,,,
DCU_Monthly,orig_bal,int,NULL,,,
DCU_Monthly,orig_collateral_val,int,NULL,,,
DCU_Monthly,orig_cred_limit,int,NULL,,,
DCU_Monthly,orig_credit_grade,nchar(1),NULL,,,
DCU_Monthly,orig_date,nvarchar(50),NULL,,,
DCU_Monthly,orig_fico,int,NULL,,,
DCU_Monthly,orig_int_rate,"decimal(16,6)",NULL,,,
DCU_Monthly,orig_loan_term,int,NULL,,,
DCU_Monthly,orig_ltv,"decimal(16,6)",NULL,,,
