SNAPSHOT_DATE|LOAN_ID|ASSET_CLASS|PRODUCT_TYPE|CREDIT_UNION_PRODUCT_TYPE|CREDIT_CLASS|LOAN_PURPOSE|LOAN_TYPE|DOC_TYPE|AUTO_MANUAL_APPRVL|ORIG_BAL|CURR_BAL|ORIG_JUN_BAL|CURR_JUN_BAL|ORIG_SEN_BAL|CURR_SEN_BAL|CURR_CRED_LIMIT|CURR_UNFUND_BAL|ORIG_FICO|CURR_FICO|CURR_FICO_DATE|DTI_BACK_ORIG|DTI_FRONT_ORIG|BORROWER_STATE_CODE|BORROWER_OCCUP|ORIG_DATE|FIRST_PAY_DATE|MATURITY_DATE|ORIG_LOAN_TERM|WALA|WAM|NEXT_DUE_DATE|PAID_THRU_DATE|INT_PAID_THRU_DATE|BALLOON_FLAG|BALLOON_TERM|INT_RATE_TYPE|ORIG_INT_RATE|CURR_INT_RATE|ACT_PNI_PAID|IO_FLAG|IO_TERM|PPAY_PNLTY_FLAG|PPAY_PNLTY_TERM|OCC_TYPE|PROP_TYPE|PROP_STATE|PROP_CITY|PROP_COUNTY|PROP_ZIP_CODE|PROP_MSA|LIEN_TYPE|SECOND_LIEN_FLAG|LIEN_RELATED_ID|ORIG_APPR_TYPE|ORIG_APPR_VALUE|ORIG_APPR_DATE|REFRESH_APPR_VALUE|REFRESH_APPR_TYPE|REFRESH_APPR_DATE|CURR_BPO_VALUE|BPO_DATE|CURR_AVM_VALUE|CURR_AVM_DATE|SALES_PRICE|ORIG_LTV_FIRST|ORIG_LTV_SEC|CLTV_ORIG|CURR_LTV|CURR_CLTV|CURR_LTV_SEC|CURR_DQ_BKT|CURR_LOAN_STATUS|DPD|BKRPT_FLAG**|BKRPT_CHAPTER|FCL_FLAG|REO_FLAG|DQ_HIST_12|CHARGE_OFF_FLAG|CHARGE_OFF_AMT|RECOVERY_AMT|FFEIC_WRITEDOWN|NBR_OF_TIMES_30_DAYS_DELINQUENT_LIFE_OF_LOAN|NBR_OF_TIMES_60_DAYS_DELINQUENT_LIFE_OF_LOAN|NBR_OF_TIMES_90_DAYS_DELINQUENT_LIFE_OF_LOAN|NBR_OF_TIMES_120_DAYS_DELINQUENT_LIFE_OF_LOAN|NBR_OF_TIMES_180_DAYS_DELINQUENT_LIFE_OF_LOAN|TDR_FLAG|BANKRUPTCY_FILE_DATE|FORE_START_DATE|FORE_SALE_DATE|DATE_REO|MOD_FLAG|TDR_HIST_FLAG|TDR_IMPAIRMENT_AMT|MOD_TYPE|MOD_DATE|NBR_TIMES_MOD|LATEST_MOD_DATE|MOD_RATE|MOD_MAT_DATE|MOD_FORGIVE_BAL|MOD_FORBORNE_BAL|MOD_PNI|MOD_ORIG_LOAN_ID|DQ_BKT_MOD|REFRESH_LTV_MOD|RATE_PRE_MOD|MOD_BAL|PMT_PRE_MOD|PMT_POST_MOD|INT_RATE_INDEX|FIRST_RESET_FREQ|SUBSEQ_RESET_FREQ|INT_GROSS_MARGIN|RATE_LIFE_CAP|RATE_LIFE_FLOOR|RATE_FIRST_CAP|RATE_SUBSEQ_CAP|RATE_FIRST_FLOOR|RATE_SUBSEQ_FLOOR|FIRST_RATE_ADJ_DATE|NEXT_RATE_ADJ_DATE|MTR_RATE_ADJ|NEG_AM_FLAG|NEG_AM_CAP|OPTION_ARM_FLAG|RECAST_TERM|NET_MARGIN|ARM_INITIAL_RATE|FIRST_PMT_ADJ_DATE|NXT_PMT_ADJ_DATE|BACK_DAYS|ORIG_MI_COVERAGE|MI_COMPANY|ORIG_CRED_LIMIT|CREDIT_CLOSED_FLAG|CREDIT_FROZEN_FLAG|CREDIT_LIMIT_CHANGE_ACTION|DRAW_PERIOD|REPAY_PERIOD|HE_TYPE|CURR_UT_RATIO|DATE_LINE_CHANGED|DATE_LINE_CLOSED|MTR_PMT_ADJ|BUSINESS_ACCOUNT_FLAG|EXIT_TYPE|CONFORM_CURR_DQ_BKT|CONFORM_CURR_LOAN_STATUS|CONFORM_DQ_BKT_MOD|CONFORM_DOC_TYPE|CONFORM_INT_RATE_INDEX|CONFORM_INT_RATE_TYPE|CONFORM_LOAN_PURPOSE|CONFORM_LOAN_TYPE|CONFORM_MOD_TYPE|CONFORM_OCC_TYPE|CONFORM_PRODUCT_TYPE|CONFORM_PROPERTY_TYPE
"20220930"|"2109045124"|"MORTGAGE LOAN"|"MORTGAGE"|"30 YR FIXED JUMBO"|"PRIME"|"RefinanceOrCashOut"|"ConventionalResidentialWithoutPrivateMortgageInsur"|"FULL"|"MANUAL"|604000|529277.22900|||||||784||"20220930"|27.57||"GA"||"20211108"||"20511201"|360|10|351||"20220901"|"20220901"|"N"||"FIXED"|2.75|2.75|246.58|||"N"||"OriginalOwnerOccupied"|"Other"|"GA"|"ATLANTA"||30342|"ATLANTA-SANDY SPRINGS-MARIETTA, GA MSA"|"1"|"N"|||910000||0||||||||64.60||66.37|64.60|||"CURRENT"|"Active"|0|"N"||"N"|"N"||"N"||0|||||||"N"|||||"N"|"N"||||||||||||||||||||||2.75|2.75|2.75|2.75|2.75|2.75||||"N"||"N"|||.00|||45||||"N"||||||||||N ||1|1||1|1|1|2|1||1|1|10
"20220930"|"2109950361"|"MORTGAGE LOAN"|"MORTGAGE"|"30 YR FIXED JUMBO"|"PRIME"|"Purchase"|"ConventionalResidentialWithoutPrivateMortgageInsur"|"FULL"|"MANUAL"|1767530|1561621.45500|||||||753||"20220930"|49.10||"FL"||"20210930"||"20511001"|360|12|349||"20220901"|"20220901"|"N"||"FIXED"|3.25|3.25|769.24|||"N"||"OriginalOwnerOccupied"|"Other"|"FL"|"BOCA RATON"||33496|"MIAMI-FORT LAUDERDALE-POMPANO BEACH, FL MSA"|"1"|"N"|||2210000||0||||||||78.50||89.97|78.50|||"CURRENT"|"Active"|0|"N"||"N"|"N"||"N"||0|||||||"N"|||||"N"|"N"||||||||||||||||||||||3.25|3.25|3.25|3.25|3.25|3.25||||"N"||"N"|||.00|||45||||"N"||||||||||N ||1|1||1|1|1|1|1||1|1|10
"20220930"|"2108925135"|"MORTGAGE LOAN"|"MORTGAGE"|"30 YR FIXED JUMBO"|"PRIME"|"RefinanceOrEquity Takeout"|"ConventionalResidentialWithoutPrivateMortgageInsur"|"FULL"|"MANUAL"|618750|547609.09500|||||||761||"20220930"|||"AZ"||"20211025"||"20511101"|360|11|350||"20220901"|"20220901"|"N"||"FIXED"|3.25|3.25|269.28|||"N"||"OriginalOwnerOccupied"|"Other"|"AZ"|"SCOTTSDALE"||85258|"PHOENIX-MESA-SCOTTSDALE, AZ MSA"|"1"|"N"|||825000||0||||||||73.80||75.00|73.80|||"CURRENT"|"Active"|0|"N"||"N"|"N"||"N"||0|||||||"N"|||||"N"|"N"||||||||||||||||||||||3.25|3.25|3.25|3.25|3.25|3.25||||"N"||"N"|||.00|||45||||"N"||||||||||N ||1|1||1|1|1|2|1||1|1|10
"20220930"|"2110133698"|"MORTGAGE LOAN"|"MORTGAGE"|"30 YR FIXED JUMBO"|"PRIME"|"Purchase"|"ConventionalResidentialWithoutPrivateMortgageInsur"|"FULL"|"MANUAL"|968000|857321.89200|||||||793||"20220930"|||"VA"||"20211130"||"20511201"|360|10|351||"20220901"|"20220901"|"N"||"FIXED"|2.88|2.88|401.62|||"N"||"OriginalOwnerOccupied"|"Other"|"VA"|"RESTON"||20194|"WASHINGTON-ARLINGTON-ALEXANDRIA, DC-VA-MD-WV MSA"|"1"|"N"|||1210000||0||||||||78.70||80.00|78.70|||"CURRENT"|"Active"|0|"N"||"N"|"N"||"N"||0|||||||"N"|||||"N"|"N"||||||||||||||||||||||2.88|2.88|2.88|2.88|2.88|2.88||||"N"||"N"|||.00|||45||||"N"||||||||||N ||1|1||1|1|1|1|1||1|1|10
"20220930"|"1406264065"|"MORTGAGE LOAN"|"MORTGAGE"|"15/15 ARM CONFORM"|"PRIME"|"Purchase"|"ConventionalResidentialWithoutPrivateMortgageInsur"|"FULL"|"MANUAL"|330000|.00000|||||||746|847|"20221001"|36.44|22.86|"CA"|"CIVILIAN"|"20140806"||"20440901"|360|99|264||"20210802"|"20210802"|"N"||"ARM"|3.75|3.75|0|||"N"||"OriginalOwnerOccupied"|"SingleFamilyDetached"|"CA"|"RIVERSIDE"||92509|"RIVERSIDE-SAN BERNARDINO-ONTARIO, CA MSA"|"1"|"N"|||540000||0||||||||.00|||.00|||"D180+"|"PaidLoan"|394|"N"||"N"|"N"||"N"||0|||||||"N"|||||"N"|"N"|||||||||||||||||||85||1.00|9.75|1.00|||||"20291001"|"20290901"|84|"N"||"N"|||3.75|"20291001"|"20291001"|45||||"N"||||||||||N |2|8|3||1|1|2|1|1||1|2|1
"20220930"|"2101153386"|"MORTGAGE LOAN"|"MORTGAGE"|"30 YR FIXED JUMBO"|"PRIME"|"RefinanceOrEquity Takeout"|"ConventionalResidentialWithoutPrivateMortgageInsur"|"FULL"|"MANUAL"|1000000|870417.90000|||||||802||"20220930"|||"CO"||"20210216"||"20510301"|360|19|342||"20220901"|"20220901"|"N"||"FIXED"|2.75|2.75|408.24|||"N"||"OriginalOwnerOccupied"|"Condominium"|"CO"|"BOULDER"||80302|"BOULDER, CO MSA"|"1"|"N"|||3337000||0||||||||29.00||29.97|29.00|||"CURRENT"|"Active"|0|"N"||"N"|"N"||"N"||0|||||||"N"|||||"N"|"N"||||||||||||||||||||||2.75|2.75|2.75|2.75|2.75|2.75||||"N"||"N"|||.00|||45||||"N"||||||||||N ||1|1||1|1|1|2|1||1|1|3
"20220930"|"2101154819"|"MORTGAGE LOAN"|"MORTGAGE"|"30 YR FIXED JUMBO"|"PRIME"|"Purchase"|"ConventionalResidentialWithoutPrivateMortgageInsur"|"FULL"|"MANUAL"|1144000|.00000|||||||793||"20220930"|||"NV"||"20211119"||"20511201"|360|10|351||"20220901"|"20220901"|"N"||"FIXED"|3.13|3.13|0|||"N"||"OriginalOwnerOccupied"|"Other"|"NV"|"RENO"||89523|"RENO-SPARKS, NV MSA"|"1"|"N"|||1435000||0||||||||.00||79.79|.00|||"CURRENT"|"PaidLoan"|0|"N"||"N"|"N"||"N"||0|||||||"N"|||||"N"|"N"||||||||||||||||||||||3.13|3.13|3.13|3.13|3.13|3.13||||"N"||"N"|||.00|||45||||"N"||||||||||N |2|1|3||1|1|1|1|1||1|1|10
"20220930"|"2103392019"|"MORTGAGE LOAN"|"MORTGAGE"|"30 YR FIXED JUMBO"|"PRIME"|"Purchase"|"ConventionalResidentialWithoutPrivateMortgageInsur"|"FULL"|"MANUAL"|1068178|944676.06300|||||||745||"20220930"|||"VA"||"20211027"||"20511101"|360|11|350||"20220901"|"20220901"|"N"||"FIXED"|3.00|3.00|450.35|||"N"||"OriginalOwnerOccupied"|"Other"|"VA"|"ALDIE"||20105|"WASHINGTON-ARLINGTON-ALEXANDRIA, DC-VA-MD-WV MSA"|"1"|"N"|||1340000||0||||||||78.60||80.00|78.60|||"CURRENT"|"Active"|0|"N"||"N"|"N"||"N"||0|||||||"N"|||||"N"|"N"||||||||||||||||||||||3.00|3.00|3.00|3.00|3.00|3.00||||"N"||"N"|||.00|||45||||"N"||||||||||N ||1|1||1|1|1|1|1||1|1|10
"20220930"|"2110133737"|"MORTGAGE LOAN"|"MORTGAGE"|"30 YR FIXED JUMBO"|"PRIME"|"Purchase"|"ConventionalResidentialWithoutPrivateMortgageInsur"|"FULL"|"MANUAL"|1143000|1008806.92200|||||||796||"20220930"|||"CA"||"20211103"||"20511201"|360|11|351||"20220901"|"20220901"|"N"||"FIXED"|3.13|3.13|489.63|||"N"||"OriginalOwnerOccupied"|"SingleFamilyDetached"|"CA"|"LAFAYETTE"||94549|"SAN FRANCISCO-OAKLAND-FREMONT, CA MSA"|"1"|"N"|||1525000||0||||||||73.50||74.95|73.50|||"CURRENT"|"Active"|0|"N"||"N"|"N"||"N"||0|||||||"N"|||||"N"|"N"||||||||||||||||||||||3.13|3.13|3.13|3.13|3.13|3.13||||"N"||"N"|||.00|||45||||"N"||||||||||N ||1|1||1|1|1|1|1||1|1|1
"20220930"|"2109026978"|"MORTGAGE LOAN"|"MORTGAGE"|"30 YR FIXED JUMBO"|"PRIME"|"Purchase"|"ConventionalResidentialWithoutPrivateMortgageInsur"|"FULL"|"MANUAL"|695200|615386.62800|||||||719||"20220930"|||"OR"||"20211006"||"20511101"|360|11|350||"20220901"|"20220901"|"N"||"FIXED"|3.38|3.38|307.35|||"N"||"OriginalOwnerOccupied"|"Other"|"OR"|"HAPPY VALLEY"||97086|"PORTLAND-VANCOUVER-BEAVERTON, OR-WA MSA"|"1"|"N"|||870000||0||||||||78.70||80.00|78.70|||"CURRENT"|"Active"|0|"N"||"N"|"N"||"N"||0|||||||"N"|||||"N"|"N"||||||||||||||||||||||3.38|3.38|3.38|3.38|3.38|3.38||||"N"||"N"|||.00|||45||||"N"||||||||||N ||1|1||1|1|1|1|1||1|1|10
"20220930"|"2109066446"|"MORTGAGE LOAN"|"MORTGAGE"|"30 YR FIXED JUMBO"|"PRIME"|"Purchase"|"ConventionalResidentialWithoutPrivateMortgageInsur"|"FULL"|"MANUAL"|611200|540731.89800|||||||765||"20220930"|||"FL"||"20211012"||"20511101"|360|11|350||"20220901"|"20220901"|"N"||"FIXED"|3.13|3.13|261.82|||"N"||"OriginalOwnerOccupied"|"Other"|"FL"|"DESTIN"||32541|"FORT WALTON BEACH-CRESTVIEW-DESTIN, FL MSA"|"1"|"N"|||775000||0||||||||78.60||80.00|78.60|||"CURRENT"|"Active"|0|"N"||"N"|"N"||"N"||0|||||||"N"|||||"N"|"N"||||||||||||||||||||||3.13|3.13|3.13|3.13|3.13|3.13||||"N"||"N"|||.00|||45||||"N"||||||||||N ||1|1||1|1|1|1|1||1|1|10
"20220930"|"2109067351"|"MORTGAGE LOAN"|"MORTGAGE"|"30 YR FIXED JUMBO"|"PRIME"|"Purchase"|"ConventionalResidentialWithoutPrivateMortgageInsur"|"FULL"|"MANUAL"|2000000|1769410.66500|||||||715||"20220930"|||"CA"||"20211019"||"20511101"|360|11|350||"20220901"|"20220901"|"N"||"FIXED"|3.13|3.13|856.75|||"N"||"OriginalOwnerOccupied"|"SingleFamilyDetached"|"CA"|"SAN JOSE"||95120|"SAN JOSE-SUNNYVALE-SANTA CLARA, CA MSA"|"1"|"N"|||2625000||0||||||||74.90||76.19|74.90|||"CURRENT"|"Active"|0|"N"||"N"|"N"||"N"||0|||||||"N"|||||"N"|"N"||||||||||||||||||||||3.13|3.13|3.13|3.13|3.13|3.13||||"N"||"N"|||.00|||45||||"N"||||||||||N ||1|1||1|1|1|1|1||1|1|1
"20220930"|"2104436398"|"MORTGAGE LOAN"|"MORTGAGE"|"30 YR FIXED JUMBO"|"PRIME"|"RefinanceOrEquity Takeout"|"ConventionalResidentialWithoutPrivateMortgageInsur"|"FULL"|"MANUAL"|1312500|.00000|||||||774||"20220930"|||"WA"||"20210519"||"20510601"|360|16|345||"20220401"|"20220401"|"N"||"FIXED"|3.88|3.88|0|||"N"||"OriginalOwnerOccupied"|"Other"|"WA"|"WOODINVILLE"||98072|"SEATTLE-TACOMA-BELLEVUE, WA MSA"|"1"|"N"|||1750000||0||||||||.00||75.00|.00|||"D150"|"PaidLoan"|152|"N"||"N"|"N"||"N"||0|||||||"N"|||||"N"|"N"||||||||||||||||||||||3.88|3.88|3.88|3.88|3.88|3.88||||"N"||"N"|||.00|||45||||"N"||||||||||N |2|6|3||1|1|1|2|1||1|1|10
"20220930"|"2103404127"|"MORTGAGE LOAN"|"MORTGAGE"|"30 YR FIXED JUMBO"|"PRIME"|"RefinanceOrEquity Takeout"|"ConventionalResidentialWithoutPrivateMortgageInsur"|"FULL"|"MANUAL"|1080000|948525.40800|||||||751||"20220930"|||"OR"||"20210501"||"20510501"|360|17|344||"20220901"|"20220901"|"N"||"FIXED"|3.88|3.88|507.86|||"N"||"OriginalOwnerOccupied"|"SingleFamilyDetached"|"OR"|"PORTLAND"||97225|"PORTLAND-VANCOUVER-BEAVERTON, OR-WA MSA"|"1"|"N"|||1350000||0||||||||78.10||80.00|78.10|||"CURRENT"|"Active"|0|"N"||"N"|"N"||"N"||0|||||||"N"|||||"N"|"N"||||||||||||||||||||||3.88|3.88|3.88|3.88|3.88|3.88||||"N"||"N"|||.00|||45||||"N"||||||||||N ||1|1||1|1|1|2|1||1|1|1
