SNAPSHOT_DATE|LOAN_ID|ASSET_CLASS|PRODUCT_TYPE|CREDIT_UNION_PRODUCT_TYPE|CREDIT_CLASS|LOAN_PURPOSE|LOAN_TYPE|DOC_TYPE|AUTO_MANUAL_APPRVL|ORIG_BAL|CURR_BAL|ORIG_JUN_BAL|CURR_JUN_BAL|ORIG_SEN_BAL|CURR_SEN_BAL|CURR_CRED_LIMIT|CURR_UNFUND_BAL|ORIG_FICO|CURR_FICO|CURR_FICO_DATE|DTI_BACK_ORIG|DTI_FRONT_ORIG|BORROWER_STATE_CODE|BORROWER_OCCUP|ORIG_DATE|FIRST_PAY_DATE|MATURITY_DATE|ORIG_LOAN_TERM|WALA|WAM|NEXT_DUE_DATE|PAID_THRU_DATE|INT_PAID_THRU_DATE|BALLOON_FLAG|BALLOON_TERM|INT_RATE_TYPE|ORIG_INT_RATE|CURR_INT_RATE|ACT_PNI_PAID|IO_FLAG|IO_TERM|PPAY_PNLTY_FLAG|PPAY_PNLTY_TERM|OCC_TYPE|PROP_TYPE|PROP_STATE|PROP_CITY|PROP_COUNTY|PROP_ZIP_CODE|PROP_MSA|LIEN_TYPE|SECOND_LIEN_FLAG|LIEN_RELATED_ID|ORIG_APPR_TYPE|ORIG_APPR_VALUE|ORIG_APPR_DATE|REFRESH_APPR_VALUE|REFRESH_APPR_TYPE|REFRESH_APPR_DATE|CURR_BPO_VALUE|BPO_DATE|CURR_AVM_VALUE|CURR_AVM_DATE|SALES_PRICE|ORIG_LTV_FIRST|ORIG_LTV_SEC|CLTV_ORIG|CURR_LTV|CURR_CLTV|CURR_LTV_SEC|CURR_DQ_BKT|CURR_LOAN_STATUS|DPD|BKRPT_FLAG**|BKRPT_CHAPTER|FCL_FLAG|REO_FLAG|DQ_HIST_12|CHARGE_OFF_FLAG|CHARGE_OFF_AMT|RECOVERY_AMT|FFEIC_WRITEDOWN|NBR_OF_TIMES_30_DAYS_DELINQUENT_LIFE_OF_LOAN|NBR_OF_TIMES_60_DAYS_DELINQUENT_LIFE_OF_LOAN|NBR_OF_TIMES_90_DAYS_DELINQUENT_LIFE_OF_LOAN|NBR_OF_TIMES_120_DAYS_DELINQUENT_LIFE_OF_LOAN|NBR_OF_TIMES_180_DAYS_DELINQUENT_LIFE_OF_LOAN|TDR_FLAG|BANKRUPTCY_FILE_DATE|FORE_START_DATE|FORE_SALE_DATE|DATE_REO|MOD_FLAG|TDR_HIST_FLAG|TDR_IMPAIRMENT_AMT|MOD_TYPE|MOD_DATE|NBR_TIMES_MOD|LATEST_MOD_DATE|MOD_RATE|MOD_MAT_DATE|MOD_FORGIVE_BAL|MOD_FORBORNE_BAL|MOD_PNI|MOD_ORIG_LOAN_ID|DQ_BKT_MOD|REFRESH_LTV_MOD|RATE_PRE_MOD|MOD_BAL|PMT_PRE_MOD|PMT_POST_MOD|INT_RATE_INDEX|FIRST_RESET_FREQ|SUBSEQ_RESET_FREQ|INT_GROSS_MARGIN|RATE_LIFE_CAP|RATE_LIFE_FLOOR|RATE_FIRST_CAP|RATE_SUBSEQ_CAP|RATE_FIRST_FLOOR|RATE_SUBSEQ_FLOOR|FIRST_RATE_ADJ_DATE|NEXT_RATE_ADJ_DATE|MTR_RATE_ADJ|NEG_AM_FLAG|NEG_AM_CAP|OPTION_ARM_FLAG|RECAST_TERM|NET_MARGIN|ARM_INITIAL_RATE|FIRST_PMT_ADJ_DATE|NXT_PMT_ADJ_DATE|BACK_DAYS|ORIG_MI_COVERAGE|MI_COMPANY|ORIG_CRED_LIMIT|CREDIT_CLOSED_FLAG|CREDIT_FROZEN_FLAG|CREDIT_LIMIT_CHANGE_ACTION|DRAW_PERIOD|REPAY_PERIOD|HE_TYPE|CURR_UT_RATIO|DATE_LINE_CHANGED|DATE_LINE_CLOSED|MTR_PMT_ADJ|BUSINESS_ACCOUNT_FLAG|EXIT_TYPE|CONFORM_CURR_DQ_BKT|CONFORM_CURR_LOAN_STATUS|CONFORM_DQ_BKT_MOD|CONFORM_DOC_TYPE|CONFORM_INT_RATE_INDEX|CONFORM_INT_RATE_TYPE|CONFORM_LOAN_PURPOSE|CONFORM_LOAN_TYPE|CONFORM_MOD_TYPE|CONFORM_OCC_TYPE|CONFORM_PRODUCT_TYPE|CONFORM_PROPERTY_TYPE
"20220731"|"2012089206"|"MORTGAGE LOAN"|"MORTGAGE"|"30 YR FIXED JUMBO"|"PRIME"|"Purchase"|"ConventionalResidentialWithoutPrivateMortgageInsur"|"FULL"|"MANUAL"|864000|755017.35300|||||||777||"20220731"|||"CA"||"20201228"||"20510101"|360|19|342||"20220702"|"20220702"|"N"||"FIXED"|3.50|3.50|387.98|||"N"||"OriginalOwnerOccupied"|"SingleFamilyDetached"|"CA"|"SAN GABRIEL"||91775|"LOS ANGELES-LONG BEACH-SANTA ANA, CA MSA"|"1"|"N"|||1080000||0||||||||77.70||80.00|77.70|||"CURRENT"|"Active"|0|"N"||"N"|"N"||"N"||0|||||||"N"|||||"N"|"N"||||||||||||||||||||||3.50|3.50|3.50|3.50|3.50|3.50||||"N"||"N"|||.00|||45||||"N"||||||||||N ||1|1||1|1|1|1|1||1|1|1
"20220731"|"1406274958"|"MORTGAGE LOAN"|"MORTGAGE"|"15/15 ARM JUMBO"|"PRIME"|"RefinanceOrProperty Improvement"|"ConventionalResidentialWithoutPrivateMortgageInsur"|"FULL"|"MANUAL"|720000|.00000|||||||760|847|"20220801"|33.05|24.81|"VA"|"CIVILIAN"|"20140815"||"20440901"|360|94|266||"20200131"|"20200131"|"N"||"ARM"|3.63|3.63|0|||"N"||"OriginalOwnerOccupied"|"SingleFamilyDetached"|"VA"|"FALLS CHURCH"||22043|"WASHINGTON-ARLINGTON-ALEXANDRIA, DC-VA-MD-WV MSA"|"1"|"N"|||980000||0||||||||.00|||.00|||"D180+"|"PaidLoan"|824|"N"||"N"|"N"||"N"||0|||||||"N"|||||"N"|"N"|||||||||||||||||||87||1.00|9.63|1.00|||||"20291001"|"20290901"|86|"N"||"N"|||3.63|"20291001"|"20291001"|45||||"N"||||||||||N |2|8|3||1|1|2|2|1||1|2|1
"20220731"|"1406305306"|"MORTGAGE LOAN"|"MORTGAGE"|"15/15 ARM JUMBO"|"PRIME"|"RefinanceOrProperty Improvement"|"ConventionalResidentialWithoutPrivateMortgageInsur"|"FULL"|"MANUAL"|790000|.00000|||||||799|848|"20220801"|25.60|17.04|"TN"|"RESERVES"|"20140808"||"20440901"|360|97|266||"20210901"|"20210901"|"N"||"ARM"|3.50|3.50|0|||"N"||"OriginalOwnerOccupied"|"SingleFamilyDetached"|"TN"|"MEMPHIS"||38120|"MEMPHIS, TN-AR-MS MSA"|"1"|"N"|||987500||0||||||||.00|||.00|||"D180+"|"PaidLoan"|301|"N"||"N"|"N"||"N"||0|||||||"N"|||||"N"|"N"|||||||||||||||||||87||1.00|9.50|1.00|||||"20291001"|"20290901"|86|"N"||"N"|||3.50|"20291001"|"20291001"|45||||"N"||||||||||N |2|7|3||1|1|2|2|1||1|2|1
"20220731"|"1406306075"|"MORTGAGE LOAN"|"MORTGAGE"|"15/15 ARM CONFORM"|"PRIME"|"RefinanceOrProperty Improvement"|"ConventionalResidentialWithoutPrivateMortgageInsur"|"FULL"|"MANUAL"|315000|235268.59500|||||||752|844|"20220801"|28.61|17.37|"TN"|"CIVILIAN"|"20140801"||"20440901"|360|97|266||"20220702"|"20220702"|"N"||"ARM"|3.50|3.50|141.45|||"N"||"OriginalOwnerOccupied"|"SingleFamilyDetached"|"TN"|"PULASKI"||38478|"TN NONMETROPOLITAN AREA"|"1"|"N"|||401000||0||||||||65.20|||65.20|||"CURRENT"|"Active"|0|"N"||"N"|"N"||"N"||0|||||||"N"|||||"N"|"N"|||||||||||||||||||87||1.00|9.50|1.00|||||"20291001"|"20290901"|86|"N"||"N"|||3.50|"20291001"|"20291001"|45||||"N"||||||||||N ||1|1||1|1|2|2|1||1|2|1
"20220731"|"1406188303"|"MORTGAGE LOAN"|"MORTGAGE"|"15/15 ARM CONFORM"|"PRIME"|"RefinanceOrProperty Improvement"|"ConventionalResidentialWithoutPrivateMortgageInsur"|"FULL"|"MANUAL"|213000|.00000|||||||786|850|"20220801"|33.08|16.24|"NV"|"CIVILIAN"|"20140822"||"20440901"|360|94|266||"20200901"|"20200901"|"N"||"ARM"|3.75|3.63|0|||"N"||"OriginalOwnerOccupied"|"SingleFamilyDetached"|"NV"|"NORTH LAS VEGAS"||89085|"LAS VEGAS-PARADISE, NV MSA"|"1"|"N"|||280000||0||||||||.00|||.00|||"D180+"|"PaidLoan"|610|"N"||"N"|"N"||"N"||0|||||||"N"|||||"N"|"N"|||||||||||||||||||87||1.00|9.63|1.00|||||"20291001"|"20290901"|86|"N"||"N"|||3.75|"20291001"|"20291001"|45||||"N"||||||||||N |2|8|3||1|1|2|2|1||1|2|1
"20220731"|"1407103277"|"MORTGAGE LOAN"|"MORTGAGE"|"15/15 ARM CONFORM"|"PRIME"|"RefinanceOrProperty Improvement"|"ConventionalResidentialWithoutPrivateMortgageInsur"|"FULL"|"MANUAL"|225000|.00000|||||||772|764|"20220801"|29.10|22.36|"WA"|"CIVILIAN"|"20140821"||"20440901"|360|94|266||"20201202"|"20201202"|"N"||"ARM"|3.50|3.50|0|||"N"||"OriginalOwnerOccupied"|"SingleFamilyDetached"|"CA"|"PACIFIC GROVE"||93950|"SALINAS, CA MSA"|"1"|"N"|||1100000||0||||||||.00|||.00|||"D180+"|"PaidLoan"|518|"N"||"N"|"N"||"N"||0|||||||"N"|||||"N"|"N"|||||||||||||||||||87||1.00|9.50|1.00|||||"20291001"|"20290901"|86|"N"||"N"|||3.50|"20291001"|"20291001"|45||||"N"||||||||||N |2|8|3||1|1|2|2|1||1|2|1
"20220731"|"2101187268"|"MORTGAGE LOAN"|"MORTGAGE"|"30 YR FIXED JUMBO"|"PRIME"|"Purchase"|"ConventionalResidentialWithoutPrivateMortgageInsur"|"FULL"|"MANUAL"|622400|543345.38100|||||||756||"20220731"|||"MO"||"20210225"||"20510301"|360|17|344||"20220702"|"20220702"|"N"||"FIXED"|2.88|2.88|258.23|||"N"||"OriginalOwnerOccupied"|"SingleFamilyDetached"|"MO"|"CHESTERFIELD"||63005|"ST. LOUIS, MO-IL MSA"|"1"|"N"|||778000||0||||||||77.60||80.00|77.60|||"CURRENT"|"Active"|0|"N"||"N"|"N"||"N"||0|||||||"N"|||||"N"|"N"||||||||||||||||||||||2.88|2.88|2.88|2.88|2.88|2.88||||"N"||"N"|||.00|||45||||"N"||||||||||N ||1|1||1|1|1|1|1||1|1|1
"20220731"|"2102235782"|"MORTGAGE LOAN"|"MORTGAGE"|"30 YR FIXED JUMBO"|"PRIME"|"RefinanceOrCashOut"|"ConventionalResidentialWithoutPrivateMortgageInsur"|"FULL"|"MANUAL"|822000|720016.20000|||||||764||"20220731"|||"CA"||"20210311"||"20510401"|360|16|345||"20220702"|"20220702"|"N"||"FIXED"|2.88|2.88|341.04|||"N"||"NonOwnerOccupied"|"Other"|"AZ"|"PARKER"||85344|"AZ NONMETROPOLITAN AREA"|"1"|"N"|||1552000||0||||||||51.50||52.96|51.50|||"CURRENT"|"Active"|0|"N"||"N"|"N"||"N"||0|||||||"N"|||||"N"|"N"||||||||||||||||||||||2.88|2.88|2.88|2.88|2.88|2.88||||"N"||"N"|||.00|||45||||"N"||||||||||N ||1|1||1|1|1|2|1||3|1|10
"20220731"|"1409044509"|"MORTGAGE LOAN"|"MORTGAGE"|"15/15 ARM JUMBO"|"PRIME"|"RefinanceOrCashOut"|"ConventionalResidentialWithoutPrivateMortgageInsur"|"FULL"|"MANUAL"|500000|.00000|||||||744|728|"20220801"|37.25|33.48|"VA"|"CIVILIAN"|"20140929"||"20441001"|360|95|267||"20210102"|"20210102"|"N"||"ARM"|3.50|3.50|0|||"N"||"OriginalOwnerOccupied"|"SingleFamilyDetached"|"VA"|"ASHBURN"||20148|"WASHINGTON-ARLINGTON-ALEXANDRIA, DC-VA-MD-WV MSA"|"1"|"N"|||695000||0||||||||.00|||.00|||"D180+"|"PaidLoan"|543|"N"||"N"|"N"||"N"||0|||||||"N"|||||"N"|"N"|||||||||||||||||||88||1.00|9.50|1.00|||||"20291101"|"20291001"|87|"N"||"N"|||3.50|"20291101"|"20291101"|45||||"N"||||||||||N |2|8|3||1|1|2|2|1||1|2|1
"20220731"|"2103414780"|"MORTGAGE LOAN"|"MORTGAGE"|"30 YR FIXED JUMBO"|"PRIME"|"Purchase"|"ConventionalResidentialWithoutPrivateMortgageInsur"|"FULL"|"MANUAL"|2900000|2548248.96600|||||||789||"20220731"|37.34||"TX"||"20210517"||"20510601"|360|14|347||"20220702"|"20220702"|"N"||"FIXED"|2.75|2.75|1183.9|||"N"||"NonOwnerOccupied"|"Other"|"UT"|"PARK CITY"||84060|"SALT LAKE CITY, UT MSA"|"1"|"N"|||4350000||0||||||||68.20||69.88|68.20|||"CURRENT"|"Active"|0|"N"||"N"|"N"||"N"||0|||||||"N"|||||"N"|"N"||||||||||||||||||||||2.75|2.75|2.75|2.75|2.75|2.75||||"N"||"N"|||.00|||45||||"N"||||||||||N ||1|1||1|1|1|1|1||3|1|10
"20220731"|"2104456462"|"MORTGAGE LOAN"|"MORTGAGE"|"30 YR FIXED JUMBO"|"PRIME"|"RefinanceOrEquity Takeout"|"ConventionalResidentialWithoutPrivateMortgageInsur"|"FULL"|"MANUAL"|710000|622521.79200|||||||707||"20220731"|||"AZ"||"20210519"||"20510601"|360|14|347||"20220702"|"20220702"|"N"||"FIXED"|3.88|3.88|333.87|||"N"||"OriginalOwnerOccupied"|"Other"|"AZ"|"GILBERT"||85234|"PHOENIX-MESA-SCOTTSDALE, AZ MSA"|"1"|"N"|||925000||0||||||||74.80||76.76|74.80|||"CURRENT"|"Active"|0|"N"||"N"|"N"||"N"||0|||||||"N"|||||"N"|"N"||||||||||||||||||||||3.88|3.88|3.88|3.88|3.88|3.88||||"N"||"N"|||.00|||45||||"N"||||||||||N ||1|1||1|1|1|2|1||1|1|10
