Table Name,Column Name,Column Datatype,Column Null Option,Primary Key,Restricted,PII,Excluded
CommonMonthly,MonthEndDate,date,NULL,Yes,,,
CommonMonthly,BECUAccountNumber,nvarchar(50),NOT NULL,Yes,,,
CommonMonthly,AccountNumber,bigint,NULL,,Yes,,
CommonMonthly,VendorId,nvarchar(100),NOT NULL,,,,
CommonMonthly,AssetClass,nvarchar(100),NULL,,,,
CommonMonthly,ProductType,nvarchar(100),NULL,,,,
CommonMonthly,ProductDescription,nvarchar(100),NULL,,,,
CommonMonthly,CreditClass,nvarchar(100),NULL,,,,
CommonMonthly,LoanPurposeDesc,nvarchar(100),NULL,,,,
CommonMonthly,ServicingLoanTypeDesc,nvarchar(100),NULL,,,,
CommonMonthly,DocumentationType,nvarchar(100),NULL,,,,
CommonMonthly,ApprovalMethodName,nvarchar(100),NULL,,,,
CommonMonthly,OriginalLoanAmount,"decimal(16,6)",NULL,,,,
CommonMonthly,MonthEndBalanceAmount,"decimal(16,6)",NULL,,,,
CommonMonthly,OriginalJuniorBalance,"decimal(16,6)",NULL,,,,
CommonMonthly,CurrentJuniorBalance,"decimal(16,6)",NULL,,,,
CommonMonthly,OriginalSeniorBalance,"decimal(16,6)",NULL,,,,
CommonMonthly,CurrentSeniorBalance,"decimal(16,6)",NULL,,,,
CommonMonthly,CreditLimitAmount,"decimal(16,6)",NULL,,,,
CommonMonthly,OriginalCreditScore,int,NULL,,,Yes,
CommonMonthly,CurrentCreditScore,int,NULL,,,Yes,
CommonMonthly,CreditScoreDate,date,NULL,,,Yes,
CommonMonthly,OriginalBackendDebtToIncome,"decimal(16,6)",NULL,,,,
CommonMonthly,OriginalFrontendDebtToIncome,"decimal(16,6)",NULL,,,,
CommonMonthly,OriginalBorrowerStateCode,nvarchar(100),NULL,,,,
CommonMonthly,OriginalBorrowerOccupation,nvarchar(100),NULL,,,,
CommonMonthly,AccountOpenedDate,date,NULL,,,,
CommonMonthly,FirstDueDate,date,NULL,,,,
CommonMonthly,AccountMaturityDate,date,NULL,,,,
CommonMonthly,OriginalLoanTerm,int,NULL,,,,
CommonMonthly,NextPaymentDueDate,date,NULL,,,,
CommonMonthly,PaidThruDate,date,NULL,,,,
CommonMonthly,BalloonFlag,nchar(1),NULL,,,,
CommonMonthly,BalloonTerm,int,NULL,,,,
CommonMonthly,InterestRateType,nvarchar(100),NULL,,,,
CommonMonthly,OriginalInterestRate,"decimal(16,6)",NULL,,,,
CommonMonthly,AnnualInterestRate,"decimal(16,6)",NULL,,,,
CommonMonthly,PrincipalAndInterestPMTAmount,"decimal(16,6)",NULL,,,,
CommonMonthly,ARMInterestOnlyOrFullyAmortizing,int,NULL,,,,
CommonMonthly,InterestOnlyTerm,int,NULL,,,,
CommonMonthly,PrepayPenaltyCode,nchar(1),NULL,,,,
CommonMonthly,PrepayPenaltyTerm,int,NULL,,,,
CommonMonthly,OccupancyCode,nvarchar(100),NULL,,,,
CommonMonthly,PropertyTypeDescription,nvarchar(100),NULL,,,,
CommonMonthly,PropertyStateCode,nvarchar(100),NULL,,,Yes,
CommonMonthly,PropertyCityName,nvarchar(100),NULL,,,Yes,
CommonMonthly,PropertyCountyName,int,NULL,,,Yes,
CommonMonthly,PropertyMSA,nvarchar(100),NULL,,,Yes,
CommonMonthly,LienPosition,int,NULL,,,,
CommonMonthly,OriginalAppraisalType,int,NULL,,,,
CommonMonthly,OriginalAppraisalAmount,"decimal(16,6)",NULL,,,,
CommonMonthly,OriginalAppraisalDate,date,NULL,,,,
CommonMonthly,CurrentAppraisalAmount,"decimal(16,6)",NULL,,,,
CommonMonthly,CurrentAppraisalType,int,NULL,,,,
CommonMonthly,CurrentAppraisalDate,date,NULL,,,,
CommonMonthly,FHLBPurchasePriceAmount,"decimal(16,6)",NULL,,,,
CommonMonthly,OriginalLoanToValueAMTFirst,"decimal(16,6)",NULL,,,,
CommonMonthly,OriginalLoanToValueAMTSecond,"decimal(16,6)",NULL,,,,
CommonMonthly,OriginalCombinedLoanToValueAMT,"decimal(16,6)",NULL,,,,
CommonMonthly,CurrentLoanToValueAmount,"decimal(16,6)",NULL,,,,
CommonMonthly,CurrentCombinedLoanToValueAmount,"decimal(16,6)",NULL,,,,
CommonMonthly,CurrentLoanToValueAmountSecond,"decimal(16,6)",NULL,,,,
CommonMonthly,AccountStatusCode,nvarchar(100),NULL,,,,
CommonMonthly,DaysDelinquentCount,int,NULL,,,,
CommonMonthly,BankruptcyStatusCode,nchar(1),NULL,,,,
CommonMonthly,BankruptcyTypeCode,nvarchar(100),NULL,,,,
CommonMonthly,ForeclosureFlag,nchar(1),NULL,,,,
CommonMonthly,RealEstateOwnedFlag,nchar(1),NULL,,,,
CommonMonthly,DelinquencyHistory12MonthString,nvarchar(100),NULL,,,,
CommonMonthly,ChargeOffIndicator,nchar(1),NULL,,,,
