Table Name,Column Name,Column Datatype,Column Null Option,Primary Key,Restricted,PII,NoData
CommonMonthly,MonthEndDate,int,NULL,,,,
CommonMonthly,CurrentAccountNumber,bigint,NULL,,,,
CommonMonthly,AssetClass,nvarchar(100),NULL,,,,
CommonMonthly,ProductType,nvarchar(100),NULL,,,,
CommonMonthly,ProductDescription,nvarchar(100),NULL,,,,
CommonMonthly,CreditClass,nvarchar(100),NULL,,,,
CommonMonthly,LoanPurposeDesc,nvarchar(100),NULL,,,,
CommonMonthly,ServicingLoanTypeDesc,nvarchar(100),NULL,,,,
CommonMonthly,DocumentationType,nvarchar(100),NULL,,,,
CommonMonthly,ApprovalMethodName,nvarchar(100),NULL,,,,
CommonMonthly,OriginalLoanAmount,int,NULL,,,,
CommonMonthly,MonthEndBalanceAmount,"decimal(16,6)",NULL,,,,
CommonMonthly,OriginalJuniorBalance,int,NULL,,,,
CommonMonthly,CurrentJuniorBalance,int,NULL,,,,
CommonMonthly,OriginalSeniorBalance,int,NULL,,,,
CommonMonthly,CurrentSeniorBalance,int,NULL,,,,
CommonMonthly,CreditLimitAmount,int,NULL,,,,
CommonMonthly,OriginalCreditScore,int,NULL,,,,
CommonMonthly,CurrentCreditScore,int,NULL,,,,
CommonMonthly,CreditScoreDate,int,NULL,,,,
CommonMonthly,OriginalBackendDebtToIncome,"decimal(16,6)",NULL,,,,
CommonMonthly,OriginalFrontendDebtToIncome,"decimal(16,6)",NULL,,,,
CommonMonthly,OriginalBorrowerStateCode,nvarchar(100),NULL,,,,
CommonMonthly,OriginalBorrowerOccupation,nvarchar(100),NULL,,,,
CommonMonthly,AccountOpenedDate,nvarchar(100),NULL,,,,
CommonMonthly,FirstDueDate,int,NULL,,,,
CommonMonthly,AccountMaturityDate,int,NULL,,,,
CommonMonthly,OriginalLoanTerm,int,NULL,,,,
CommonMonthly,NextPaymentDueDate,int,NULL,,,,
CommonMonthly,PaidThruDate,int,NULL,,,,
CommonMonthly,BalloonFlag,nchar(1),NULL,,,,
CommonMonthly,BalloonTerm,int,NULL,,,,
CommonMonthly,InterestRateType,nvarchar(100),NULL,,,,
CommonMonthly,OriginalInterestRate,"decimal(16,6)",NULL,,,,
CommonMonthly,AnnualInterestRate,"decimal(16,6)",NULL,,,,
CommonMonthly,PrincipalAndInterestPMTAmount,"decimal(16,6)",NULL,,,,
CommonMonthly,ARMInterestOnlyOrFullyAmortizing,int,NULL,,,,
CommonMonthly,InterestOnlyTerm,int,NULL,,,,
