Step,Name,Count
FilterSourceActivity,Table count,1
FilterSourceActivity,PII count,169
FilterSourceActivity,Restricted count,169
ModelActivity,Input table count,1
ModelActivity,Schema count,4
ModelActivity,Table count,1
ModelActivity,Prefix columns count,2
ModelActivity,Suffix columns count,8
ModelActivity,Relationships columns count,0
ModelActivity,LookupRelationships columns count,1
ModelActivity,Schema count,4
ModelActivity,Table count,1
ModelActivity,Prefix columns count,2
ModelActivity,Suffix columns count,8
ModelActivity,Relationships columns count,0
ModelActivity,LookupRelationships columns count,1
