Table,Column,MapToName
penfed,SNAPSHOT_DATE,MonthEndDate
penfed,LOAN_ID,CurrentAccountNumber
penfed,ASSET_CLASS,AssetClass
penfed,PRODUCT_TYPE,ProductType
penfed,CREDIT_UNION_PRODUCT_TYPE,ProductDescription
penfed,CREDIT_CLASS,CreditClass
penfed,LOAN_PURPOSE,LoanPurposeDesc
penfed,LOAN_TYPE,ServicingLoanTypeDesc
penfed,DOC_TYPE,DocumentationType
penfed,AUTO_MANUAL_APPRVL,ApprovalMethodName
penfed,ORIG_BAL,OriginalLoanAmount
penfed,CURR_BAL,MonthEndBalanceAmount
penfed,ORIG_JUN_BAL,OriginalJuniorBalance
penfed,CURR_JUN_BAL,CurrentJuniorBalance
penfed,ORIG_SEN_BAL,OriginalSeniorBalance
penfed,CURR_SEN_BAL,CurrentSeniorBalance
penfed,CURR_CRED_LIMIT,CreditLimitAmount
penfed,ORIG_FICO,OriginalCreditScore
penfed,CURR_FICO,CurrentCreditScore
penfed,CURR_FICO_DATE,CreditScoreDate
penfed,DTI_BACK_ORIG,OriginalBackendDebtToIncome
penfed,DTI_FRONT_ORIG,OriginalFrontendDebtToIncome
penfed,BORROWER_STATE_CODE,OriginalBorrowerStateCode
penfed,BORROWER_OCCUP,OriginalBorrowerOccupation
penfed,ORIG_DATE,AccountOpenedDate
penfed,FIRST_PAY_DATE,FirstDueDate
penfed,MATURITY_DATE,AccountMaturityDate
penfed,ORIG_LOAN_TERM,OriginalLoanTerm
penfed,NEXT_DUE_DATE,NextPaymentDueDate
penfed,PAID_THRU_DATE,PaidThruDate
penfed,BALLOON_FLAG,BalloonFlag
penfed,BALLOON_TERM,BalloonTerm
penfed,INT_RATE_TYPE,InterestRateType
penfed,ORIG_INT_RATE,OriginalInterestRate
penfed,CURR_INT_RATE,AnnualInterestRate
penfed,ACT_PNI_PAID,PrincipalAndInterestPMTAmount
penfed,IO_FLAG,ARMInterestOnlyOrFullyAmortizing
penfed,IO_TERM,InterestOnlyTerm
penfed,PPAY_PNLTY_FLAG,PrepayPenaltyCode
penfed,PPAY_PNLTY_TERM,PrepayPenaltyTerm
penfed,OCC_TYPE,OccupancyCode
penfed,PROP_TYPE,PropertyTypeDescription
penfed,PROP_STATE,PropertyStateCode
penfed,PROP_CITY,PropertyCityName
penfed,PROP_COUNTY,PropertyCountyName
penfed,PROP_ZIP_CODE,ZipCode5
penfed,PROP_MSA,PropertyMSA
penfed,LIEN_TYPE,LienPosition
penfed,ORIG_APPR_TYPE,OriginalAppraisalType
penfed,ORIG_APPR_VALUE,OriginalAppraisalAmount
penfed,ORIG_APPR_DATE,OriginalAppraisalDate
penfed,REFRESH_APPR_VALUE,CurrentAppraisalAmount
penfed,REFRESH_APPR_TYPE,CurrentAppraisalType
penfed,REFRESH_APPR_DATE,CurrentAppraisalDate
penfed,SALES_PRICE,FHLBPurchasePriceAmount
penfed,ORIG_LTV_FIRST,OriginalLoanToValueAMTFirst
penfed,ORIG_LTV_SEC,OriginalLoanToValueAMTSecond
penfed,CLTV_ORIG,OriginalCombinedLoanToValueAMT
penfed,CURR_LTV,CurrentLoanToValueAmount
penfed,CURR_CLTV,CurrentCombinedLoanToValueAmount
penfed,CURR_LTV_SEC,CurrentLoanToValueAmountSecond
penfed,CURR_LOAN_STATUS,AccountStatusCode
penfed,DPD,DaysDelinquentCount
penfed,BKRPT_FLAG**,BankruptcyStatusCode
penfed,BKRPT_CHAPTER,BankruptcyTypeCode
penfed,FCL_FLAG,ForeclosureFlag
penfed,REO_FLAG,RealEstateOwnedFlag
penfed,DQ_HIST_12,DelinquencyHistory12MonthString
penfed,CHARGE_OFF_FLAG,ChargeOffIndicator
penfed,CHARGE_OFF_AMT,ChargeOffAmount
penfed,RECOVERY_AMT,RecoveryAmount
penfed,FFEIC_WRITEDOWN,FFIECWritedownAmount
penfed,NBR_OF_TIMES_30_DAYS_DELINQUENT_LIFE_OF_LOAN,Total30DaysDQLifeOfLoanCount
penfed,NBR_OF_TIMES_60_DAYS_DELINQUENT_LIFE_OF_LOAN,Total60DaysDQLifeOfLoanCount
penfed,NBR_OF_TIMES_90_DAYS_DELINQUENT_LIFE_OF_LOAN,Total90DaysDQLifeOfLoanCount
penfed,NBR_OF_TIMES_120_DAYS_DELINQUENT_LIFE_OF_LOAN,Total120DaysDQLifeOfLoanCount
penfed,NBR_OF_TIMES_180_DAYS_DELINQUENT_LIFE_OF_LOAN,Total180DaysDQLifeOfLoanCount
penfed,TDR_FLAG,CurrentTDRFlag
penfed,BANKRUPTCY_FILE_DATE,BankruptcyEffectiveDate
penfed,FORE_START_DATE,ForeclosureStartDate
penfed,FORE_SALE_DATE,ForeclosureSaleDate
penfed,DATE_REO,RealEstateOwnedDate
penfed,MOD_FLAG,ModificationFlag
penfed,TDR_HIST_FLAG,TDRLifeOfLoanFlag
penfed,TDR_IMPAIRMENT_AMT,TDRImpairmentAmount
penfed,MOD_TYPE,ModificationType
penfed,MOD_DATE,ModificationDate
penfed,NBR_TIMES_MOD,TotalTimesModCount
penfed,LATEST_MOD_DATE,LastModificationDate
penfed,MOD_RATE,ModificationRate
penfed,MOD_MAT_DATE,ModificationMaturityDate
penfed,MOD_FORGIVE_BAL,ModificationForgiveDate
penfed,MOD_FORBORNE_BAL,ModificationForborneDate
penfed,MOD_PNI,ModificationPrincipalAndInterest
penfed,MOD_ORIG_LOAN_ID,ModificationOriginalLoanID
penfed,DQ_BKT_MOD,DQBucketModification
penfed,REFRESH_LTV_MOD,PostModificationLoanToValue
penfed,RATE_PRE_MOD,PreModificationRate
penfed,MOD_BAL,ModificationBalance
penfed,PMT_PRE_MOD,PreModificationPayment
penfed,PMT_POST_MOD,PostModificationPayment
penfed,INT_RATE_INDEX,RateIndexDescription
penfed,FIRST_RESET_FREQ,FirstResetFrequency
penfed,SUBSEQ_RESET_FREQ,SubsequentResetFrequency
