snapshot_date,loan_id,asset_class,product_type,credit_union_product_type,credit_class,loan_purpose,loan_type,doc_type,auto_manual_apprvl,orig_bal,curr_bal,orig_jun_bal,curr_jun_bal,orig_sen_bal,curr_sen_bal,curr_cred_limit,curr_unfund_bal,orig_fico,curr_fico,curr_fico_date,dti_back_orig,dti_front_orig,borrower_state_code,borrower_occup,orig_date,first_pay_date,maturity_date,orig_loan_term,wala,wam,next_due_date,paid_thru_date,int_paid_thru_date,balloon_flag,balloon_term,int_rate_type,orig_int_rate,curr_int_rate,act_pni_paid,io_flag,io_term,ppay_pnlty_flag,ppay_pnlty_term,occ_type,prop_type,prop_state,prop_city,prop_county,prop_zip_code,prop_msa,lien_type,second_lien_flag,lien_related_id,orig_appr_type,orig_appr_value,orig_appr_date,refresh_appr_value,refresh_appr_type,refresh_appr_date,curr_bpo_value,bpo_date,curr_avm_value,curr_avm_date,sales_price,orig_ltv_first,orig_ltv_sec,cltv_orig,curr_ltv,curr_cltv,curr_ltv_sec,curr_dq_bkt,curr_loan_status,dpd,bkrpt_flag**,bkrpt_chapter,fcl_flag,reo_flag,dq_hist_12,charge_off_flag,charge_off_amt,recovery_amt,ffeic_writedown,nbr_of_times_30_days_delinquent_life_of_loan,nbr_of_times_60_days_delinquent_life_of_loan,nbr_of_times_90_days_delinquent_life_of_loan,nbr_of_times_120_days_delinquent_life_of_loan,nbr_of_times_180_days_delinquent_life_of_loan,tdr_flag,bankruptcy_file_date,fore_start_date,fore_sale_date,date_reo,mod_flag,tdr_hist_flag,tdr_impairment_amt,mod_type,mod_date,nbr_times_mod,latest_mod_date,mod_rate,mod_mat_date,mod_forgive_bal,mod_forborne_bal,mod_pni,mod_orig_loan_id,dq_bkt_mod,refresh_ltv_mod,rate_pre_mod,mod_bal,pmt_pre_mod,pmt_post_mod,int_rate_index,first_reset_freq,subseq_reset_freq,int_gross_margin,rate_life_cap,rate_life_floor,rate_first_cap,rate_subseq_cap,rate_first_floor,rate_subseq_floor,first_rate_adj_date,next_rate_adj_date,mtr_rate_adj,neg_am_flag,neg_am_cap,option_arm_flag,recast_term,net_margin,arm_initial_rate,first_pmt_adj_date,nxt_pmt_adj_date,back_days,orig_mi_coverage,mi_company,orig_cred_limit,credit_closed_flag,credit_frozen_flag,credit_limit_change_action,draw_period,repay_period,he_type,curr_ut_ratio,date_line_changed,date_line_closed,mtr_pmt_adj,business_account_flag,exit_type,conform_curr_dq_bkt,conform_curr_loan_status,conform_dq_bkt_mod,conform_doc_type,conform_int_rate_index,conform_int_rate_type,conform_loan_purpose,conform_loan_type,conform_mod_type,conform_occ_type,conform_product_type,conform_property_type
20220630,1405207612,MORTGAGE LOAN,MORTGAGE,15/15 ARM CONFORM,PRIME,RefinanceOrProperty Improvement,ConventionalResidentialWithoutPrivateMortgageInsur,FULL,MANUAL,350000,218791.44000,,,,,,,783,834,20220701,26.63,20.97,CA,CIVILIAN,20140814,,20440901,360,95,267,,20220601,20220601,N,,ARM,3.63,3.63,159.62,,,N,,OriginalOwnerOccupied,SingleFamilyDetached,CA,CARLSBAD,,92009,"SAN DIEGO-CARLSBAD-SAN MARCOS, CA MSA",1,N,,,978000,,0,,,,,,,,24.90,,,24.90,,,CURRENT,Active,0,N,,N,N,,N,,0,,,,,,,N,,,,,N,N,,,,,,,,,,,,,,,,,,,88,,1.00,9.63,1.00,,,,,20291001,20290901,87,N,,N,,,3.63,20291001,20291001,45,,,,N,,,,,,,,,,"N ",,1,1,,1,1,2,2,1,,1,2,1
20220630,2104527663,MORTGAGE LOAN,MORTGAGE,30 YR FIXED JUMBO,PRIME,Purchase,ConventionalResidentialWithoutPrivateMortgageInsur,FULL,MANUAL,2100000,1852159.86900,,,,,,,723,,20220630,,,CA,,20210521,,20510601,360,13,348,,20220601,20220601,N,,FIXED,3.25,3.25,913.93,,,N,,OriginalOwnerOccupied,SingleFamilyDetached,CA,LOS GATOS,,95030,"SAN JOSE-SUNNYVALE-SANTA CLARA, CA MSA",1,N,,,2800000,,0,,,,,,,,73.50,,75.00,73.50,,,CURRENT,Active,0,N,,N,N,,N,,0,,,,,,,N,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,3.25,3.25,3.25,3.25,3.25,3.25,,,,N,,N,,,.00,,,45,,,,N,,,,,,,,,,"N ",,1,1,,1,1,1,1,1,,1,1,1
20220630,2103382236,MORTGAGE LOAN,MORTGAGE,30 YR FIXED JUMBO,PRIME,Purchase,ConventionalResidentialWithoutPrivateMortgageInsur,FULL,MANUAL,2000000,1756281.99600,,,,,,,801,,20220630,,,IL,,20210527,,20510601,360,13,348,,20220601,20220601,N,,FIXED,2.75,2.75,816.48,,,N,,OriginalOwnerOccupied,SingleFamilyDetached,IL,HINSDALE,,60521,"CHICAGO-NAPERVILLE-JOLIET, IL-IN-WI MSA",1,N,,,3225000,,0,,,,,,,,60.50,,62.02,60.50,,,CURRENT,Active,0,N,,N,N,,N,,0,,,,,,,N,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,2.75,2.75,2.75,2.75,2.75,2.75,,,,N,,N,,,.00,,,45,,,,N,,,,,,,,,,"N ",,1,1,,1,1,1,1,1,,1,1,1
20220630,2104517039,MORTGAGE LOAN,MORTGAGE,30 YR FIXED JUMBO,PRIME,Purchase,ConventionalResidentialWithoutPrivateMortgageInsur,FULL,MANUAL,1335000,1177444.51200,,,,,,,710,,20220630,,,AZ,,20210505,,20510601,360,14,348,,20220601,20220601,N,,FIXED,3.25,3.25,581,,,N,,OriginalOwnerOccupied,Other,AZ,SCOTTSDALE,,85259,"PHOENIX-MESA-SCOTTSDALE, AZ MSA",1,N,,,1835000,,0,,,,,,,,73.50,,75.00,73.50,,,CURRENT,Active,0,N,,N,N,,N,,0,,,,,,,N,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,3.25,3.25,3.25,3.25,3.25,3.25,,,,N,,N,,,.00,,,45,,,,N,,,,,,,,,,"N ",,1,1,,1,1,1,1,1,,1,1,10
20220630,2107735782,MORTGAGE LOAN,MORTGAGE,30 YR FIXED JUMBO,PRIME,RefinanceOrCashOut,ConventionalResidentialWithoutPrivateMortgageInsur,FULL,MANUAL,1137600,1006838.27100,,,,,,,788,,20220630,19.81,,CO,,20210812,,20510901,360,10,351,,20220601,20220601,N,,FIXED,2.63,2.63,456.92,,,N,,OriginalOwnerOccupied,SingleFamilyDetached,CO,BOW MAR,,80123,"DENVER-AURORA, CO MSA",1,N,,,2400000,,0,,,,,,,,46.60,,47.40,46.60,,,CURRENT,Active,0,N,,N,N,,N,,0,,,,,,,N,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,2.63,2.63,2.63,2.63,2.63,2.63,,,,N,,N,,,.00,,,45,,,,N,,,,,,,,,,"N ",,1,1,,1,1,1,2,1,,1,1,1
20220630,2107787442,MORTGAGE LOAN,MORTGAGE,30 YR FIXED JUMBO,PRIME,Purchase,ConventionalResidentialWithoutPrivateMortgageInsur,FULL,MANUAL,1675868,1483711.70400,,,,,,,746,,20220630,,,CA,,20210729,,20510801,360,11,350,,20220601,20220601,N,,FIXED,3.38,3.38,740.9,,,N,,NonOwnerOccupied,Condominium,UT,PARK CITY,,84098,"SALT LAKE CITY, UT MSA",1,N,,,2235000,,0,,,,,,,,73.80,,75.00,73.80,,,CURRENT,Active,0,N,,N,N,,N,,0,,,,,,,N,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,3.38,3.38,3.38,3.38,3.38,3.38,,,,N,,N,,,.00,,,45,,,,N,,,,,,,,,,"N ",,1,1,,1,1,1,1,1,,3,1,3
20220630,2107817781,MORTGAGE LOAN,MORTGAGE,30 YR FIXED JUMBO,PRIME,RefinanceOrEquity Takeout,ConventionalResidentialWithoutPrivateMortgageInsur,FULL,MANUAL,1300000,.00000,,,,,,,754,,20220630,,,CA,,20210826,,20510901,360,10,351,,20220401,20220401,N,,FIXED,3.38,3.38,0,,,N,,OriginalOwnerOccupied,SingleFamilyDetached,CA,SAN JOSE,,95124,"SAN JOSE-SUNNYVALE-SANTA CLARA, CA MSA",1,N,,,1625000,,0,,,,,,,,.00,,80.00,.00,,,D60,PaidLoan,60,N,,N,N,,N,,0,,,,,,,N,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,3.38,3.38,3.38,3.38,3.38,3.38,,,,N,,N,,,.00,,,45,,,,N,,,,,,,,,,"N ",2,3,3,,1,1,1,2,1,,1,1,1
20220630,2107820192,MORTGAGE LOAN,MORTGAGE,30 YR FIXED JUMBO,PRIME,RefinanceOrCashOut,ConventionalResidentialWithoutPrivateMortgageInsur,FULL,MANUAL,1400000,.00000,,,,,,,734,,20220630,,,CA,,20211004,,20511001,360,8,352,,20220130,20220130,N,,FIXED,3.63,3.63,0,,,N,,OriginalOwnerOccupied,SingleFamilyDetached,CA,PALO ALTO,,94306,"SAN JOSE-SUNNYVALE-SANTA CLARA, CA MSA",1,N,,,2400000,,0,,,,,,,,.00,,58.33,.00,,,D120,PaidLoan,121,N,,N,N,,N,,0,,,,,,,N,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,3.63,3.63,3.63,3.63,3.63,3.63,,,,N,,N,,,.00,,,45,,,,N,,,,,,,,,,"N ",2,5,3,,1,1,1,2,1,,1,1,1
20220630,2108850307,MORTGAGE LOAN,MORTGAGE,30 YR FIXED JUMBO,PRIME,RefinanceOrEquity Takeout,ConventionalResidentialWithoutPrivateMortgageInsur,FULL,MANUAL,988000,876624.10200,,,,,,,709,,20220630,,,NC,,20210917,,20511001,360,9,352,,20220601,20220601,N,,FIXED,2.88,2.88,409.91,,,N,,OriginalOwnerOccupied,Other,NC,CHARLOTTE,,28209,"CHARLOTTE-GASTONIA-CONCORD, NC-SC MSA",1,N,,,1235000,,0,,,,,,,,78.90,,80.00,78.90,,,CURRENT,Active,0,N,,N,N,,N,,0,,,,,,,N,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,2.88,2.88,2.88,2.88,2.88,2.88,,,,N,,N,,,.00,,,45,,,,N,,,,,,,,,,"N ",,1,1,,1,1,1,2,1,,1,1,10
20220630,2105627148,MORTGAGE LOAN,MORTGAGE,30 YR FIXED JUMBO,PRIME,RefinanceOrEquity Takeout,ConventionalResidentialWithoutPrivateMortgageInsur,FULL,MANUAL,2000000,1769049.63900,,,,,,,797,,20220630,,,FL,,20210621,,20510701,360,12,349,,20220601,20220601,N,,FIXED,3.63,3.63,912.1,,,N,,OriginalOwnerOccupied,Other,FL,BOCA RATON,,33496,"MIAMI-FORT LAUDERDALE-POMPANO BEACH, FL MSA",1,N,,,2600000,,0,,,,,,,,75.60,,76.92,75.60,,,CURRENT,Active,0,N,,N,N,,N,,0,,,,,,,N,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,3.63,3.63,3.63,3.63,3.63,3.63,,,,N,,N,,,.00,,,45,,,,N,,,,,,,,,,"N ",,1,1,,1,1,1,2,1,,1,1,10
