Table Name,Column Name,Column Datatype,Column Null Option,Primary Key,Restricted,PII
PenFed_Settlement,Loan_Number,int,NULL,,,
PenFed_Settlement,Product_Type,nvarchar(50),NULL,,,
PenFed_Settlement,INTEREST_RATE,"decimal(16,6)",NULL,,,
PenFed_Settlement,SERVICE_FEE,"decimal(16,6)",NULL,,,
PenFed_Settlement,CURRENT_BALANCE,"decimal(16,6)",NULL,,,
PenFed_Settlement,90__PARTICIPATION,"decimal(16,6)",NULL,,,
PenFed_Settlement,Date_Interest_Paid_To,datetime,NULL,,,
PenFed_Settlement,ORIGINAL_BALANCE,int,NULL,,,
PenFed_Settlement,Original_Term__months_,int,NULL,,,
PenFed_Settlement,AUDITED_PRODUCT_TYPE,nvarchar(50),NULL,,,
PenFed_Settlement,Current_Monthly_Principal___Interest,"decimal(16,6)",NULL,,,
PenFed_Settlement,Calculated_Remaining_Term,"decimal(16,6)",NULL,,,
PenFed_Settlement,Date_of_First_Payment,datetime,NULL,,,
PenFed_Settlement,Date_of_Next_Payment,datetime,NULL,,,
PenFed_Settlement,Purpose_Description,nvarchar(50),NULL,,,
PenFed_Settlement,PROP_TYPE,nvarchar(50),NULL,,,
PenFed_Settlement,OCCUPANCY,nvarchar(50),NULL,,,
PenFed_Settlement,APPRAISAL,int,NULL,,,
PenFed_Settlement,Original_Loan_to_Value_Ratio,int,NULL,,,
PenFed_Settlement,Current_Balance_to_Loan_Value_Ratio,int,NULL,,,
PenFed_Settlement,Combined_LTV_Ratio,int,NULL,,,
PenFed_Settlement,Borrower_FICO,int,NULL,,,
PenFed_Settlement,Units,int,NULL,,,
PenFed_Settlement,MI_Coverage_Percentage,int,NULL,,,
PenFed_Settlement,Condo_or_PUD_Name,nvarchar(50),NULL,,,
PenFed_Settlement,County_Code,int,NULL,,,
PenFed_Settlement,County_Name,nvarchar(50),NULL,,,
PenFed_Settlement,Last_Name,nvarchar(50),NULL,,,
PenFed_Settlement,Property_Address,nvarchar(50),NULL,,,
PenFed_Settlement,Property_City,nvarchar(50),NULL,,,
PenFed_Settlement,Property_State,nvarchar(50),NULL,,,
PenFed_Settlement,Property_Zip__1st_five_digits_,int,NULL,,,
PenFed_Settlement,Total_Debt_Ratio,"decimal(16,6)",NULL,,,
