Table Name,Column Name,Column Datatype,Column Null Option,Primary Key,Restricted,PII
PenFed2,LOAN_NUMBER,int,NULL,,,
PenFed2,CURR_INT,"decimal(16,6)",NULL,,,
PenFed2,SFEE,"decimal(16,6)",NULL,,,
PenFed2,NET_INT,"decimal(16,6)",NULL,,,
PenFed2,CURRENT_BALANCE_as_of_12_12_2021,"decimal(16,6)",NULL,,,
PenFed2,PARTICIPATION_BALANCE_90,"decimal(16,6)",NULL,,,
PenFed2,INT_PAID_TO_DATE,datetime,NULL,,,
PenFed2,DUE_DATE,datetime,NULL,,,
PenFed2,OF_DAYS_OF_INT_30_360,int,NULL,,,
PenFed2,90_DAILY_INT_AT_NET_INT_30_360,"decimal(16,6)",NULL,,,
PenFed2,ACCRUED_INTEREST_FROM_INT_PD_TO_DATE_90,"decimal(16,6)",NULL,,,
PenFed2,PRICE,"decimal(16,6)",NULL,,,
PenFed2,PREMIUM_DISCOUNT,"decimal(16,6)",NULL,,,
PenFed2,FUNDS_DUE,"decimal(16,6)",NULL,,,
