loan_number,product_type,service_fee,balance,participation_balance_90,date_interest_paid_to,original_loan_to_value_ratio,net_int,price,premium_discount,funds_due
1401144,Purchase Vehicle,0.25,4681.37,4213.233,3/21/2022,20.76,2.24,99.75,-10.5330825,4207.095532
2098143,Purchase Vehicle,0.25,13541.44,12187.296,3/10/2022,50.62,2.24,99.75,-30.46824,12177.76988
4608143,Refinance From Other Financial Institution,0.25,18192.13,16372.917,3/25/2022,38.97,1.74,99.75,-40.9322925,16342.13143
5531145,Purchase Vehicle,0.25,17718.7,15946.83,3/18/2022,60.64,1.49,99.75,-39.867075,15919.98253
5781145,Purchase Vehicle,0.25,16012.96,14411.664,3/22/2022,65.9,1.99,99.75,-36.02916,14388.20655
6759145,Refinance From Other Financial Institution,0.25,8130.44,7317.396,3/25/2022,38.04,2.24,99.75,-18.29349,7304.940389
7614151,DCU Re-Finance,0.25,21824.57,19642.113,3/25/2022,50.23,1.24,99.75,-49.1052825,19601.68254
11995144,Purchase Vehicle,0.25,35527.79,31975.011,4/1/2022,83.59,1.24,99.75,-79.9375275,31901.59112
14564142,Purchase Vehicle,0.25,11003.58,9903.222,3/21/2022,53.29,3.24,99.75,-24.758055,9893.408314
14632143,Refinance From Other Financial Institution,0.25,29191.84,26272.656,3/21/2022,57.83,1.24,99.75,-65.68164,26222.14772
15084143,Purchase Vehicle,0.25,22239.89,20015.901,3/24/2022,58.91,2.24,99.75,-50.0397525,19983.05847
15601145,Refinance From Other Financial Institution,0.25,7111.14,6400.026,4/1/2022,25.26,2.99,99.75,-16.000065,6387.171592
16495146,Purchase Vehicle,0.25,41188.71,37069.839,3/15/2022,81.56,1.24,99.75,-92.6745975,37006.12966
17576145,Refinance From Other Financial Institution,0.25,15091.34,13582.206,4/6/2022,46.76,2.24,99.75,-33.955515,13549.08402
17647143,Refinance From Other Financial Institution,0.25,23180.11,20862.099,4/1/2022,68.83,2.74,99.75,-52.1552475,20819.34027
18395143,Purchase Vehicle,0.25,10080.88,9072.792,3/18/2022,55.24,2.99,99.75,-22.68198,9064.974485
18672143,Purchase Vehicle,0.25,6191.66,5572.494,3/21/2022,17.47,2.24,99.75,-13.931235,5564.376479
20291143,Purchase Vehicle,0.25,11723.82,10551.438,4/1/2022,19.8,1.74,99.75,-26.378595,10528.07741
22004148,Purchase Vehicle,0.25,10080.93,9072.837,3/7/2022,19.85,1.24,99.75,-22.6820925,9059.709972
24027143,Refinance From Other Financial Institution,0.25,13190.67,11871.603,3/30/2022,34.64,1.74,99.75,-29.6790075,11846.45146
25092142,Refinance From Other Financial Institution,0.25,14873.11,13385.799,3/16/2022,49.7,1.24,99.75,-33.4644975,13362.33901
25392141,Purchase Vehicle,0.25,8268.05,7441.245,3/31/2022,28.24,2.99,99.75,-18.6031125,7426.908881
25884148,Purchase Vehicle,0.25,24648.55,22183.695,3/25/2022,53.94,2.99,99.75,-55.4592375,22151.85988
25892143,Purchase Vehicle,0.25,14524.09,13071.681,3/12/2022,78.3,1.74,99.75,-32.6792025,13055.20352
25925150,Purchase Vehicle,0.25,9618.09,8656.281,4/4/2022,32.76,1.74,99.75,-21.6407025,8635.878264
27672144,Purchase Vehicle,0.25,14230.58,12807.522,4/6/2022,40.89,1.24,99.75,-32.018805,12775.9383
27868143,Purchase Vehicle,0.25,9573.14,8615.826,3/8/2022,34.28,2.24,99.75,-21.539565,8610.148997
27889149,Refinance From Other Financial Institution,0.25,24102.56,21692.304,3/9/2022,98.68,1.74,99.75,-54.23076,21668.06211
