TABLENAME,COLUMNNAME,LKP_TABLE,LKP_COLUMN,LKP_DISPLAY_COLUMN
APPREQ,APPR_B2G_LIC_TYPE,L_SYMBOL,Appr B2G Lic Type,ALIAS
ARMINFO,S_FNM_INDEX_TYPE,L_SYMBOL,FNM Index Type,ALIAS
ARMINFO,S_FRE_INDEX_TYPE,L_SYMBOL,FRE Index Type,ALIAS
ASSETS,ASSET_VERIFI_TYPE,L_SYMBOL,Asset Verifi Type,ALIAS
ASSETS,S_ACCOUNT_OWNERSHIP,L_SYMBOL,ActOwnShip,ALIAS
ASSETS,S_ASSET,L_SYMBOL,Asset Type,ALIAS
ASSETS,S_GIFT_PRVDR_TYPE,L_SYMBOL,GftAsstProvdrType,ALIAS
ASSGNMT,S_NOTARYTYPE,L_SYMBOL,NotaryTypeOfPresence,ALIAS
BORROWER,FHA_CLASSIFICATION,L_SYMBOL,FHABorClassification,ALIAS
BORROWER,GENDER,L_SYMBOL,Borrower Gender,ALIAS
BORROWER,LIVE_RENT_FREE_ENUMS,L_SYMBOL,LivRentFreeEnums,ALIAS
BORROWER,S_BOR_UNIT_TYPE,L_SYMBOL,Borrower Unit Type,ALIAS
BORROWER,S_BORTYP,L_SYMBOL,Borrower Type,ALIAS
BORROWER,S_CBSOURCE,L_SYMBOL,Credit Rep Source,ALIAS
BORROWER,S_CITIZENSHIP,L_SYMBOL,Citizenship,ALIAS
BORROWER,S_COV_BORR_STATUS,L_SYMBOL,CovBorrStatus,ALIAS
BORROWER,S_IVMETH,L_SYMBOL,Method Of Inv Borr,ALIAS
BORROWER,S_LEGAL_ENTITY_TYP_OTH,L_SYMBOL,Legal Entity Typ Oth,ALIAS
BORROWER,S_LEGAL_ENTITY_TYPE,L_SYMBOL,Legal Entity Type,ALIAS
BORROWER,S_MARITL,L_SYMBOL,Marital Status,ALIAS
BORROWER,S_OWNSHP,L_SYMBOL,BA Own Rights,ALIAS
BORROWER,S_PARTY_TYPE,L_SYMBOL,PartyType,ALIAS
BORROWER,S_UNMARRIED,L_SYMBOL,IsUnmarried,ALIAS
BORROWER,S_UNMARRIED_RLTNSHIP,L_SYMBOL,UNMARRIEDRLTNSHPTYP,ALIAS
BORROWER,S_VESTNG,L_SYMBOL,Borrower Vesting,ALIAS
CL_TL_APPLICATION,S_LOAN_PURPOSE,L_SYMBOL,L Loan Purpose,ALIAS
CLOS_GEN,RECJURTYPE,L_SYMBOL,Rec. Jurisd. Type,ALIAS
CLOS_GEN,S_MORTRET,L_SYMBOL,Mortgage Return,ALIAS
CLOSGOVT,MIPREASN,L_SYMBOL,Reason for Payment,ALIAS
CLOSGOVT,S_REFTYP,L_SYMBOL,Gov. Refinance Type,ALIAS
CLOSGOVT,S_SOA,L_SYMBOL,Section of Act,ALIAS
CLOSGOVT,S_SOANM,L_SYMBOL,Section of Act NM,ALIAS
CLOSNGVA,S_AGENT1,L_SYMBOL,Closing Agent Type,ALIAS
CLOSNGVA,S_AGENT2,L_SYMBOL,Closing Agent Type,ALIAS
CLOSNGVA,S_AGENT3,L_SYMBOL,Closing Agent Type,ALIAS
CLOSNGVA,S_AGENT4,L_SYMBOL,Closing Agent Type,ALIAS
CLOSNGVA,S_AGENT5,L_SYMBOL,Closing Agent Type,ALIAS
COLLECTD,CCARD_TYPE,L_SYMBOL,CCard Type,ALIAS
COLLECTD,PAYMENT_TYPE,L_SYMBOL,Payment Type,ALIAS
COLLECTD,S_METHOD,L_SYMBOL,Collected Method,ALIAS
COLLECTD,S_PAIDBY,L_SYMBOL,Fee Paid By,ALIAS
CONS_GEN,S_ODDDAYS_DEFER,L_SYMBOL,Const. Odd Deferral,ALIAS
CONSREFI,S_CONST_PERM_CLOSING,L_SYMBOL,ConsToPermClosing,ALIAS
CONSREFI,S_CONST_PERM_FEATURE,L_SYMBOL,Const Perm Feature,ALIAS
CONSREFI,S_FNM_REFI_PGM,L_SYMBOL,FNM Refi Pgm,ALIAS
CONSREFI,S_FRE_REFI_PGM,L_SYMBOL,FRE Refi Pgm,ALIAS
CONSREFI,S_GSE_REFINANCE_PURPOSE,L_SYMBOL,GSE Purp of Refi,ALIAS
CONSREFI,S_ORIG_INVESTOR,L_SYMBOL,Original Investor,ALIAS
CONSREFI,S_REFPRP,L_SYMBOL,Purpose of Refinance,ALIAS
DECLRTN,S_BANKRUPTCY_TYPE,L_SYMBOL,BankruptcyChapter,ALIAS
DECLRTN,S_PRPTYP,L_SYMBOL,FTH Occupancy,ALIAS
DECLRTN,S_TITLE,L_SYMBOL,FTH Manner Held,ALIAS
DELIVERY,S_BECA1,L_SYMBOL,BECA 1,ALIAS
DELIVERY,S_BECA2,L_SYMBOL,BECA 2,ALIAS
DELIVERY,S_BECF1,L_SYMBOL,BECF 1,ALIAS
DELIVERY,S_BECF2,L_SYMBOL,BECF 2,ALIAS
DELIVERY,S_CCSRC1,L_SYMBOL,Closing Cost Code 1,ALIAS
DELIVERY,S_CCSRC2,L_SYMBOL,Closing Cost Code 2,ALIAS
DELIVERY,S_CCSRC3,L_SYMBOL,Closing Cost Code 3,ALIAS
DELIVERY,S_CCSRC4,L_SYMBOL,Closing Cost Code 4,ALIAS
DELIVERY,S_DPSRC1,L_SYMBOL,Down Payment Src 1,ALIAS
DELIVERY,S_DPSRC2,L_SYMBOL,Down Payment Src 2,ALIAS
DELIVERY,S_DPSRC3,L_SYMBOL,Down Payment Src 3,ALIAS
DELIVERY,S_DPSRC4,L_SYMBOL,Down Payment Src 4,ALIAS
DELIVERY,S_FNM_HOME_IMP_PROD,L_SYMBOL,FNM Home Imp Prod,ALIAS
DELIVERY,S_INT_ACCRUAL_TYPE,L_SYMBOL,InterestAccrualType,ALIAS
DELIVERY,S_INT_CALC_BASIS_TYPE,L_SYMBOL,Int Calc Basis Type,ALIAS
DELIVERY,S_INT_CALC_METHOD,L_SYMBOL,Interest Calc Type,ALIAS
DELIVERY,S_INT_CALC_PERIOD,L_SYMBOL,Int Calc Period,ALIAS
DELIVERY,S_LFC,L_SYMBOL,Loan Feature Code,ALIAS
DELIVERY,S_RFC,L_SYMBOL,Balloon Round Type,ALIAS
DELIVERY,S_SFSRC1,L_SYMBOL,Secondary Fin 1,ALIAS
DELIVERY,S_SFSRC2,L_SYMBOL,Secondary Fin 2,ALIAS
DELIVERY,S_SIGNDOCPUSHBACK,L_SYMBOL,SignDocPushBack,ALIAS
DELIVERY,S_SPF1,L_SYMBOL,Spec. Feature Code 1,ALIAS
DELIVERY,S_SPF10,L_SYMBOL,Spec. Feature Code10,ALIAS
DELIVERY,S_SPF2,L_SYMBOL,Spec. Feature Code 2,ALIAS
DELIVERY,S_SPF3,L_SYMBOL,Spec. Feature Code 3,ALIAS
DELIVERY,S_SPF4,L_SYMBOL,Spec. Feature Code 4,ALIAS
DELIVERY,S_SPF5,L_SYMBOL,Spec. Feature Code 5,ALIAS
DELIVERY,S_SPF6,L_SYMBOL,Spec. Feature Code 6,ALIAS
DELIVERY,S_SPF7,L_SYMBOL,Spec. Feature Code 7,ALIAS
DELIVERY,S_SPF8,L_SYMBOL,Spec. Feature Code 8,ALIAS
DELIVERY,S_SPF9,L_SYMBOL,Spec. Feature Code 9,ALIAS
