ALIAS||CATEGORY||CREATE_DATE||DBSYMBOL||DESCRIPT||FLDNAME||MISMO_VALUE||MODIFY_DATE||PROFID||REC_CUSTOM||REFCODE||SRCENV||SYMBOLID
"HUD Approved Agency"||0||9/12/2018 4:14:42 PM||"FTHB_HUD"||"HUD Approved Counseling Agency"||"1stTimeHBCounselType"||"HUDApprovedCounselingAgency"||6/11/2020 2:21:56 AM||||||"D"||||11679
"No HUD-Approved Counseling Received"||0||9/12/2018 4:14:42 PM||"FTHB_NOT"||"No HUD_Approved Agency"||"1stTimeHBCounselType"||"NotCounseled"||6/11/2020 2:21:56 AM||||||"A"||||11680
"Limited"||||9/12/2018 4:14:42 PM||"203KLtd"||"Limited of 203K Type"||"203K Type"||||6/11/2020 2:21:56 AM||||||||||21057
"Standard"||||9/12/2018 4:14:42 PM||"203KStd"||"Standard of 203K Type"||"203K Type"||||6/11/2020 2:21:56 AM||||||||||21058
"Individual"||0||9/12/2018 4:14:42 PM||"AO_IND"||"Individual"||"Account Ownership"||||6/11/2020 2:21:56 AM||||||||||14834
"Joint/Multiple"||0||9/12/2018 4:14:42 PM||"AO_JNTM"||"Joint/Multiple"||"Account Ownership"||||6/11/2020 2:21:56 AM||||||||||14835
"Checking"||||9/12/2018 4:14:42 PM||"ACHAT_CK"||"Checking"||"ACH Account Type"||"Checking"||6/11/2020 2:21:56 AM||||||"1"||||1
"Savings"||||9/12/2018 4:14:42 PM||"ACHAT_SV"||"Savings"||"ACH Account Type"||"Savings"||6/11/2020 2:21:57 AM||||||"2"||||2
"Annually"||||9/12/2018 4:14:42 PM||"ACHDF_A"||"Annually"||"ACH Draft Frequency"||"Annually"||6/11/2020 2:21:57 AM||||||"8"||||3
"Biweekly"||||9/12/2018 4:14:42 PM||"ACHDF_B"||"Biweekly"||"ACH Draft Frequency"||"Biweekly"||6/11/2020 2:21:57 AM||||||"3"||||4
"Daily"||||9/12/2018 4:14:42 PM||"ACHDF_D"||"Daily"||"ACH Draft Frequency"||"Daily"||6/11/2020 2:21:57 AM||||||"1"||||5
"Monthly"||||9/12/2018 4:14:42 PM||"ACHDF_M"||"Monthly"||"ACH Draft Frequency"||"Monthly"||6/11/2020 2:21:57 AM||||||"5"||||6
"Quarterly"||||9/12/2018 4:14:42 PM||"ACHDF_Q"||"Quarterly"||"ACH Draft Frequency"||"Quarterly"||6/11/2020 2:21:57 AM||||||"6"||||7
"Semiannually"||||9/12/2018 4:14:42 PM||"ACHDF_SA"||"Semiannually"||"ACH Draft Frequency"||"Semiannually"||6/11/2020 2:21:57 AM||||||"7"||||8
"Semimonthly"||||9/12/2018 4:14:42 PM||"ACHDF_SM"||"Semimonthly"||"ACH Draft Frequency"||"Semimonthly"||6/11/2020 2:21:57 AM||||||"4"||||9
"Weekly"||||9/12/2018 4:14:42 PM||"ACHDF_W"||"Weekly"||"ACH Draft Frequency"||"Weekly"||6/11/2020 2:21:57 AM||||||"2"||||10
"Current"||||9/12/2018 4:14:42 PM||"ACHT_C"||"Current"||"ACH Type"||"Current"||6/11/2020 2:21:57 AM||||||"2"||||11
"Pending"||||9/12/2018 4:14:42 PM||"ACHT_P"||"Pending"||"ACH Type"||"Pending"||6/11/2020 2:21:57 AM||||||"1"||||12
"Checking"||||9/12/2018 4:14:42 PM||"ACH_ATC"||"Checking"||"ACHAccountType"||||6/11/2020 2:21:57 AM||||||||||21239
"Savings"||||9/12/2018 4:14:42 PM||"ACH_ATS"||"Savings"||"ACHAccountType"||||6/11/2020 2:21:57 AM||||||||||21240
"Debit"||||9/12/2018 4:14:42 PM||"ACH_ATC"||"Debit"||"ACHDebitOrCredit"||||6/11/2020 2:21:57 AM||||||||||21241
"Credit"||||9/12/2018 4:14:42 PM||"ACH_ATS"||"Credit"||"ACHDebitOrCredit"||||6/11/2020 2:21:57 AM||||||||||21242
"Full Appraisal/Subject To Completion"||0||9/12/2018 4:14:42 PM||"UWA_FASC"||"Full Appraisal/Subject To Completion"||"ACO Appraisal Method"||""||6/11/2020 2:21:57 AM||||"N"||||"WGS"||25759
"Appraisal Addenda"||0||9/12/2018 4:14:42 PM||"UWAT_AA"||"Appraisal Addenda"||"ACO Appraisal Method"||""||6/11/2020 2:21:57 AM||||||||||24184
"AutomatedValuation"||||9/12/2018 4:14:42 PM||"UWAT_AV"||"Automated Valuation Method"||"ACO Appraisal Method"||||6/11/2020 2:21:57 AM||||||||||12292
"BrokersPriceOpinion"||||9/12/2018 4:14:42 PM||"UWAT_BPO"||"Brokers Price Opinion"||"ACO Appraisal Method"||||6/11/2020 2:21:57 AM||||||||||12293
"DriveBy"||||9/12/2018 4:14:42 PM||"UWAT_DBA"||"Drive By"||"ACO Appraisal Method"||||6/11/2020 2:21:57 AM||||||||||12294
"Desktop Valuation"||0||9/12/2018 4:14:42 PM||"UWAT_DV"||"Desktop Valuation"||"ACO Appraisal Method"||""||6/11/2020 2:21:57 AM||||||||||24183
"Final Inspection"||||9/12/2018 4:14:42 PM||"UWAT_FIN"||"Final Inspection"||"ACO Appraisal Method"||||6/11/2020 2:21:57 AM||||||||||12295
"Full Appraisal"||||9/12/2018 4:14:42 PM||"UWAT_FUL"||"Full Appraisal"||"ACO Appraisal Method"||||5/19/2022 5:19:25 AM||||"N"||||"WGS"||12296
"Limited Appraisal"||0||9/12/2018 4:14:42 PM||"UWAT_LA"||"Limited Appraisal"||"ACO Appraisal Method"||""||6/11/2020 2:21:57 AM||||||||||24182
"Review Appraisal"||0||9/12/2018 4:14:42 PM||"UWAT_RA"||"Review Appraisal"||"ACO Appraisal Method"||""||6/11/2020 2:21:57 AM||||||||||24185
"Actual"||||9/12/2018 4:14:42 PM||"ACTUAL"||"Actual Appraised Value"||"Act vs Est Ind"||"Actual"||6/11/2020 2:21:57 AM||||||||||24705
"Estimated"||||9/12/2018 4:14:42 PM||"ESTIMATE"||"Estimated Appraised value"||"Act vs Est Ind"||"Estimated"||6/11/2020 2:21:57 AM||||||||||24706
"ApprovedNotAccepted"||0||9/12/2018 4:14:42 PM||"A_APNC"||"ApprovedNotAccepted"||"Activities"||||11/20/2020 4:56:27 AM||||||||||11919
"Application"||0||9/12/2018 4:14:42 PM||"A_APP"||"Application"||"Activities"||||11/20/2020 4:56:27 AM||||||||||13
"Broker Conditions"||0||9/12/2018 4:14:42 PM||"A_BKCDN"||"Broker Conditions"||"Activities"||||11/20/2020 4:56:27 AM||||||||||10963
"Broker Portal"||0||9/12/2018 4:14:42 PM||"A_BKR"||"Broker Portal"||"Activities"||||11/20/2020 4:56:27 AM||||||||||8200
"Cancel Withdraw"||0||9/12/2018 4:14:42 PM||"A_CANWD"||"Cancel Withdraw"||"Activities"||||11/20/2020 4:56:27 AM||||||||||14
"Corr Approval 1"||0||9/12/2018 4:14:42 PM||"A_CAPR1"||"Corr Approval 1"||"Activities"||||11/20/2020 4:56:27 AM||||||||||19796
"Corr Approval 2"||0||9/12/2018 4:14:42 PM||"A_CAPR2"||"Corr Approval 2"||"Activities"||||11/20/2020 4:56:27 AM||||||||||19797
"Corr Assing UW"||0||9/12/2018 4:14:42 PM||"A_CASUW"||"Corr Assing UW"||"Activities"||||11/20/2020 4:56:27 AM||||||||||19798
"Corr Credit QC"||0||9/12/2018 4:14:42 PM||"A_CCREQC"||"Corr Credit QC"||"Activities"||||11/20/2020 4:56:27 AM||||||||||19639
"Corr Doc QC"||0||9/12/2018 4:14:42 PM||"A_CDOCQC"||"Corr Doc QC"||"Activities"||||11/20/2020 4:56:27 AM||||||||||19640
"Corr Denial Review"||0||9/12/2018 4:14:42 PM||"A_CDRVW"||"Corr Denial Review"||"Activities"||||11/20/2020 4:56:27 AM||||||||||19799
"Corr Expired"||0||9/12/2018 4:14:42 PM||"A_CEXP"||"Corr Expired"||"Activities"||||11/20/2020 4:56:27 AM||||||||||19801
"Corr Funding"||0||9/12/2018 4:14:42 PM||"A_CFUND"||"Corr Funding"||"Activities"||||11/20/2020 4:56:27 AM||||||||||19636
"Corr HMDA Review"||0||9/12/2018 4:14:42 PM||"A_CHMDA"||"Corr HMDA Review"||"Activities"||||11/20/2020 4:56:27 AM||||||||||19638
"Closing"||0||9/12/2018 4:14:42 PM||"A_CLOSE"||"Closing"||"Activities"||||11/20/2020 4:56:27 AM||||||||||15
"Clear Conditions"||0||9/12/2018 4:14:42 PM||"A_CLR"||"Clear Conditions"||"Activities"||||11/20/2020 4:56:27 AM||||||||||14936
"Cons Closing"||0||9/12/2018 4:14:42 PM||"A_CNSCLO"||"Consumer Closing"||"Activities"||||11/20/2020 4:56:27 AM||||||||||14747
"Cons Counteroffer"||0||9/12/2018 4:14:42 PM||"A_CNSCO"||"Cons Counteroffer"||"Activities"||||11/20/2020 4:56:27 AM||||||||||14751
"Cons Origination"||0||9/12/2018 4:14:42 PM||"A_CNSORG"||"Consumer Origination"||"Activities"||||11/20/2020 4:56:27 AM||||||||||14748
"Consumer Postclose"||0||9/12/2018 4:14:42 PM||"A_CNSPCO"||"Consumer Postclosing"||"Activities"||||11/20/2020 4:56:27 AM||||||||||14750
"Cons Underwriting"||0||9/12/2018 4:14:42 PM||"A_CNSUW"||"Consumer Underwriting"||"Activities"||||11/20/2020 4:56:27 AM||||||||||14749
"Complete"||0||9/12/2018 4:14:42 PM||"A_COMP"||"Complete"||"Activities"||||11/20/2020 4:56:27 AM||||||||||11917
"Corr Compliance QC"||0||9/12/2018 4:14:42 PM||"A_COMQC"||"Corr Compliance QC"||"Activities"||||11/20/2020 4:56:27 AM||||||||||19641
"Corr OnBoarding"||0||9/12/2018 4:14:42 PM||"A_CONBRD"||"Corr OnBoarding"||"Activities"||||11/20/2020 4:56:27 AM||||||||||19635
"Corr Post Closing"||0||9/12/2018 4:14:42 PM||"A_CPCLOS"||"Corr Post Closing"||"Activities"||||11/20/2020 4:56:27 AM||||||||||19637
"Cons Processing"||0||9/12/2018 4:14:42 PM||"A_CPROC"||"Consumer Processing"||"Activities"||||11/20/2020 4:56:27 AM||||||||||21668
"Corr UnderWriting"||0||9/12/2018 4:14:42 PM||"A_CUND"||"Corr UnderWriting"||"Activities"||||11/20/2020 4:56:27 AM||||||||||19800
"Denied"||0||9/12/2018 4:14:42 PM||"A_DENY"||"Denied"||"Activities"||||11/20/2020 4:56:27 AM||||||||||11918
"Debt Protection Rev"||0||9/12/2018 4:14:42 PM||"A_DPREV"||"Debt Protection Review"||"Activities"||||11/20/2020 4:56:27 AM||||||||||14752
"Funding"||0||9/12/2018 4:14:42 PM||"A_FUND"||"Funding"||"Activities"||||11/20/2020 4:56:27 AM||||||||||16
"HMDA Review"||0||9/12/2018 4:14:42 PM||"A_HMDA"||"HMDA Review"||"Activities"||||11/20/2020 4:56:27 AM||||||||||17
"Cons HMDA Review"||0||9/12/2018 4:14:42 PM||"A_HMDAR"||"Cons HMDA Review"||"Activities"||||11/20/2020 4:56:27 AM||||||||||23881
"Indexing"||0||4/12/2021 8:42:58 PM||"A_INDXNG"||"Indexing"||"Activities"||||4/12/2021 8:42:58 PM||||"N"||||"WGS"||28504
"Lead Management"||0||9/12/2018 4:14:42 PM||"A_LEAD"||"Lead Management"||"Activities"||||11/20/2020 4:56:27 AM||||||||||18
"Loan Mod Processing"||0||9/12/2018 4:14:42 PM||"A_LMOD"||"Loan Mod Processing"||"Activities"||||11/20/2020 4:56:27 AM||||||||||14188
"Loan Setup"||0||9/12/2018 4:14:42 PM||"A_LSU"||"Loan Setup"||"Activities"||||11/20/2020 4:56:27 AM||||||||||10459
"Origination"||0||9/12/2018 4:14:42 PM||"A_ORIG01"||"Origination"||"Activities"||||11/20/2020 4:56:27 AM||||||||||11417
"Post Closing"||0||9/12/2018 4:14:42 PM||"A_PCLOS"||"Post Closing"||"Activities"||||11/20/2020 4:56:27 AM||||||||||19
"Processing"||0||9/12/2018 4:14:42 PM||"A_PROCES"||"Processing"||"Activities"||||11/20/2020 4:56:27 AM||||||||||20
"Temporary"||||9/12/2018 4:14:42 PM||"A_TEMP"||"Temporary"||"Activities"||||11/20/2020 4:56:27 AM||||||||||21
"Underwriting"||0||9/12/2018 4:14:42 PM||"A_UNDWRG"||"Underwriting"||"Activities"||||11/20/2020 4:56:27 AM||||||||||22
"Closing / Funding"||0||9/12/2018 4:14:42 PM||"A_WCLFU"||"Closing and Funding Combined"||"Activities"||||11/20/2020 4:56:27 AM||||||||||10349
"Underwriting W"||0||9/12/2018 4:14:42 PM||"A_WHSUW"||"Wholesale Underwriting"||"Activities"||||11/20/2020 4:56:27 AM||||||||||10669
"P Closing / Shipping"||0||9/12/2018 4:14:42 PM||"A_WPCLS"||"Post Closing and Shipping Minimal"||"Activities"||||11/20/2020 4:56:27 AM||||||||||10352
"Withdraw Application"||0||9/12/2018 4:14:42 PM||"A_WTHA"||"Withdraw Application"||"Activities"||||11/20/2020 4:56:27 AM||||||||||14935
"Auto"||0||9/12/2018 4:14:42 PM||"AUTO"||"Auto"||"Activities"||||10/7/2022 7:17:13 AM||||"N"||||"WGS"||23
"Individual"||||3/18/2019 11:20:35 PM||"AT_IN"||"Individual"||"ActOwnShip"||||6/11/2020 2:21:57 AM||||"N"||||"WGS"||25908
"Joint"||||3/18/2019 11:20:35 PM||"AT_JO"||"Joint"||"ActOwnShip"||||6/11/2020 2:21:57 AM||||"N"||||"WGS"||25909
"Checking"||||9/12/2018 4:14:42 PM||"ADA_CHK"||"Checking"||"AD Account Type"||||6/11/2020 2:21:57 AM||||||||||20602
"Money Market"||||9/12/2018 4:14:42 PM||"ADA_MOM"||"Money Market"||"AD Account Type"||||6/11/2020 2:21:57 AM||||||||||20605
"Other"||||9/12/2018 4:14:42 PM||"ADA_OTH"||"Other"||"AD Account Type"||||6/11/2020 2:21:57 AM||||||||||20604
"Savings"||||9/12/2018 4:14:42 PM||"ADA_SAV"||"Savings"||"AD Account Type"||||6/11/2020 2:21:57 AM||||||||||20603
"All"||0||12/20/2019 1:18:25 PM||"D_ALL"||"All"||"Admin Business Type"||""||6/11/2020 2:21:57 AM||||"N"||||"WGS"||27103
"Consumer"||0||12/20/2019 1:18:25 PM||"D_CONS"||"Consumer"||"Admin Business Type"||""||6/11/2020 2:21:57 AM||||"N"||||"WGS"||27104
"Correspondent"||0||12/20/2019 1:18:25 PM||"D_CORRE"||"Correspondent"||"Admin Business Type"||""||6/11/2020 2:21:57 AM||||"N"||||"WGS"||27105
"Consumer Equity"||0||12/20/2019 1:18:25 PM||"D_EQ"||"Consumer-Equity"||"Admin Business Type"||""||6/11/2020 2:21:57 AM||||"N"||||"WGS"||27106
"Retail Mortgage"||0||12/20/2019 1:18:25 PM||"D_RETAIL"||"Retail Mortgage"||"Admin Business Type"||""||6/11/2020 2:21:57 AM||||"N"||||"WGS"||27107
"Wholesale"||0||12/20/2019 1:18:25 PM||"D_WHSAL"||"Wholesale"||"Admin Business Type"||""||6/11/2020 2:21:57 AM||||"N"||||"WGS"||27108
"Cancellation"||||9/12/2018 4:14:42 PM||"FLD_CAN"||"Cancellation"||"AdminFldActionType"||||6/11/2020 2:21:57 AM||||"N"||||"WGS"||25743
"Change"||||9/12/2018 4:14:42 PM||"FLD_CHG"||"Change"||"AdminFldActionType"||||6/11/2020 2:21:57 AM||||"N"||||"WGS"||25744
"Original"||||9/12/2018 4:14:42 PM||"FLD_ORG"||"Original"||"AdminFldActionType"||||6/11/2020 2:21:57 AM||||"N"||||"WGS"||25745
"Reissue"||||9/12/2018 4:14:42 PM||"FLD_RES"||"Reissue"||"AdminFldActionType"||||6/11/2020 2:21:57 AM||||"N"||||"WGS"||25746
"Status Query"||||9/12/2018 4:14:42 PM||"FLD_SQ"||"Status Query"||"AdminFldActionType"||||6/11/2020 2:21:57 AM||||"N"||||"WGS"||25747
"Transfer"||||9/12/2018 4:14:42 PM||"FLD_TRN"||"Transfer"||"AdminFldActionType"||||6/11/2020 2:21:57 AM||||"N"||||"WGS"||25748
"Upgrade"||||9/12/2018 4:14:42 PM||"FLD_UG"||"Upgrade"||"AdminFldActionType"||||6/11/2020 2:21:57 AM||||"N"||||"WGS"||25749
"702"||||9/12/2018 4:14:42 PM||"ADP_702"||"203(k) Improvements/First Lien"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"702"||||31
