State,Change,Ordinal,Table Name,Column Name,Column Datatype,Column Null Option,Primary Key,Restricted,PII
Current,,2495,ACCT_FEES,LNUM,nchar(20),NOT NULL,Yes,,
Current,,2496,ACCT_FEES,ASVRPRM,"decimal(16,6)",NULL,,,
Current,,2497,ACCT_FEES,AMISCFEE,"decimal(16,6)",NULL,,,
Current,,2498,ACCT_FEES,ABYDNTT,"decimal(16,6)",NULL,,,
Current,,2499,ACCT_FEES,AAMTWHD,"decimal(16,6)",NULL,,,
Current,,2500,ACCT_FEES,APERDIEM,"decimal(16,6)",NULL,,,
Current,,2501,ACCT_FEES,AIMPDS,"decimal(16,6)",NULL,,,
Current,,2502,ACCT_FEES,ATAXSVR,"decimal(16,6)",NULL,,,
Current,,2503,ACCT_FEES,AINVFF,"decimal(16,6)",NULL,,,
Current,,2504,ACCT_FEES,ADISCAMT,"decimal(16,6)",NULL,,,
Current,,2505,ACCT_FEES,ADISCPEC,"decimal(16,6)",NULL,,,
Current,,2506,ACCT_FEES,ANUMPMTS,smallint,NULL,,,
Current,,2507,ACCT_FEES,AODDAYS,smallint,NULL,,,
Current,,2508,ACCT_FEES,A1STDUEI,datetime,NULL,,,
Current,,2509,ACCT_FEES,APMTAMT,"decimal(16,6)",NULL,,,
Current,,2510,ACCT_FEES,AINVWIRE,"decimal(16,6)",NULL,,,
Current,,2511,ACCT_FEES,AADVAMT,"decimal(16,6)",NULL,,,
Current,,2512,ACCT_FEES,AADVPCT,"decimal(16,6)",NULL,,,
Current,,5664,ACT1098,S_ACTIVITY,nvarchar(8),NOT NULL,Yes,,
Current,,5665,ACT1098,SRCENV,nvarchar(5),NULL,,,
Current,,5666,ACT1098,REC_CUSTOM,nchar(1),NULL,,,
Current,,5667,ACT1098,CREATE_DATE,datetime,NULL,,,
Current,,5668,ACT1098,MODIFY_DATE,datetime,NULL,,,
Current,,2488,ACTDOCS,S_ACTIVI,nvarchar(8),NOT NULL,Yes,,
Current,,2489,ACTDOCS,S_ACTDOC,nvarchar(8),NOT NULL,Yes,,
Current,,2490,ACTDOCS,DOCORDER,int,NOT NULL,,,
Current,,2491,ACTDOCS,SRCENV,nvarchar(5),NULL,,,
Current,,2492,ACTDOCS,REC_CUSTOM,nchar(1),NULL,,,
Current,,2493,ACTDOCS,CREATE_DATE,datetime,NULL,,,
Current,,2494,ACTDOCS,MODIFY_DATE,datetime,NULL,,,
Current,,5287,ACTIVITY,S_ACTIVI,nvarchar(8),NOT NULL,Yes,,
Current,,5288,ACTIVITY,TIMEALLT,smallint,NULL,,,
Current,,5289,ACTIVITY,TIMETYPE,smallint,NULL,,,
Current,,5290,ACTIVITY,INITIALACT,nchar(1),NULL,,,
Current,,5291,ACTIVITY,SRCENV,nvarchar(5),NULL,,,
Current,,5292,ACTIVITY,REC_CUSTOM,nchar(1),NULL,,,
Current,,5293,ACTIVITY,CREATE_DATE,datetime,NULL,,,
Current,,5294,ACTIVITY,MODIFY_DATE,datetime,NULL,,,
Current,,2481,ACTQUERY,S_ACTIVI,nvarchar(8),NOT NULL,Yes,,
Current,,2482,ACTQUERY,S_QUERY,nvarchar(8),NOT NULL,Yes,,
Current,,2483,ACTQUERY,DEFFLAG,int,NOT NULL,Yes,,
Current,,2484,ACTQUERY,SRCENV,nvarchar(5),NULL,,,
Current,,2485,ACTQUERY,REC_CUSTOM,nchar(1),NULL,,,
Current,,2486,ACTQUERY,CREATE_DATE,datetime,NULL,,,
Current,,2487,ACTQUERY,MODIFY_DATE,datetime,NULL,,,
Current,,5659,ACTSKSTP,S_ACTIVI,nvarchar(8),NOT NULL,Yes,,
Current,,5660,ACTSKSTP,S_TASK,nvarchar(8),NOT NULL,Yes,,
Current,,5661,ACTSKSTP,S_STEP,nvarchar(8),NOT NULL,Yes,,
Current,,5662,ACTSKSTP,STEPREL,smallint,NOT NULL,,,
Current,,5663,ACTSKSTP,STEPORD,smallint,NULL,,,
Current,,2474,ACTSTAT,S_ACTIVI,nvarchar(8),NOT NULL,Yes,,
Current,,2475,ACTSTAT,S_RETSTA,nvarchar(8),NOT NULL,Yes,,
Current,,2476,ACTSTAT,RETORDER,int,NULL,,,
Current,,2477,ACTSTAT,SRCENV,nvarchar(5),NULL,,,
Current,,2478,ACTSTAT,REC_CUSTOM,nchar(1),NULL,,,
Current,,2479,ACTSTAT,CREATE_DATE,datetime,NULL,,,
Current,,2480,ACTSTAT,MODIFY_DATE,datetime,NULL,,,
Current,,2466,ACTTASK,S_ACTIVI,nvarchar(8),NOT NULL,Yes,,
Current,,2467,ACTTASK,S_TASK,nvarchar(8),NOT NULL,Yes,,
Current,,2468,ACTTASK,TASKORD,int,NOT NULL,,,
Current,,2469,ACTTASK,ACTRELT,smallint,NOT NULL,,,
Current,,2470,ACTTASK,SRCENV,nvarchar(5),NULL,,,
Current,,2471,ACTTASK,REC_CUSTOM,nchar(1),NULL,,,
Current,,2472,ACTTASK,CREATE_DATE,datetime,NULL,,,
Current,,2473,ACTTASK,MODIFY_DATE,datetime,NULL,,,
Current,,5192,ADV_ACTN,LNUM,nchar(20),NOT NULL,Yes,,
Current,,5193,ADV_ACTN,NOFILE,nchar(1),NULL,,,
Current,,5194,ADV_ACTN,INSUFFCR,nchar(1),NULL,,,
Current,,5195,ADV_ACTN,INSUFFLE,nchar(1),NULL,,,
Current,,5196,ADV_ACTN,GARNISH,nchar(1),NULL,,,
Current,,5197,ADV_ACTN,EXCSVOBL,nchar(1),NULL,,,
Current,,5198,ADV_ACTN,PAYMTUNA,nchar(1),NULL,,,
Current,,5199,ADV_ACTN,CASHLACK,nchar(1),NULL,,,
Current,,5200,ADV_ACTN,BANKRUPT,nchar(1),NULL,,,
