FLDNAME,DBSYMBOL,ALIAS,SYMBOLID,PROFID,DESCRIPT,REFCODE,CATEGORY,MISMO_VALUE,SRCENV,REC_CUSTOM,CREATE_DATE,MODIFY_DATE
1stTimeHBCounselType,FTHB_HUD,HUD Approved Agency,11679,,HUD Approved Counseling Agency,D,0,HUDApprovedCounselingAgency,,,9/12/2018 16:14,6/11/2020 2:21
1stTimeHBCounselType,FTHB_NOT,No HUD-Approved Counseling Received,11680,,No HUD_Approved Agency,A,0,NotCounseled,,,9/12/2018 16:14,6/11/2020 2:21
203K Type,203KLtd,Limited,21057,,Limited of 203K Type,,,,,,9/12/2018 16:14,6/11/2020 2:21
203K Type,203KStd,Standard,21058,,Standard of 203K Type,,,,,,9/12/2018 16:14,6/11/2020 2:21
Account Ownership,AO_IND,Individual,14834,,Individual,,0,,,,9/12/2018 16:14,6/11/2020 2:21
Account Ownership,AO_JNTM,Joint/Multiple,14835,,Joint/Multiple,,0,,,,9/12/2018 16:14,6/11/2020 2:21
ACH Account Type,ACHAT_CK,Checking,1,,Checking,1,,Checking,,,9/12/2018 16:14,6/11/2020 2:21
ACH Account Type,ACHAT_SV,Savings,2,,Savings,2,,Savings,,,9/12/2018 16:14,6/11/2020 2:21
ACH Draft Frequency,ACHDF_A,Annually,3,,Annually,8,,Annually,,,9/12/2018 16:14,6/11/2020 2:21
ACH Draft Frequency,ACHDF_B,Biweekly,4,,Biweekly,3,,Biweekly,,,9/12/2018 16:14,6/11/2020 2:21
ACH Draft Frequency,ACHDF_D,Daily,5,,Daily,1,,Daily,,,9/12/2018 16:14,6/11/2020 2:21
ACH Draft Frequency,ACHDF_M,Monthly,6,,Monthly,5,,Monthly,,,9/12/2018 16:14,6/11/2020 2:21
ACH Draft Frequency,ACHDF_Q,Quarterly,7,,Quarterly,6,,Quarterly,,,9/12/2018 16:14,6/11/2020 2:21
ACH Draft Frequency,ACHDF_SA,Semiannually,8,,Semiannually,7,,Semiannually,,,9/12/2018 16:14,6/11/2020 2:21
