TABLENAME,COLUMNNAME,FLDNAME,LKP_TABLE,LKP_COLUMN,LKP_DISPLAY_COLUMN
APPREQ,APPR_B2G_LIC_TYPE,Appr B2G Lic Type,L_SYMBOL,Appr B2G Lic Type,ALIAS
ARMINFO,S_FNM_INDEX_TYPE,FNM Index Type,L_SYMBOL,FNM Index Type,ALIAS
ARMINFO,S_FRE_INDEX_TYPE,FRE Index Type,L_SYMBOL,FRE Index Type,ALIAS
ASSETS,ASSET_VERIFI_TYPE,Asset Verifi Type,L_SYMBOL,Asset Verifi Type,ALIAS
Assets,S_ACCOUNT_OWNERSHIP,ActOwnShip,L_SYMBOL,ActOwnShip,ALIAS
ASSETS,S_ASSET,Asset Type,L_SYMBOL,Asset Type,ALIAS
ASSETS,S_GIFT_PRVDR_TYPE,GftAsstProvdrType,L_SYMBOL,GftAsstProvdrType,ALIAS
ASSGNMT,S_NOTARYTYPE,NotaryTypeOfPresence,L_SYMBOL,NotaryTypeOfPresence,ALIAS
BORROWER,FHA_CLASSIFICATION,FHABorClassification,L_SYMBOL,FHABorClassification,ALIAS
BORROWER,GENDER,Borrower Gender,L_SYMBOL,Borrower Gender,ALIAS
BORROWER,LIVE_RENT_FREE_ENUMS,LivRentFreeEnums,L_SYMBOL,LivRentFreeEnums,ALIAS
BORROWER,S_BOR_UNIT_TYPE,Borrower Unit Type,L_SYMBOL,Borrower Unit Type,ALIAS
BORROWER,S_BORTYP,Borrower Type,L_SYMBOL,Borrower Type,ALIAS
BORROWER,S_CITIZENSHIP,Citizenship,L_SYMBOL,Citizenship,ALIAS
BORROWER,S_COV_BORR_STATUS,CovBorrStatus,L_SYMBOL,CovBorrStatus,ALIAS
BORROWER,S_IVMETH,Method Of Inv Borr,L_SYMBOL,Method Of Inv Borr,ALIAS
BORROWER,S_LEGAL_ENTITY_TYP_OTH,Legal Entity Typ Oth,L_SYMBOL,Legal Entity Typ Oth,ALIAS
BORROWER,S_LEGAL_ENTITY_TYPE,Legal Entity Type,L_SYMBOL,Legal Entity Type,ALIAS
BORROWER,S_MARITL,Marital Status,L_SYMBOL,Marital Status,ALIAS
BORROWER,S_OWNSHP,BA Own Rights,L_SYMBOL,BA Own Rights,ALIAS
BORROWER,S_PARTY_TYPE,PartyType,L_SYMBOL,PartyType,ALIAS
BORROWER,S_UNMARRIED,IsUnmarried,L_SYMBOL,IsUnmarried,ALIAS
BORROWER,S_UNMARRIED_RLTNSHIP,UNMARRIEDRLTNSHPTYP,L_SYMBOL,UNMARRIEDRLTNSHPTYP,ALIAS
BORROWER,S_VESTNG,Borrower Vesting,L_SYMBOL,Borrower Vesting,ALIAS
CL_TL_APPLICATION,S_LOAN_PURPOSE,L Loan Purpose,L_SYMBOL,L Loan Purpose,ALIAS
CLOS_GEN,RECJURTYPE,Rec. Jurisd. Type,L_SYMBOL,Rec. Jurisd. Type,ALIAS
CLOS_GEN,S_MORTRET,Mortgage Return,L_SYMBOL,Mortgage Return,ALIAS
CLOSGOVT,MIPREASN,Reason for Payment,L_SYMBOL,Reason for Payment,ALIAS
CLOSGOVT,S_REFTYP,Gov. Refinance Type,L_SYMBOL,Gov. Refinance Type,ALIAS
CLOSGOVT,S_SOA,Section of Act,L_SYMBOL,Section of Act,ALIAS
CLOSGOVT,S_SOANM,Section of Act NM,L_SYMBOL,Section of Act NM,ALIAS
CLOSNGVA,S_AGENT1,Authorized Agent 1,L_SYMBOL,Closing Agent Type,ALIAS
CLOSNGVA,S_AGENT2,Authorized Agent 2,L_SYMBOL,Closing Agent Type,ALIAS
CLOSNGVA,S_AGENT3,Authorized Agent 3,L_SYMBOL,Closing Agent Type,ALIAS
CLOSNGVA,S_AGENT4,Authorized Agent 4,L_SYMBOL,Closing Agent Type,ALIAS
CLOSNGVA,S_AGENT5,Authorized Agent 5,L_SYMBOL,Closing Agent Type,ALIAS
COLLECTD,CCARD_TYPE,CCard Type,L_SYMBOL,CCard Type,ALIAS
COLLECTD,PAYMENT_TYPE,Payment Type,L_SYMBOL,Payment Type,ALIAS
COLLECTD,S_METHOD,Collected Method,L_SYMBOL,Collected Method,ALIAS
COLLECTD,S_PAIDBY,Fee Paid By,L_SYMBOL,Fee Paid By,ALIAS
CONS_GEN,S_ODDDAYS_DEFER,Const. Odd Deferral,L_SYMBOL,Const. Odd Deferral,ALIAS
CONSREFI,S_CONST_PERM_CLOSING,ConsToPermClosing,L_SYMBOL,ConsToPermClosing,ALIAS
CONSREFI,S_CONST_PERM_FEATURE,Const Perm Feature,L_SYMBOL,Const Perm Feature,ALIAS
CONSREFI,S_FNM_REFI_PGM,FNM Refi Pgm,L_SYMBOL,FNM Refi Pgm,ALIAS
CONSREFI,S_FRE_REFI_PGM,FRE Refi Pgm,L_SYMBOL,FRE Refi Pgm,ALIAS
CONSREFI,S_GSE_REFINANCE_PURPOSE,GSE Purp of Refi,L_SYMBOL,GSE Purp of Refi,ALIAS
CONSREFI,S_ORIG_INVESTOR,Original Investor,L_SYMBOL,Original Investor,ALIAS
CONSREFI,S_REFPRP,Purpose of Refinance,L_SYMBOL,Purpose of Refinance,ALIAS
DECLRTN,S_BANKRUPTCY_TYPE,BankruptcyChapter,L_SYMBOL,BankruptcyChapter,ALIAS
DECLRTN,S_PRPTYP,FTH Occupancy,L_SYMBOL,FTH Occupancy,ALIAS
DECLRTN,S_TITLE,FTH Manner Held,L_SYMBOL,FTH Manner Held,ALIAS
DELIVERY,S_BECA1,BECA 1,L_SYMBOL,BECA 1,ALIAS
DELIVERY,S_BECA2,BECA 2,L_SYMBOL,BECA 2,ALIAS
DELIVERY,S_BECF1,BECF 1,L_SYMBOL,BECF 1,ALIAS
