Step,Name,Count
FilterSourceActivity,Table count,193
FilterSourceActivity,PII count,6340
FilterSourceActivity,Restricted count,6340
ModelActivity,Input table count,193
ModelActivity,Schema count,7
ModelActivity,Table count,193
ModelActivity,Prefix columns count,2
ModelActivity,Suffix columns count,10
ModelActivity,Relationships columns count,1
ModelActivity,LookupRelationships columns count,0
ModelActivity,Schema count,7
ModelActivity,Table count,193
ModelActivity,Prefix columns count,2
ModelActivity,Suffix columns count,10
ModelActivity,Relationships columns count,1
ModelActivity,LookupRelationships columns count,0
