Table Name,Column Name,Column Datatype,Column Null Option,Primary Key,Restricted,PII,Excluded
ADV_ACTN,LNUM,nchar(20),NOT NULL,Yes,,,
ADV_ACTN,NOFILE,nchar(1),NULL,,,,
ADV_ACTN,INSUFFCR,nchar(1),NULL,,,,
ADV_ACTN,INSUFFLE,nchar(1),NULL,,,,
ADV_ACTN,GARNISH,nchar(1),NULL,,,,
ADV_ACTN,EXCSVOBL,nchar(1),NULL,,,,
ADV_ACTN,PAYMTUNA,nchar(1),NULL,,,,
ADV_ACTN,CASHLACK,nchar(1),NULL,,,,
ADV_ACTN,BANKRUPT,nchar(1),NULL,,,,
ADV_ACTN,DELCRDOB,nchar(1),NULL,,,,
ADV_ACTN,VRFYCRDT,nchar(1),NULL,,,,
ADV_ACTN,POORCRED,nchar(1),NULL,,,,
ADV_ACTN,CRDTREF,nchar(1),NULL,,,,
ADV_ACTN,LIMCRDT,nchar(1),NULL,,,,
ADV_ACTN,VRFYEMPL,nchar(1),NULL,,,,
ADV_ACTN,EMPLENG,nchar(1),NULL,,,,
ADV_ACTN,EMPLTEMP,nchar(1),NULL,,,,
ADV_ACTN,INSUFINC,nchar(1),NULL,,,,
ADV_ACTN,VRFYINCM,nchar(1),NULL,,,,
ADV_ACTN,INCEXCIN,nchar(1),NULL,,,,
ADV_ACTN,TEMPRES,nchar(1),NULL,,,,
ADV_ACTN,RESLENG,nchar(1),NULL,,,,
ADV_ACTN,VRFYRES,nchar(1),NULL,,,,
ADV_ACTN,DENY_HUD,nchar(1),NULL,,,,
ADV_ACTN,DENY_VA,nchar(1),NULL,,,,
ADV_ACTN,DENYFNMA,nchar(1),NULL,,,Yes,
ADV_ACTN,DENFHLMC,nchar(1),NULL,,,Yes,
ADV_ACTN,DENOTHR1,nchar(1),NULL,,,,
ADV_ACTN,DENOTH1D,nvarchar(40),NULL,,,,
ADV_ACTN,INSUFFND,nchar(1),NULL,,,,
ADV_ACTN,APPINCMP,nchar(1),NULL,,,,
ADV_ACTN,COLLSUFF,nchar(1),NULL,,,,
ADV_ACTN,CLT_PROP,nchar(1),NULL,,,,
ADV_ACTN,CLT_DATA,nchar(1),NULL,,,,
ADV_ACTN,CLT_APRL,nchar(1),NULL,,,,
ADV_ACTN,CLT_LEAS,nchar(1),NULL,,,,
ADV_ACTN,NOCREDIT,nchar(1),NULL,,,Yes,
ADV_ACTN,NOCRDT_D,nvarchar(19),NULL,,,,
ADV_ACTN,OTHERBX1,nchar(1),NULL,,,,
ADV_ACTN,OTHRBX1D,nvarchar(80),NULL,,,,
ADV_ACTN,OTSDSOUR,nchar(1),NULL,,,,
ADV_ACTN,INFOBTND,nchar(1),NULL,,,,
ADV_ACTN,CRDT_OTH,nchar(1),NULL,,,,
ADV_ACTN,CRDTAGY1,nvarchar(25),NULL,,,,
ADV_ACTN,CRDT1AD1,nvarchar(35),NULL,,,,
ADV_ACTN,CRDT1AD2,nvarchar(35),NULL,,,,
ADV_ACTN,CRDTCTY1,nvarchar(25),NULL,,,,
