PenFed,DFCU,Mapped
SNAPSHOT_DATE,SNAPSHOT_DATE,MonthEndDate
LOAN_ID,LOAN_ID,CurrentAccountNumber
ASSET_CLASS,ASSET_CLASS,AssetClass
PRODUCT_TYPE,PRODUCT_TYPE,ProductType
CREDIT_UNION_PRODUCT_TYPE,CREDIT_UNION_PRODUCT_TYPE,ProductDescription
CREDIT_CLASS,,CreditClass
LOAN_PURPOSE,LOAN_DESC,LoanPurposeDesc
LOAN_TYPE,,ServicingLoanTypeDesc
DOC_TYPE,,DocumentationType
AUTO_MANUAL_APPRVL,AUTO_MANUAL_APPRVL,ApprovalMethodName
ORIG_BAL,ORIG_BAL,OriginalLoanAmount
CURR_BAL,CURR_BAL,MonthEndBalanceAmount
ORIG_JUN_BAL,,OriginalJuniorBalance
CURR_JUN_BAL,,CurrentJuniorBalance
ORIG_SEN_BAL,,OriginalSeniorBalance
CURR_SEN_BAL,,CurrentSeniorBalance
CURR_CRED_LIMIT,CURR_CRED_LIMIT,CreditLimitAmount
ORIG_FICO,ORIG_FICO,OriginalCreditScore
CURR_FICO,CURR_FICO,CurrentCreditScore
CURR_FICO_DATE,CURR_FICO_DATE,CreditScoreDate
DTI_BACK_ORIG,DTI_BACK_ORIG,OriginalBackendDebtToIncome
DTI_FRONT_ORIG,DTI_FRONT_ORIG,OriginalFrontendDebtToIncome
BORROWER_STATE_CODE,BORROWER_STATE_CODE,OriginalBorrowerStateCode
BORROWER_OCCUP,BORROWER_OCCUP,OriginalBorrowerOccupation
ORIG_DATE,ORIG_DATE,AccountOpenedDate
FIRST_PAY_DATE,FIRST_PAY_DATE,FirstDueDate
MATURITY_DATE,MATURITY_DATE,AccountMaturityDate
ORIG_LOAN_TERM,ORIG_LOAN_TERM,OriginalLoanTerm
NEXT_DUE_DATE,NEXT_DUE_DATE,NextPaymentDueDate
PAID_THRU_DATE,PAID_THRU_DATE,PaidThruDate
BALLOON_FLAG,,BalloonFlag
BALLOON_TERM,,BalloonTerm
INT_RATE_TYPE,INT_RATE_TYPE,InterestRateType
ORIG_INT_RATE,ORIG_INT_RATE,OriginalInterestRate
CURR_INT_RATE,CURR_INT_RATE,AnnualInterestRate
ACT_PNI_PAID,ACT_PNI_PAID,PrincipalAndInterestPMTAmount
IO_FLAG,,ARMInterestOnlyOrFullyAmortizing
IO_TERM,,InterestOnlyTerm
PPAY_PNLTY_FLAG,,PrepayPenaltyCode
PPAY_PNLTY_TERM,,PrepayPenaltyTerm
OCC_TYPE,,OccupancyCode
PROP_TYPE,,PropertyTypeDescription
PROP_STATE,,PropertyStateCode
PROP_CITY,,PropertyCityName
PROP_COUNTY,,PropertyCountyName
PROP_ZIP_CODE,,ZipCode5
PROP_MSA,,PropertyMSA
LIEN_TYPE,,LienPosition
ORIG_APPR_TYPE,,OriginalAppraisalType
ORIG_APPR_VALUE,,OriginalAppraisalAmount
ORIG_APPR_DATE,,OriginalAppraisalDate
REFRESH_APPR_VALUE,,CurrentAppraisalAmount
REFRESH_APPR_TYPE,,CurrentAppraisalType
REFRESH_APPR_DATE,,CurrentAppraisalDate
SALES_PRICE,,FHLBPurchasePriceAmount
ORIG_LTV_FIRST,ORIG_LTV,OriginalLoanToValueAMTFirst
ORIG_LTV_SEC,,OriginalLoanToValueAMTSecond
CLTV_ORIG,,OriginalCombinedLoanToValueAMT
CURR_LTV,,CurrentLoanToValueAmount
CURR_CLTV,,CurrentCombinedLoanToValueAmount
CURR_LTV_SEC,,CurrentLoanToValueAmountSecond
CURR_LOAN_STATUS,CURR_LOAN_STATUS,AccountStatusCode
DPD,DPD,DaysDelinquentCount
BKRPT_FLAG**,BKRPT_FLAG,BankruptcyStatusCode
BKRPT_CHAPTER,BKRPT_CHAPTER,BankruptcyTypeCode
FCL_FLAG,,ForeclosureFlag
REO_FLAG,,RealEstateOwnedFlag
DQ_HIST_12,DQ_HIST_12,DelinquencyHistory12MonthString
CHARGE_OFF_FLAG,,ChargeOffIndicator
CHARGE_OFF_AMT,,ChargeOffAmount
RECOVERY_AMT,,RecoveryAmount
FFEIC_WRITEDOWN,,FFIECWritedownAmount
NBR_OF_TIMES_30_DAYS_DELINQUENT_LIFE_OF_LOAN,NBR_OF_TIMES_30_DAYS_DELINQUENT_LIFE_OF_LOAN,Total30DaysDQLifeOfLoanCount
NBR_OF_TIMES_60_DAYS_DELINQUENT_LIFE_OF_LOAN,NBR_OF_TIMES_60_DAYS_DELINQUENT_LIFE_OF_LOAN,Total60DaysDQLifeOfLoanCount
NBR_OF_TIMES_90_DAYS_DELINQUENT_LIFE_OF_LOAN,NBR_OF_TIMES_90_DAYS_DELINQUENT_LIFE_OF_LOAN,Total90DaysDQLifeOfLoanCount
NBR_OF_TIMES_120_DAYS_DELINQUENT_LIFE_OF_LOAN,NBR_OF_TIMES_120_DAYS_DELINQUENT_LIFE_OF_LOAN,Total120DaysDQLifeOfLoanCount
NBR_OF_TIMES_180_DAYS_DELINQUENT_LIFE_OF_LOAN,NBR_OF_TIMES_180_DAYS_DELINQUENT_LIFE_OF_LOAN,Total180DaysDQLifeOfLoanCount
TDR_FLAG,TDR_FLAG,CurrentTDRFlag
BANKRUPTCY_FILE_DATE,DATE_BANK,BankruptcyEffectiveDate
FORE_START_DATE,,ForeclosureStartDate
FORE_SALE_DATE,,ForeclosureSaleDate
DATE_REO,,RealEstateOwnedDate
MOD_FLAG,,ModificationFlag
TDR_HIST_FLAG,TDR_HIST_FLAG,TDRLifeOfLoanFlag
TDR_IMPAIRMENT_AMT,TDR_IMPAIRMENT_AMT,TDRImpairmentAmount
MOD_TYPE,,ModificationType
MOD_DATE,,ModificationDate
NBR_TIMES_MOD,,TotalTimesModCount
LATEST_MOD_DATE,,LastModificationDate
MOD_RATE,,ModificationRate
MOD_MAT_DATE,,ModificationMaturityDate
MOD_FORGIVE_BAL,,ModificationForgiveDate
MOD_FORBORNE_BAL,,ModificationForborneDate
MOD_PNI,,ModificationPrincipalAndInterest
MOD_ORIG_LOAN_ID,,ModificationOriginalLoanID
DQ_BKT_MOD,,DQBucketModification
REFRESH_LTV_MOD,,PostModificationLoanToValue
RATE_PRE_MOD,,PreModificationRate
MOD_BAL,,ModificationBalance
PMT_PRE_MOD,,PreModificationPayment
PMT_POST_MOD,,PostModificationPayment
INT_RATE_INDEX,INT_RATE_INDEX,RateIndexDescription
FIRST_RESET_FREQ,FIRST_RESET_FREQ,FirstResetFrequency
SUBSEQ_RESET_FREQ,SUBSEQ_RESET_FREQ,SubsequentResetFrequency
INT_GROSS_MARGIN,INT_GROSS_MARGIN,InterestGrossMargin
RATE_LIFE_CAP,RATE_LIFE_CAP,CapLifetimeInterestRate
RATE_LIFE_FLOOR,RATE_LIFE_FLOOR,FloorLifetimeInterestRate
RATE_FIRST_CAP,,FirstCapInterestRate
RATE_SUBSEQ_CAP,,SubsequentCapInterestRate
RATE_FIRST_FLOOR,,FirstFloorInterestRate
RATE_SUBSEQ_FLOOR,,SubsequentFloorInterestRate
FIRST_RATE_ADJ_DATE,,FirstRateAdjustDate
NEXT_RATE_ADJ_DATE,,NextRateAdjustDate
NEG_AM_FLAG,,NegativeAmortizationFlag
NEG_AM_CAP,,NegativeAmoritzationCap
OPTION_ARM_FLAG,,OptionARMCode
NET_MARGIN,,InterestNetMargin
ARM_INITIAL_RATE,,ARMInitialRate
FIRST_PMT_ADJ_DATE,,FirstPaymentAdjustDate
NXT_PMT_ADJ_DATE,,NextPaymentAdjustDate
ORIG_MI_COVERAGE,,OrigMortgageInsuranceCoverage
MI_COMPANY,,MortgageInsuranceCompany
ORIG_CRED_LIMIT,ORIG_CRED_LIMIT,OriginalCreditLimit
CREDIT_CLOSED_FLAG,,CreditClosedFlag
CREDIT_FROZEN_FLAG,,CreditFrozenFlag
CREDIT_LIMIT_CHANGE_ACTION,CREDIT_LIMIT_CHANGE_ACTION,CreditLimitChangeAction
DRAW_PERIOD,,DrawPeriod
REPAY_PERIOD,,RepayPeriod
HE_TYPE,,HomeEquityType
DATE_LINE_CHANGED,,LineChangedDate
DATE_LINE_CLOSED,,LineClosedDate
BUSINESS_ACCOUNT_FLAG,BUSINESS_ACCOUNT_FLAG,BusinessAccountFlag
,MEMBER_NBR,CurrentPartyID
,AMORTIZATIONTYPE,AmortizationType
,BACK_END_LTV,BackEndLoanToValue
,BORROWER_AGE,BorrowerAge
,CO_BORROWER_FICO,OriginalCoBorrowerCreditScore
,CO_BORROWER_FLAG,CoBorrowerFlag
,CO_BORROWER_OCCUP,CoBorrowerOccupation
,COLLATERAL_MAKE,VehicleMake
,COLLATERAL_MODEL,VehicleModel
,COLLATERAL_TYPE,CollateralTypeDescription
,COLLATERAL_YEAR,CollateralYear
,COLLATERALSTATE,CollateralStateCode
,COLLATERALZIPCODE,CollateralZipCode
,CONTRACT_RES_VALUE,ContractResidualValue
,CREDITIMPAIRED,CreditImpairedFlag
,CURR_COLLATERAL_VAL,CurrentCollateralValue
,CURR_CREDIT_GRADE,CurrentCreditGrade
,CURRENT_P_I_AMOUNT_OWED,CurrentPaymentandInterestAMT
,DATE_CLOSED,ClosedDate
,DEALER_NAME,DealerName
,DEFAULTDATE,DefaultDate
,ESTIMATE_RESIDUAL_VALUE,EstimatedResidualValue
,FLAG_USED,UsedAutoFlag
,FRONT_END_LTV,FrontEndLoanToValue
,INSTRUMENTIDENTIFIER,InstrumentIdentifier
,INTEREST_ACCRUAL_BASIS,InterestAccrualBasis
,LAST_LIMIT_CHANGE_DATE,LastLimitChangeDate
,LEASE_FACTOR,LeaseFactor
,LOAN_SOURCE,Channel
,ORIG_COLLATERAL_VAL,OriginalCollateralValue
,ORIG_CREDIT_GRADE,OriginalCreditGrade
,PAYMNT_FREQNCY,PaymentFrequency
,PTI,PaymentToIncomeRatio
,RECOURSE_FLAG,RecourseFlag
,SERVICER,Servicer
,VEHICLE_MFGR,VehicleManufacturer
,VIN,VehicleIdentificationNumber
