Table,Column,MapToName
dfcu,SNAPSHOT_DATE,SNAPSHOT_DATE
dfcu,LOAN_NBR,AccountNumber
dfcu,ASSET_CLASS,GroupCode
dfcu,PRODUCT_TYPE,ProductLevel3Rate
dfcu,CREDIT_UNION_PRODUCT_TYPE,ProductDescription
dfcu,LOAN_DESC,HDMALoanPurposeDesc
dfcu,AUTO_MANUAL_APPRVL,AUTO_MANUAL_APPRVL
dfcu,ORIG_BAL,OriginalLoanAmount
dfcu,CURR_BAL,MonthEndBalanceAmount
dfcu,CURR_CRED_LIMIT,CURR_CRED_LIMIT
dfcu,CURR_UNFUND_BAL,CURR_UNFUND_BAL
dfcu,ORIG_FICO,ORIG_FICO
dfcu,CURR_FICO,FICOClassic08
dfcu,CURR_FICO_DATE,CreditScoreDate
dfcu,DTI_BACK_ORIG,DebtToIncome
dfcu,DTI_FRONT_ORIG,HousingRatio
dfcu,BORROWER_STATE_CODE,StateCode
dfcu,BORROWER_OCCUP,BORROWER_OCCUP
dfcu,ORIG_DATE,AccountOpenedDate
dfcu,FIRST_PAY_DATE,FirstDueDate
dfcu,MATURITY_DATE,AccountMaturityDate
dfcu,ORIG_LOAN_TERM,LoanTerm
dfcu,WALA,AccountOpenedDate
dfcu,WAM,AccountMaturityDate
dfcu,NEXT_DUE_DATE,NextPaymentDueDate
dfcu,PAID_THRU_DATE,CurrentDueDate
dfcu,INT_PAID_THRU_DATE,INT_PAID_THRU_DATE
dfcu,INT_RATE_TYPE,INT_RATE_TYPE
dfcu,ORIG_INT_RATE,OriginalInterestRate
dfcu,CURR_INT_RATE,AnnualInterestRate
dfcu,ACT_PNI_PAID,PrincipalAndInterestPaymentAmount
dfcu,ORIG_LTV,calcLtv
dfcu,CURR_DQ_BKT,CURR_DQ_BKT
dfcu,CURR_LOAN_STATUS,AccountStatusCode
dfcu,DPD,DaysDelinquentCount
dfcu,BKRPT_FLAG,DimPartyDurableSK
dfcu,BKRPT_CHAPTER,BankruptcyTypeCode
dfcu,DQ_HIST_12,DQ_HIST_12
dfcu,NBR_OF_TIMES_30_DAYS_DELINQUENT_LIFE_OF_LOAN,NBR_OF_TIMES_30_DAYS_DELINQUENT_LIFE_OF_LOAN
dfcu,NBR_OF_TIMES_60_DAYS_DELINQUENT_LIFE_OF_LOAN,NBR_OF_TIMES_60_DAYS_DELINQUENT_LIFE_OF_LOAN
dfcu,NBR_OF_TIMES_90_DAYS_DELINQUENT_LIFE_OF_LOAN,NBR_OF_TIMES_90_DAYS_DELINQUENT_LIFE_OF_LOAN
dfcu,NBR_OF_TIMES_120_DAYS_DELINQUENT_LIFE_OF_LOAN,NBR_OF_TIMES_120_DAYS_DELINQUENT_LIFE_OF_LOAN
dfcu,NBR_OF_TIMES_180_DAYS_DELINQUENT_LIFE_OF_LOAN,NBR_OF_TIMES_180_DAYS_DELINQUENT_LIFE_OF_LOAN
dfcu,TDR_FLAG,AcquLiteLSMortResvAcct
dfcu,TDR_HIST_FLAG,TDR_HIST_FLAG
dfcu,TDR_IMPAIRMENT_AMT,TDR_IMPAIRMENT_AMT
dfcu,INT_RATE_INDEX,INT_RATE_INDEX
dfcu,FIRST_RESET_FREQ,ARMFirstChangeFrequencyInterestRatePI
dfcu,SUBSEQ_RESET_FREQ,ARMSubsequentChangeFrequencyRatePI
dfcu,INT_GROSS_MARGIN,ARMInterestRateMarginRate
dfcu,RATE_LIFE_CAP,ARMInterestRateMaxLifeCeilingRate
dfcu,RATE_LIFE_FLOOR,ARMInterestRateMaxLifeFloorRate
dfcu,ORIG_CRED_LIMIT,ORIG_CRED_LIMIT
dfcu,CREDIT_LIMIT_CHANGE_ACTION,CREDIT_LIMIT_CHANGE_ACTION
dfcu,BUSINESS_ACCOUNT_FLAG,BUSINESS_ACCOUNT_FLAG
dfcu,EXIT_TYPE,EXIT_TYPE
dfcu,CONFORM_CURR_DQ_BKT,CurrentDaysDelinquent
dfcu,CONFORM_CURR_LOAN_STATUS,CONFORM_DQ_BKT_MOD
dfcu,CONFORM_INT_RATE_INDEX,ARMIndexDescription
dfcu,CONFORM_INT_RATE_TYPE,ARMPlanCode
dfcu,CONFORM_LOAN_PURPOSE,la_purpose_desc
dfcu,CONFORM_PRODUCT_TYPE,ARMPlanCode
dfcu,MEMBER_NBR,MEMBER_NBR
dfcu,AGE_PURCHASE,VehicleYear
dfcu,AMORTIZATIONTYPE,AMORTIZATIONTYPE
dfcu,BACK_END_LTV,BACK_END_LTV
dfcu,BORROWER_AGE,PersonBirthDate
dfcu,CO_BORROWER_FICO,CreditScore
dfcu,CO_BORROWER_FLAG,AccountRoleCode
dfcu,CO_BORROWER_OCCUP,CO_BORROWER_OCCUP
dfcu,COLLATERAL_MAKE,VehicleMake
dfcu,COLLATERAL_MODEL,VehicleModel
dfcu,COLLATERAL_TYPE,CollateralTypeDescription
dfcu,COLLATERAL_YEAR,VehicleYear
dfcu,COLLATERALSTATE,COLLATERALSTATE
dfcu,COLLATERALZIPCODE,COLLATERALZIPCODE
dfcu,CONFORM_COLLATERAL_TYPE,VehicleTypeDescription
dfcu,CONFORM_INTEREST_ACCRUAL_BASIS,CONFORM_INTEREST_ACCRUAL_BASIS
dfcu,CONFORM_PAYMNT_FREQNCY,PMTCALPERIODCD
dfcu,CONTRACT_RES_VALUE,CONTRACT_RES_VALUE
dfcu,CREDITIMPAIRED,CREDITIMPAIRED
dfcu,CURR_COLLATERAL_VAL,CURR_COLLATERAL_VAL
dfcu,CURR_CREDIT_GRADE,LoanLossCategoryCode
dfcu,CURRENT_P_I_AMOUNT_OWED,PMTAMT
dfcu,DATE_BANK,DimBankruptcyEffectiveDateSK
dfcu,DATE_CLOSED,DATE_CLOSED
dfcu,DEALER_NAME,DealerLongName
dfcu,DEFAULTDATE,DEFAULTDATE
dfcu,ESTIMATE_RESIDUAL_VALUE,ESTIMATE_RESIDUAL_VALUE
dfcu,FLAG_USED,MinorAccountTypeDescription
dfcu,FRONT_END_LTV,FRONT_END_LTV
dfcu,INSTRUMENTIDENTIFIER,INSTRUMENTIDENTIFIER
dfcu,INTEREST_ACCRUAL_BASIS,INTEREST_ACCRUAL_BASIS
dfcu,LAST_LIMIT_CHANGE_DATE,LAST_LIMIT_CHANGE_DATE
dfcu,LEASE_FACTOR,LEASE_FACTOR
dfcu,LOAN_ID,AccountNumber
dfcu,LOAN_SOURCE,MinorAccountTypeDescription
dfcu,ORIG_COLLATERAL_VAL,EstimatedValue
dfcu,ORIG_CREDIT_GRADE,QualityFactorCode
dfcu,PAYMNT_FREQNCY,PMTCALPERIODCD
dfcu,PORTFOLIOIDENTIFIER,PORTFOLIOIDENTIFIER
dfcu,PTI,PTI
dfcu,RECOURSE_FLAG,RECOURSE_FLAG
dfcu,SECURED_FLAG,ProductLevel4Cat
dfcu,SERVICER,SERVICER
dfcu,VEHICLE_MFGR,VehicleMake
dfcu,VIN,VIN
