Table,Column,MapToName
penfed,SNAPSHOT_DATE,SNAPSHOT_DATE
penfed,LOAN_ID,AccountNumber
penfed,ASSET_CLASS,GroupCode
penfed,PRODUCT_TYPE,ProductLevel3Rate
penfed,CREDIT_UNION_PRODUCT_TYPE,ProductDescription
penfed,CREDIT_CLASS,Credit_Class
penfed,LOAN_PURPOSE,HDMALoanPurposeDesc
penfed,LOAN_TYPE,ServicingLoanTypeDesc
penfed,DOC_TYPE,DocumentationDescription
penfed,AUTO_MANUAL_APPRVL,AUTO_MANUAL_APPRVL
penfed,ORIG_BAL,OriginalLoanAmount
penfed,CURR_BAL,MonthEndBalanceAmount
penfed,ORIG_JUN_BAL,ORIG_JUN_BAL
penfed,CURR_JUN_BAL,CURR_JUN_BAL
penfed,ORIG_SEN_BAL,ORIG_SEN_BAL
penfed,CURR_SEN_BAL,CURR_SEN_BAL
penfed,CURR_CRED_LIMIT,CURR_CRED_LIMIT
penfed,CURR_UNFUND_BAL,CURR_UNFUND_BAL
penfed,ORIG_FICO,ORIG_FICO
penfed,CURR_FICO,FICOClassic08
penfed,CURR_FICO_DATE,CreditScoreDate
penfed,DTI_BACK_ORIG,DebtToIncome
penfed,DTI_FRONT_ORIG,HousingRatio
penfed,BORROWER_STATE_CODE,StateCode
penfed,BORROWER_OCCUP,BORROWER_OCCUP
penfed,ORIG_DATE,AccountOpenedDate
penfed,FIRST_PAY_DATE,FirstDueDate
penfed,MATURITY_DATE,AccountMaturityDate
penfed,ORIG_LOAN_TERM,LoanTerm
penfed,WALA,AccountOpenedDate
penfed,WAM,AccountMaturityDate
penfed,NEXT_DUE_DATE,NextPaymentDueDate
penfed,PAID_THRU_DATE,CurrentDueDate
penfed,INT_PAID_THRU_DATE,INT_PAID_THRU_DATE
penfed,BALLOON_FLAG,CLBalloon
penfed,BALLOON_TERM,BALLOON_TERM
penfed,INT_RATE_TYPE,INT_RATE_TYPE
penfed,ORIG_INT_RATE,OriginalInterestRate
penfed,CURR_INT_RATE,AnnualInterestRate
penfed,ACT_PNI_PAID,PrincipalAndInterestPaymentAmount
penfed,IO_FLAG,ARMInterestOnlyOrFullyAmortizing
penfed,IO_TERM,IO_Term
penfed,PPAY_PNLTY_FLAG,PPAY_PNLTY_FLAG
penfed,PPAY_PNLTY_TERM,PPAY_PNLTY_TERM
penfed,OCC_TYPE,OccupancyCode
penfed,PROP_TYPE,PropertyTypeDescription
penfed,PROP_STATE,StateCode
penfed,PROP_CITY,CityName
penfed,PROP_COUNTY,CountyName
penfed,PROP_ZIP_CODE,ZipCode5
penfed,PROP_MSA,PROP_MSA
penfed,LIEN_TYPE,MortgageInvestorCode
penfed,SECOND_LIEN_FLAG,SECOND_LIEN_FLAG
penfed,LIEN_RELATED_ID,LIEN_RELATED_ID
penfed,ORIG_APPR_TYPE,ORIG_APPR_TYPE
penfed,ORIG_APPR_VALUE,PropertyValueAmount
penfed,ORIG_APPR_DATE,OriginalAppraisalDate
penfed,REFRESH_APPR_VALUE,REFRESH_APPR_VALUE
penfed,REFRESH_APPR_TYPE,REFRESH_APPR_TYPE
penfed,REFRESH_APPR_DATE,REFRESH_APPR_DATE
penfed,CURR_BPO_VALUE,CURR_BPO_VALUE
penfed,BPO_DATE,BPO_DATE
penfed,CURR_AVM_VALUE,CURR_AVM_VALUE
penfed,CURR_AVM_DATE,CURR_AVM_DATE
penfed,SALES_PRICE,FHLBPurchasePriceAmount
penfed,ORIG_LTV_FIRST,calcLtv
penfed,ORIG_LTV_SEC,ORIG_LTV_SEC
penfed,CLTV_ORIG,calcCLTV
penfed,CURR_LTV,CURR_LTV
penfed,CURR_CLTV,CURR_CLTV
penfed,CURR_LTV_SEC,CURR_LTV_SEC
penfed,CURR_DQ_BKT,CURR_DQ_BKT
penfed,CURR_LOAN_STATUS,AccountStatusCode
penfed,DPD,DaysDelinquentCount
penfed,BKRPT_FLAG**,DimPartyDurableSK
penfed,BKRPT_CHAPTER,BankruptcyTypeCode
penfed,FCL_FLAG,FCL_FLAG
penfed,REO_FLAG,REO_FLAG
penfed,DQ_HIST_12,DQ_HIST_12
penfed,CHARGE_OFF_FLAG,CHARGE_OFF_FLAG
penfed,CHARGE_OFF_AMT,CHARGE_OFF_AMT
penfed,RECOVERY_AMT,RECOVERY_AMT
penfed,FFEIC_WRITEDOWN,FFEIC_WRITEDOWN
penfed,NBR_OF_TIMES_30_DAYS_DELINQUENT_LIFE_OF_LOAN,NBR_OF_TIMES_30_DAYS_DELINQUENT_LIFE_OF_LOAN
penfed,NBR_OF_TIMES_60_DAYS_DELINQUENT_LIFE_OF_LOAN,NBR_OF_TIMES_60_DAYS_DELINQUENT_LIFE_OF_LOAN
