Table Name,Column Name,Column Datatype,Column Null Option,Primary Key,Restricted,PII
PenFed_Monthly,snapshot_date,int,NULL,,,
PenFed_Monthly,loan_id,int,NULL,,,
PenFed_Monthly,asset_class,nvarchar(200),NULL,,,
PenFed_Monthly,product_type,nvarchar(200),NULL,,,
PenFed_Monthly,credit_union_product_type,nvarchar(200),NULL,,,
PenFed_Monthly,credit_class,nvarchar(200),NULL,,,
PenFed_Monthly,loan_purpose,nvarchar(200),NULL,,,
PenFed_Monthly,loan_type,nvarchar(200),NULL,,,
PenFed_Monthly,doc_type,nvarchar(200),NULL,,,
PenFed_Monthly,auto_manual_apprvl,nvarchar(200),NULL,,,
PenFed_Monthly,orig_bal,int,NULL,,,
PenFed_Monthly,curr_bal,"decimal(16,6)",NULL,,,
PenFed_Monthly,orig_jun_bal,int,NULL,,,
PenFed_Monthly,curr_jun_bal,int,NULL,,,
PenFed_Monthly,orig_sen_bal,int,NULL,,,
PenFed_Monthly,curr_sen_bal,int,NULL,,,
PenFed_Monthly,curr_cred_limit,int,NULL,,,
PenFed_Monthly,curr_unfund_bal,int,NULL,,,
PenFed_Monthly,orig_fico,int,NULL,,,
PenFed_Monthly,curr_fico,int,NULL,,,
PenFed_Monthly,curr_fico_date,int,NULL,,,
PenFed_Monthly,dti_back_orig,"decimal(16,6)",NULL,,,
PenFed_Monthly,dti_front_orig,"decimal(16,6)",NULL,,,
PenFed_Monthly,borrower_state_code,nvarchar(50),NULL,,,
PenFed_Monthly,borrower_occup,nvarchar(50),NULL,,,
PenFed_Monthly,orig_date,int,NULL,,,
PenFed_Monthly,first_pay_date,int,NULL,,,
PenFed_Monthly,maturity_date,int,NULL,,,
PenFed_Monthly,orig_loan_term,int,NULL,,,
PenFed_Monthly,wala,int,NULL,,,
PenFed_Monthly,wam,int,NULL,,,
PenFed_Monthly,next_due_date,int,NULL,,,
PenFed_Monthly,paid_thru_date,int,NULL,,,
PenFed_Monthly,int_paid_thru_date,int,NULL,,,
PenFed_Monthly,balloon_flag,nchar(1),NULL,,,
PenFed_Monthly,balloon_term,int,NULL,,,
PenFed_Monthly,int_rate_type,nvarchar(50),NULL,,,
PenFed_Monthly,orig_int_rate,"decimal(16,6)",NULL,,,
PenFed_Monthly,curr_int_rate,"decimal(16,6)",NULL,,,
PenFed_Monthly,act_pni_paid,"decimal(16,6)",NULL,,,
PenFed_Monthly,io_flag,int,NULL,,,
PenFed_Monthly,io_term,int,NULL,,,
PenFed_Monthly,ppay_pnlty_flag,nchar(1),NULL,,,
PenFed_Monthly,ppay_pnlty_term,int,NULL,,,
PenFed_Monthly,occ_type,nvarchar(50),NULL,,,
PenFed_Monthly,prop_type,nvarchar(50),NULL,,,
PenFed_Monthly,prop_state,nvarchar(50),NULL,,,
PenFed_Monthly,prop_city,nvarchar(50),NULL,,,
PenFed_Monthly,prop_county,nvarchar(50),NULL,,,
PenFed_Monthly,prop_zip_code,int,NULL,,,
PenFed_Monthly,prop_msa,nvarchar(50),NULL,,,
PenFed_Monthly,lien_type,int,NULL,,,
PenFed_Monthly,second_lien_flag,nchar(1),NULL,,,
PenFed_Monthly,lien_related_id,int,NULL,,,
PenFed_Monthly,orig_appr_type,int,NULL,,,
PenFed_Monthly,orig_appr_value,int,NULL,,,
PenFed_Monthly,orig_appr_date,int,NULL,,,
PenFed_Monthly,refresh_appr_value,int,NULL,,,
PenFed_Monthly,refresh_appr_type,int,NULL,,,
PenFed_Monthly,refresh_appr_date,int,NULL,,,
PenFed_Monthly,curr_bpo_value,int,NULL,,,
PenFed_Monthly,bpo_date,int,NULL,,,
PenFed_Monthly,curr_avm_value,int,NULL,,,
PenFed_Monthly,curr_avm_date,int,NULL,,,
PenFed_Monthly,sales_price,int,NULL,,,
PenFed_Monthly,orig_ltv_first,"decimal(16,6)",NULL,,,
PenFed_Monthly,orig_ltv_sec,int,NULL,,,
PenFed_Monthly,cltv_orig,"decimal(16,6)",NULL,,,
PenFed_Monthly,curr_ltv,"decimal(16,6)",NULL,,,
PenFed_Monthly,curr_cltv,int,NULL,,,
PenFed_Monthly,curr_ltv_sec,int,NULL,,,
PenFed_Monthly,curr_dq_bkt,nvarchar(50),NULL,,,
PenFed_Monthly,curr_loan_status,nvarchar(50),NULL,,,
PenFed_Monthly,dpd,int,NULL,,,
PenFed_Monthly,bkrpt_flag**,nchar(1),NULL,,,
PenFed_Monthly,bkrpt_chapter,int,NULL,,,
PenFed_Monthly,fcl_flag,nchar(1),NULL,,,
PenFed_Monthly,reo_flag,nchar(1),NULL,,,
PenFed_Monthly,dq_hist_12,int,NULL,,,
PenFed_Monthly,charge_off_flag,nchar(1),NULL,,,
PenFed_Monthly,charge_off_amt,int,NULL,,,
PenFed_Monthly,recovery_amt,int,NULL,,,
PenFed_Monthly,ffeic_writedown,int,NULL,,,
PenFed_Monthly,nbr_of_times_30_days_delinquent_life_of_loan,int,NULL,,,
PenFed_Monthly,nbr_of_times_60_days_delinquent_life_of_loan,int,NULL,,,
PenFed_Monthly,nbr_of_times_90_days_delinquent_life_of_loan,int,NULL,,,
PenFed_Monthly,nbr_of_times_120_days_delinquent_life_of_loan,int,NULL,,,
PenFed_Monthly,nbr_of_times_180_days_delinquent_life_of_loan,int,NULL,,,
PenFed_Monthly,tdr_flag,nchar(1),NULL,,,
PenFed_Monthly,bankruptcy_file_date,int,NULL,,,
PenFed_Monthly,fore_start_date,int,NULL,,,
PenFed_Monthly,fore_sale_date,int,NULL,,,
PenFed_Monthly,date_reo,int,NULL,,,
PenFed_Monthly,mod_flag,nchar(1),NULL,,,
PenFed_Monthly,tdr_hist_flag,nchar(1),NULL,,,
PenFed_Monthly,tdr_impairment_amt,int,NULL,,,
PenFed_Monthly,mod_type,nvarchar(50),NULL,,,
PenFed_Monthly,mod_date,int,NULL,,,
PenFed_Monthly,nbr_times_mod,int,NULL,,,
PenFed_Monthly,latest_mod_date,int,NULL,,,
PenFed_Monthly,mod_rate,int,NULL,,,
PenFed_Monthly,mod_mat_date,int,NULL,,,
PenFed_Monthly,mod_forgive_bal,int,NULL,,,
PenFed_Monthly,mod_forborne_bal,int,NULL,,,
PenFed_Monthly,mod_pni,int,NULL,,,
PenFed_Monthly,mod_orig_loan_id,int,NULL,,,
PenFed_Monthly,dq_bkt_mod,int,NULL,,,
PenFed_Monthly,refresh_ltv_mod,int,NULL,,,
PenFed_Monthly,rate_pre_mod,int,NULL,,,
PenFed_Monthly,mod_bal,int,NULL,,,
PenFed_Monthly,pmt_pre_mod,int,NULL,,,
PenFed_Monthly,pmt_post_mod,int,NULL,,,
PenFed_Monthly,int_rate_index,int,NULL,,,
PenFed_Monthly,first_reset_freq,int,NULL,,,
PenFed_Monthly,subseq_reset_freq,int,NULL,,,
PenFed_Monthly,int_gross_margin,"decimal(16,6)",NULL,,,
PenFed_Monthly,rate_life_cap,"decimal(16,6)",NULL,,,
PenFed_Monthly,rate_life_floor,"decimal(16,6)",NULL,,,
PenFed_Monthly,rate_first_cap,"decimal(16,6)",NULL,,,
PenFed_Monthly,rate_subseq_cap,"decimal(16,6)",NULL,,,
PenFed_Monthly,rate_first_floor,"decimal(16,6)",NULL,,,
PenFed_Monthly,rate_subseq_floor,"decimal(16,6)",NULL,,,
PenFed_Monthly,first_rate_adj_date,int,NULL,,,
PenFed_Monthly,next_rate_adj_date,int,NULL,,,
