Table,Column,MapToName
source,*:loan_number,loan_number
source,*:desc,product_type
source,*:product_type,product_type
source,*:sfee,service_fee
source,*:service_fee,service_fee
source,*:balance,balance
source,*:participation_balance_90,participation_balance_90
source,*:90_participation,participation_balance_90
source,*:int_date,date_interest_paid_to
source,*:date_interest_paid_to,date_interest_paid_to
source,*:original_loan_to_value_ratio,original_loan_to_value_ratio
source,*:amor_ltv,original_loan_to_value_ratio
source,*:net_int,net_int
source,*:price,price
source,*:premium_discount,premium_discount
source,*:funds_due,funds_due
source,*:VendorID,VendorID
source,*:DealID,DealID
