Table Name,Entity/Table Owner,Column Name,Domain,Column Datatype,Column Null Option,Primary Key,Restricted,PII,HashKey
product_category,dbo,product_category_id,,varchar(40),NOT NULL,Yes,,,Yes
product_category,dbo,pseudo_id,,varchar(63),NULL,No,,,
product_category,dbo,product_category_type_enum_id,,varchar(40),NULL,No,,,
product_category,dbo,category_name,,text,NULL,No,,,
product_category,dbo,description,,text,NULL,No,,,
product_category,dbo,owner_party_id,,varchar(40),NULL,No,,,
product_category,dbo,display_type_enum_id,,varchar(40),NULL,No,,,
product_category,dbo,last_updated_stamp,,datetime,NULL,No,,,
asset_issuance,dbo,asset_issuance_id,,varchar(40),NOT NULL,Yes,,,Yes
asset_issuance,dbo,asset_id,,varchar(40),NULL,No,,,
asset_issuance,dbo,asset_reservation_id,,varchar(40),NULL,No,,,
asset_issuance,dbo,order_id,,varchar(40),NULL,No,,,
asset_issuance,dbo,order_item_seq_id,,varchar(40),NULL,No,,,
asset_issuance,dbo,shipment_id,,varchar(40),NULL,No,,,
asset_issuance,dbo,shipment_item_source_id,,varchar(40),NULL,No,,,
asset_issuance,dbo,product_id,,varchar(40),NULL,No,,,
asset_issuance,dbo,invoice_id,,varchar(40),NULL,No,,,
asset_issuance,dbo,invoice_item_seq_id,,varchar(40),NULL,No,,,
asset_issuance,dbo,return_id,,varchar(40),NULL,No,,,
asset_issuance,dbo,return_item_seq_id,,varchar(40),NULL,No,,,
asset_issuance,dbo,work_effort_id,,varchar(40),NULL,No,,,
asset_issuance,dbo,facility_id,,varchar(40),NULL,No,,,
asset_issuance,dbo,asset_maintenance_id,,varchar(40),NULL,No,,,
asset_issuance,dbo,issued_by_user_id,,varchar(40),NULL,No,,,
asset_issuance,dbo,issued_date,,datetime,NULL,No,,,
asset_issuance,dbo,quantity,,"numeric(26,6)",NULL,No,,,
asset_issuance,dbo,quantity_cancelled,,"numeric(26,6)",NULL,No,,,
asset_issuance,dbo,acctg_trans_result_enum_id,,varchar(40),NULL,No,,,
asset_issuance,dbo,last_updated_stamp,,datetime,NULL,No,,,
party_relationship,dbo,party_relationship_id,,varchar(40),NOT NULL,Yes,,,Yes
party_relationship,dbo,relationship_type_enum_id,,varchar(40),NULL,No,,,
party_relationship,dbo,from_party_id,,varchar(40),NULL,No,,,
party_relationship,dbo,from_role_type_id,,varchar(40),NULL,No,,,
party_relationship,dbo,to_party_id,,varchar(40),NULL,No,,,
party_relationship,dbo,to_role_type_id,,varchar(40),NULL,No,,,
party_relationship,dbo,from_date,,datetime,NULL,No,,,
party_relationship,dbo,thru_date,,datetime,NULL,No,,,
party_relationship,dbo,status_id,,varchar(40),NULL,No,,,
party_relationship,dbo,comments,,text,NULL,No,,,
party_relationship,dbo,relationship_name,,text,NULL,No,,,
party_relationship,dbo,last_updated_stamp,,datetime,NULL,No,,,
work_effort_category_appl,dbo,work_effort_id,,varchar(40),NOT NULL,Yes,,,Yes
work_effort_category_appl,dbo,work_effort_category_id,,varchar(40),NOT NULL,Yes,,,Yes
work_effort_category_appl,dbo,last_updated_stamp,,datetime,NULL,No,,,
time_period,dbo,time_period_id,,varchar(40),NOT NULL,Yes,,,Yes
time_period,dbo,parent_period_id,,varchar(40),NULL,No,,,
time_period,dbo,previous_period_id,,varchar(40),NULL,No,,,
time_period,dbo,time_period_type_id,,varchar(40),NOT NULL,No,,,
time_period,dbo,party_id,,varchar(40),NOT NULL,No,,,
time_period,dbo,period_num,,"numeric(20,0)",NULL,No,,,
time_period,dbo,period_name,,text,NULL,No,,,
time_period,dbo,from_date,,date,NOT NULL,No,,,
time_period,dbo,thru_date,,date,NOT NULL,No,,,
time_period,dbo,is_closed,,char(1),NULL,No,,,
time_period,dbo,last_updated_stamp,,datetime,NULL,No,,,
gl_account_org_time_period,dbo,gl_account_id,,varchar(40),NOT NULL,Yes,,,Yes
gl_account_org_time_period,dbo,organization_party_id,,varchar(40),NOT NULL,Yes,,,Yes
gl_account_org_time_period,dbo,time_period_id,,varchar(40),NOT NULL,Yes,,,Yes
gl_account_org_time_period,dbo,posted_debits,,"numeric(24,4)",NULL,No,,,
gl_account_org_time_period,dbo,posted_credits,,"numeric(24,4)",NULL,No,,,
gl_account_org_time_period,dbo,posted_debits_no_closing,,"numeric(24,4)",NULL,No,,,
gl_account_org_time_period,dbo,posted_credits_no_closing,,"numeric(24,4)",NULL,No,,,
gl_account_org_time_period,dbo,beginning_balance,,"numeric(24,4)",NULL,No,,,
gl_account_org_time_period,dbo,ending_balance,,"numeric(24,4)",NULL,No,,,
gl_account_org_time_period,dbo,balance_last_updated,,datetime,NULL,No,,,
gl_account_org_time_period,dbo,last_updated_stamp,,datetime,NULL,No,,,
shipment_box_type,dbo,shipment_box_type_id,,varchar(40),NOT NULL,Yes,,,Yes
shipment_box_type,dbo,pseudo_id,,varchar(63),NULL,No,,,
shipment_box_type,dbo,description,,text,NULL,No,,,
shipment_box_type,dbo,dimension_uom_id,,varchar(40),NULL,No,,,
shipment_box_type,dbo,box_length,,"numeric(26,6)",NULL,No,,,
shipment_box_type,dbo,box_width,,"numeric(26,6)",NULL,No,,,
shipment_box_type,dbo,box_height,,"numeric(26,6)",NULL,No,,,
shipment_box_type,dbo,weight_uom_id,,varchar(40),NULL,No,,,
shipment_box_type,dbo,box_weight,,"numeric(26,6)",NULL,No,,,
shipment_box_type,dbo,default_gross_weight,,"numeric(26,6)",NULL,No,,,
shipment_box_type,dbo,capacity_uom_id,,varchar(40),NULL,No,,,
shipment_box_type,dbo,box_capacity,,"numeric(26,6)",NULL,No,,,
shipment_box_type,dbo,gateway_box_id,,text,NULL,No,,,
shipment_box_type,dbo,last_updated_stamp,,datetime,NULL,No,,,
facility_certification,dbo,facility_certification_id,,varchar(40),NOT NULL,Yes,,,Yes
facility_certification,dbo,facility_id,,varchar(40),NULL,No,,,
facility_certification,dbo,certification_type_enum_id,,varchar(40),NULL,No,,,
facility_certification,dbo,from_date,,date,NULL,No,,,
facility_certification,dbo,thru_date,,date,NULL,No,,,
facility_certification,dbo,contact_party_id,,varchar(40),NULL,No,,,
facility_certification,dbo,auditor_party_id,,varchar(40),NULL,No,,,
facility_certification,dbo,auditor_org_party_id,,varchar(40),NULL,No,,,
facility_certification,dbo,audit_start_date,,datetime,NULL,No,,,
facility_certification,dbo,audit_end_date,,datetime,NULL,No,,,
facility_certification,dbo,audit_score,,varchar(63),NULL,No,,,
facility_certification,dbo,cert_registration_id,,varchar(63),NULL,No,,,
facility_certification,dbo,other_cert_id,,varchar(63),NULL,No,,,
facility_certification,dbo,document_location,,text,NULL,No,,,
facility_certification,dbo,last_updated_stamp,,datetime,NULL,No,,,
return_system_message,dbo,return_id,,varchar(40),NOT NULL,Yes,,,Yes
return_system_message,dbo,system_message_id,,varchar(40),NOT NULL,Yes,,,Yes
return_system_message,dbo,external_id,,varchar(63),NULL,No,,,
return_system_message,dbo,origin_id,,varchar(63),NULL,No,,,
return_system_message,dbo,display_id,,varchar(63),NULL,No,,,
return_system_message,dbo,last_updated_stamp,,datetime,NULL,No,,,
db_form_field_option,dbo,form_id,,varchar(40),NOT NULL,Yes,,,Yes
db_form_field_option,dbo,field_name,,nvarchar(80),NOT NULL,Yes,,,Yes
db_form_field_option,dbo,sequence_num,,"numeric(20,0)",NOT NULL,Yes,,,Yes
db_form_field_option,dbo,key_value,,text,NULL,No,,,
db_form_field_option,dbo,text,,text,NULL,No,,,
db_form_field_option,dbo,last_updated_stamp,,datetime,NULL,No,,,
product_meter,dbo,product_meter_id,,varchar(40),NOT NULL,Yes,,,Yes
product_meter,dbo,product_id,,varchar(40),NULL,No,,,
product_meter,dbo,product_meter_type_id,,varchar(40),NULL,No,,,
product_meter,dbo,meter_uom_id,,varchar(40),NULL,No,,,
product_meter,dbo,meter_name,,text,NULL,No,,,
product_meter,dbo,last_updated_stamp,,datetime,NULL,No,,,
budget_review,dbo,budget_review_id,,varchar(40),NOT NULL,Yes,,,Yes
budget_review,dbo,budget_id,,varchar(40),NULL,No,,,
budget_review,dbo,party_id,,varchar(40),NULL,No,,,
budget_review,dbo,budget_review_result_enum_id,,varchar(40),NULL,No,,,
budget_review,dbo,review_date,,datetime,NULL,No,,,
budget_review,dbo,last_updated_stamp,,datetime,NULL,No,,,
payroll_adjustment_exempt,dbo,payroll_adjustment_id,,varchar(40),NOT NULL,Yes,,,Yes
payroll_adjustment_exempt,dbo,tax_exempt_enum_id,,varchar(40),NOT NULL,Yes,,,Yes
payroll_adjustment_exempt,dbo,last_updated_stamp,,datetime,NULL,No,,,
agreement_term,dbo,agreement_term_id,,varchar(40),NOT NULL,Yes,,,Yes
agreement_term,dbo,agreement_id,,varchar(40),NULL,No,,,
agreement_term,dbo,agreement_item_seq_id,,varchar(40),NULL,No,,,
agreement_term,dbo,settlement_term_id,,varchar(40),NULL,No,,,
agreement_term,dbo,term_type_enum_id,,varchar(40),NULL,No,,,
agreement_term,dbo,term_text,,text,NULL,No,,,
agreement_term,dbo,term_number,,"numeric(26,6)",NULL,No,,,
agreement_term,dbo,last_updated_stamp,,datetime,NULL,No,,,
order_tag,dbo,order_id,,varchar(40),NOT NULL,Yes,,,Yes
order_tag,dbo,tag_type_id,,varchar(40),NOT NULL,Yes,,,Yes
order_tag,dbo,from_date,,datetime,NOT NULL,Yes,,,Yes
order_tag,dbo,thru_date,,datetime,NULL,No,,,
order_tag,dbo,user_id,,varchar(40),NULL,No,,,
order_tag,dbo,last_updated_stamp,,datetime,NULL,No,,,
visitor,dbo,visitor_id,,varchar(40),NOT NULL,Yes,,,Yes
visitor,dbo,created_date,,datetime,NULL,No,,,
visitor,dbo,last_updated_stamp,,datetime,NULL,No,,,
invoice_term,dbo,invoice_id,,varchar(40),NOT NULL,Yes,,,Yes
