Table Name,Column Name,Column Datatype,Column Null Option,Primary Key,Restricted,PII,HashKey,ShortName
product_category,product_category_id,varchar(40),NOT NULL,Yes,,,Yes,
product_category,pseudo_id,varchar(63),NULL,,,,,
product_category,product_category_type_enum_id,varchar(40),NULL,,,,,
product_category,category_name,text,NULL,,,,,
product_category,description,text,NULL,,,,,
product_category,owner_party_id,varchar(40),NULL,,,,,
product_category,display_type_enum_id,varchar(40),NULL,,,,,
product_category,last_updated_stamp,datetime,NULL,,,,,
party_relationship,party_relationship_id,varchar(40),NOT NULL,Yes,,,Yes,
party_relationship,relationship_type_enum_id,varchar(40),NULL,,,,,
party_relationship,from_party_id,varchar(40),NULL,,,,,
party_relationship,from_role_type_id,varchar(40),NULL,,,,,
party_relationship,to_party_id,varchar(40),NULL,,,,,
party_relationship,to_role_type_id,varchar(40),NULL,,,,,
party_relationship,from_date,datetime,NULL,,,,,
party_relationship,thru_date,datetime,NULL,,,,,
party_relationship,status_id,varchar(40),NULL,,,,,
party_relationship,comments,text,NULL,,,,,
party_relationship,relationship_name,text,NULL,,,,,
party_relationship,last_updated_stamp,datetime,NULL,,,,,
work_effort_category_appl,work_effort_id,varchar(40),NOT NULL,Yes,,,Yes,
work_effort_category_appl,work_effort_category_id,varchar(40),NOT NULL,Yes,,,Yes,
work_effort_category_appl,last_updated_stamp,datetime,NULL,,,,,
db_form_field_option,form_id,varchar(40),NOT NULL,Yes,,,Yes,
db_form_field_option,field_name,nvarchar(80),NOT NULL,Yes,,,Yes,
db_form_field_option,sequence_num,"numeric(20,0)",NOT NULL,Yes,,,Yes,
db_form_field_option,key_value,text,NULL,,,,,
db_form_field_option,text,text,NULL,,,,,
db_form_field_option,last_updated_stamp,datetime,NULL,,,,,
payroll_adjustment_exempt,payroll_adjustment_id,varchar(40),NOT NULL,Yes,,,Yes,
payroll_adjustment_exempt,tax_exempt_enum_id,varchar(40),NOT NULL,Yes,,,Yes,
payroll_adjustment_exempt,last_updated_stamp,datetime,NULL,,,,,
order_tag,order_id,varchar(40),NOT NULL,Yes,,,Yes,
order_tag,tag_type_id,varchar(40),NOT NULL,Yes,,,Yes,
order_tag,from_date,datetime,NOT NULL,Yes,,,Yes,
order_tag,thru_date,datetime,NULL,,,,,
order_tag,user_id,varchar(40),NULL,,,,,
order_tag,last_updated_stamp,datetime,NULL,,,,,
visitor,visitor_id,varchar(40),NOT NULL,Yes,,,Yes,
visitor,created_date,datetime,NULL,,,,,
visitor,last_updated_stamp,datetime,NULL,,,,,
system_message_enum_map,system_message_remote_id,varchar(40),NOT NULL,Yes,,,Yes,
system_message_enum_map,enum_id,varchar(40),NOT NULL,Yes,,,Yes,
system_message_enum_map,mapped_value,varchar(63),NULL,,,,,
system_message_enum_map,last_updated_stamp,datetime,NULL,,,,,
screen_document,screen_location,nvarchar(80),NOT NULL,Yes,,,Yes,
screen_document,doc_index,"numeric(20,0)",NOT NULL,Yes,,,Yes,
screen_document,locale,varchar(63),NULL,,,,,
screen_document,doc_title,text,NULL,,,,,
screen_document,doc_location,text,NULL,,,,,
screen_document,last_updated_stamp,datetime,NULL,,,,,
rate_amount,rate_amount_id,varchar(40),NOT NULL,Yes,,,Yes,
rate_amount,from_date,datetime,NULL,,,,,
rate_amount,thru_date,datetime,NULL,,,,,
rate_amount,rate_type_enum_id,varchar(40),NULL,,,,,
rate_amount,rate_purpose_enum_id,varchar(40),NULL,,,,,
rate_amount,rate_currency_uom_id,varchar(40),NULL,,,,,
rate_amount,time_period_uom_id,varchar(40),NULL,,,,,
rate_amount,work_effort_id,varchar(40),NULL,,,,,
rate_amount,party_id,varchar(40),NULL,,,,,
rate_amount,work_type_enum_id,varchar(40),NULL,,,,,
rate_amount,pay_grade_id,varchar(40),NULL,,,,,
rate_amount,empl_position_class_id,varchar(40),NULL,,,,,
rate_amount,rate_amount,"numeric(26,6)",NULL,,,,,
rate_amount,last_updated_stamp,datetime,NULL,,,,,
credit_profile_attribute_default,attribute_code,varchar(40),NOT NULL,Yes,,,Yes,
credit_profile_attribute_default,credit_bureau_enum_id,varchar(40),NOT NULL,Yes,,,Yes,
credit_profile_attribute_default,default_value,varchar(63),NOT NULL,Yes,,,Yes,
credit_profile_attribute_default,description,text,NULL,,,,,
credit_profile_attribute_default,last_updated_stamp,datetime,NULL,,,,,
order_decision,order_id,varchar(40),NOT NULL,Yes,,,Yes,
order_decision,decision_date,datetime,NOT NULL,Yes,,,Yes,
order_decision,decision_by_party_id,varchar(40),NULL,,,,,
order_decision,status_id,varchar(40),NULL,,,,,
order_decision,invalidated_date,datetime,NULL,,,,,
order_decision,approved_amount,"numeric(26,6)",NULL,,,,,
order_decision,last_updated_stamp,datetime,NULL,,,,,
