Entity Name,Table Name,Entity/Table Definition,Attribute Name,Column Name,Column Index,Attribute/Column Definition,Column Datatype,Column Null Option,Primary Key,Restricted,PII,HashKey,ShortName
product_category,product_category,,product_category_id,product_category_id,0,,varchar(40),NOT NULL,Yes,,,Yes,
product_category,product_category,,pseudo_id,pseudo_id,1,,varchar(63),NULL,,,,,
product_category,product_category,,product_category_type_enum_id,product_category_type_enum_id,2,,varchar(40),NULL,,,,,
product_category,product_category,,category_name,category_name,3,,text,NULL,,,,,
product_category,product_category,,description,description,4,,text,NULL,,,,,
product_category,product_category,,owner_party_id,owner_party_id,5,,varchar(40),NULL,,,,,
product_category,product_category,,display_type_enum_id,display_type_enum_id,6,,varchar(40),NULL,,,,,
product_category,product_category,,last_updated_stamp,last_updated_stamp,7,,datetime,NULL,,,,,
party_relationship,party_relationship,,party_relationship_id,party_relationship_id,0,,varchar(40),NOT NULL,Yes,,,Yes,
party_relationship,party_relationship,,relationship_type_enum_id,relationship_type_enum_id,1,,varchar(40),NULL,,,,,
party_relationship,party_relationship,,from_party_id,from_party_id,2,,varchar(40),NULL,,,,,
party_relationship,party_relationship,,from_role_type_id,from_role_type_id,3,,varchar(40),NULL,,,,,
party_relationship,party_relationship,,to_party_id,to_party_id,4,,varchar(40),NULL,,,,,
party_relationship,party_relationship,,to_role_type_id,to_role_type_id,5,,varchar(40),NULL,,,,,
party_relationship,party_relationship,,from_date,from_date,6,,datetime,NULL,,,,,
party_relationship,party_relationship,,thru_date,thru_date,7,,datetime,NULL,,,,,
party_relationship,party_relationship,,status_id,status_id,8,,varchar(40),NULL,,,,,
party_relationship,party_relationship,,comments,comments,9,,text,NULL,,,,,
party_relationship,party_relationship,,relationship_name,relationship_name,10,,text,NULL,,,,,
party_relationship,party_relationship,,last_updated_stamp,last_updated_stamp,11,,datetime,NULL,,,,,
work_effort_category_appl,work_effort_category_appl,,work_effort_id,work_effort_id,0,,varchar(40),NOT NULL,Yes,,,Yes,
work_effort_category_appl,work_effort_category_appl,,work_effort_category_id,work_effort_category_id,1,,varchar(40),NOT NULL,Yes,,,Yes,
work_effort_category_appl,work_effort_category_appl,,last_updated_stamp,last_updated_stamp,2,,datetime,NULL,,,,,
db_form_field_option,db_form_field_option,,form_id,form_id,0,,varchar(40),NOT NULL,Yes,,,Yes,
db_form_field_option,db_form_field_option,,field_name,field_name,1,,nvarchar(80),NOT NULL,Yes,,,Yes,
db_form_field_option,db_form_field_option,,sequence_num,sequence_num,2,,"numeric(20,0)",NOT NULL,Yes,,,Yes,
db_form_field_option,db_form_field_option,,key_value,key_value,3,,text,NULL,,,,,
db_form_field_option,db_form_field_option,,text,text,4,,text,NULL,,,,,
db_form_field_option,db_form_field_option,,last_updated_stamp,last_updated_stamp,5,,datetime,NULL,,,,,
payroll_adjustment_exempt,payroll_adjustment_exempt,,payroll_adjustment_id,payroll_adjustment_id,0,,varchar(40),NOT NULL,Yes,,,Yes,
payroll_adjustment_exempt,payroll_adjustment_exempt,,tax_exempt_enum_id,tax_exempt_enum_id,1,,varchar(40),NOT NULL,Yes,,,Yes,
payroll_adjustment_exempt,payroll_adjustment_exempt,,last_updated_stamp,last_updated_stamp,2,,datetime,NULL,,,,,
order_tag,order_tag,,order_id,order_id,0,,varchar(40),NOT NULL,Yes,,,Yes,
order_tag,order_tag,,tag_type_id,tag_type_id,1,,varchar(40),NOT NULL,Yes,,,Yes,
order_tag,order_tag,,from_date,from_date,2,,datetime,NOT NULL,Yes,,,Yes,
order_tag,order_tag,,thru_date,thru_date,3,,datetime,NULL,,,,,
order_tag,order_tag,,user_id,user_id,4,,varchar(40),NULL,,,,,
order_tag,order_tag,,last_updated_stamp,last_updated_stamp,5,,datetime,NULL,,,,,
visitor,visitor,,visitor_id,visitor_id,0,,varchar(40),NOT NULL,Yes,,,Yes,
visitor,visitor,,created_date,created_date,1,,datetime,NULL,,,,,
visitor,visitor,,last_updated_stamp,last_updated_stamp,2,,datetime,NULL,,,,,
system_message_enum_map,system_message_enum_map,,system_message_remote_id,system_message_remote_id,0,,varchar(40),NOT NULL,Yes,,,Yes,
system_message_enum_map,system_message_enum_map,,enum_id,enum_id,1,,varchar(40),NOT NULL,Yes,,,Yes,
system_message_enum_map,system_message_enum_map,,mapped_value,mapped_value,2,,varchar(63),NULL,,,,,
system_message_enum_map,system_message_enum_map,,last_updated_stamp,last_updated_stamp,3,,datetime,NULL,,,,,
screen_document,screen_document,,screen_location,screen_location,0,,nvarchar(80),NOT NULL,Yes,,,Yes,
screen_document,screen_document,,doc_index,doc_index,1,,"numeric(20,0)",NOT NULL,Yes,,,Yes,
screen_document,screen_document,,locale,locale,2,,varchar(63),NULL,,,,,
screen_document,screen_document,,doc_title,doc_title,3,,text,NULL,,,,,
screen_document,screen_document,,doc_location,doc_location,4,,text,NULL,,,,,
screen_document,screen_document,,last_updated_stamp,last_updated_stamp,5,,datetime,NULL,,,,,
rate_amount,rate_amount,,rate_amount_id,rate_amount_id,0,,varchar(40),NOT NULL,Yes,,,Yes,
rate_amount,rate_amount,,from_date,from_date,1,,datetime,NULL,,,,,
rate_amount,rate_amount,,thru_date,thru_date,2,,datetime,NULL,,,,,
rate_amount,rate_amount,,rate_type_enum_id,rate_type_enum_id,3,,varchar(40),NULL,,,,,
rate_amount,rate_amount,,rate_purpose_enum_id,rate_purpose_enum_id,4,,varchar(40),NULL,,,,,
rate_amount,rate_amount,,rate_currency_uom_id,rate_currency_uom_id,5,,varchar(40),NULL,,,,,
rate_amount,rate_amount,,time_period_uom_id,time_period_uom_id,6,,varchar(40),NULL,,,,,
rate_amount,rate_amount,,work_effort_id,work_effort_id,7,,varchar(40),NULL,,,,,
rate_amount,rate_amount,,party_id,party_id,8,,varchar(40),NULL,,,,,
rate_amount,rate_amount,,work_type_enum_id,work_type_enum_id,9,,varchar(40),NULL,,,,,
rate_amount,rate_amount,,pay_grade_id,pay_grade_id,10,,varchar(40),NULL,,,,,
rate_amount,rate_amount,,empl_position_class_id,empl_position_class_id,11,,varchar(40),NULL,,,,,
rate_amount,rate_amount,,rate_amount,rate_amount,12,,"numeric(26,6)",NULL,,,,,
rate_amount,rate_amount,,last_updated_stamp,last_updated_stamp,13,,datetime,NULL,,,,,
credit_profile_attribute_default,credit_profile_attribute_default,,attribute_code,attribute_code,0,,varchar(40),NOT NULL,Yes,,,Yes,
credit_profile_attribute_default,credit_profile_attribute_default,,credit_bureau_enum_id,credit_bureau_enum_id,1,,varchar(40),NOT NULL,Yes,,,Yes,
credit_profile_attribute_default,credit_profile_attribute_default,,default_value,default_value,2,,varchar(63),NOT NULL,Yes,,,Yes,
credit_profile_attribute_default,credit_profile_attribute_default,,description,description,3,,text,NULL,,,,,
credit_profile_attribute_default,credit_profile_attribute_default,,last_updated_stamp,last_updated_stamp,4,,datetime,NULL,,,,,
order_decision,order_decision,,order_id,order_id,0,,varchar(40),NOT NULL,Yes,,,Yes,
order_decision,order_decision,,decision_date,decision_date,1,,datetime,NOT NULL,Yes,,,Yes,
order_decision,order_decision,,decision_by_party_id,decision_by_party_id,2,,varchar(40),NULL,,,,,
order_decision,order_decision,,status_id,status_id,3,,varchar(40),NULL,,,,,
order_decision,order_decision,,invalidated_date,invalidated_date,4,,datetime,NULL,,,,,
order_decision,order_decision,,approved_amount,approved_amount,5,,"numeric(26,6)",NULL,,,,,
order_decision,order_decision,,last_updated_stamp,last_updated_stamp,6,,datetime,NULL,,,,,
uom,uom,,uom_id,uom_id,0,,varchar(40),NOT NULL,Yes,,,Yes,
uom,uom,,uom_type_enum_id,uom_type_enum_id,1,,varchar(40),NULL,,,,,
uom,uom,,abbreviation,abbreviation,2,,varchar(63),NULL,,,,,
uom,uom,,description,description,3,,text,NULL,,,,,
uom,uom,,last_updated_stamp,last_updated_stamp,4,,datetime,NULL,,,,,
ruleset_condition_set,ruleset_condition_set,,ruleset_id,ruleset_id,0,,varchar(40),NOT NULL,Yes,,,Yes,
ruleset_condition_set,ruleset_condition_set,,condition_set_id,condition_set_id,1,,varchar(40),NOT NULL,Yes,,,Yes,
ruleset_condition_set,ruleset_condition_set,,last_updated_stamp,last_updated_stamp,2,,datetime,NULL,,,,,
artifact_group,artifact_group,,artifact_group_id,artifact_group_id,0,,varchar(40),NOT NULL,Yes,,,Yes,
artifact_group,artifact_group,,description,description,1,,text,NULL,,,,,
artifact_group,artifact_group,,last_updated_stamp,last_updated_stamp,2,,datetime,NULL,,,,,
party_citizenship,party_citizenship,,party_id,party_id,0,,varchar(40),NOT NULL,Yes,,,Yes,
party_citizenship,party_citizenship,,geo_id,geo_id,1,,varchar(40),NOT NULL,Yes,,,Yes,
party_citizenship,party_citizenship,,from_date,from_date,2,,datetime,NOT NULL,Yes,,,Yes,
party_citizenship,party_citizenship,,thru_date,thru_date,3,,datetime,NULL,,,,,
party_citizenship,party_citizenship,,sequence_num,sequence_num,4,,"numeric(20,0)",NULL,,,,,
party_citizenship,party_citizenship,,last_updated_stamp,last_updated_stamp,5,,datetime,NULL,,,,,
market_segment_condition_set,market_segment_condition_set,,market_segment_id,market_segment_id,0,,varchar(40),NOT NULL,Yes,,,Yes,
market_segment_condition_set,market_segment_condition_set,,condition_set_id,condition_set_id,1,,varchar(40),NOT NULL,Yes,,,Yes,
market_segment_condition_set,market_segment_condition_set,,last_updated_stamp,last_updated_stamp,2,,datetime,NULL,,,,,
agreement_party,agreement_party,,agreement_id,agreement_id,0,,varchar(40),NOT NULL,Yes,,,Yes,
agreement_party,agreement_party,,party_id,party_id,1,,varchar(40),NOT NULL,Yes,,,Yes,
agreement_party,agreement_party,,role_type_id,role_type_id,2,,varchar(40),NOT NULL,Yes,,,Yes,
agreement_party,agreement_party,,last_updated_stamp,last_updated_stamp,3,,datetime,NULL,,,,,
order_resolution_type,order_resolution_type,,order_resolution_type_id,order_resolution_type_id,0,,varchar(40),NOT NULL,Yes,,,Yes,
order_resolution_type,order_resolution_type,,decision_type_enum_id,decision_type_enum_id,1,,varchar(40),NULL,,,,,
order_resolution_type,order_resolution_type,,description,description,2,,text,NULL,,,,,
order_resolution_type,order_resolution_type,,last_updated_stamp,last_updated_stamp,3,,datetime,NULL,,,,,
form_config,form_config,,form_config_id,form_config_id,0,,varchar(40),NOT NULL,Yes,,,Yes,
form_config,form_config,,description,description,1,,text,NULL,,,,,
form_config,form_config,,form_location,form_location,2,,text,NULL,,,,,
form_config,form_config,,config_type_enum_id,config_type_enum_id,3,,varchar(40),NULL,,,,,
form_config,form_config,,last_updated_stamp,last_updated_stamp,4,,datetime,NULL,,,,,
score_factor_option,score_factor_option,,score_factor_id,score_factor_id,0,,varchar(40),NOT NULL,Yes,,,Yes,
score_factor_option,score_factor_option,,factor_option_seq_id,factor_option_seq_id,1,,varchar(40),NOT NULL,Yes,,,Yes,
score_factor_option,score_factor_option,,min_value,min_value,2,,"numeric(26,6)",NULL,,,,,
score_factor_option,score_factor_option,,enum_value,enum_value,3,,text,NULL,,,,,
score_factor_option,score_factor_option,,factor_value,factor_value,4,,"numeric(26,6)",NULL,,,,,
score_factor_option,score_factor_option,,last_updated_stamp,last_updated_stamp,5,,datetime,NULL,,,,,
empl_position_class_work_type,empl_position_class_work_type,,empl_position_class_id,empl_position_class_id,0,,varchar(40),NOT NULL,Yes,,,Yes,
empl_position_class_work_type,empl_position_class_work_type,,work_type_enum_id,work_type_enum_id,1,,varchar(40),NOT NULL,Yes,,,Yes,
empl_position_class_work_type,empl_position_class_work_type,,last_updated_stamp,last_updated_stamp,2,,datetime,NULL,,,,,
credit_info,credit_info,,credit_profile_id,credit_profile_id,0,,varchar(40),NOT NULL,,,,,
credit_info,credit_info,,credit_info_type_enum_id,credit_info_type_enum_id,1,,nvarchar(80),NOT NULL,,,,,
credit_info,credit_info,,value_amount,value_amount,2,,"numeric(26,6)",NULL,,,,,
credit_info,credit_info,,value_text,value_text,3,,nvarchar(80),NULL,,,,,
credit_info,credit_info,,last_updated_stamp,last_updated_stamp,4,,datetime,NULL,,,,,
product_category_rollup,product_category_rollup,,product_category_id,product_category_id,0,,varchar(40),NOT NULL,Yes,,,Yes,
product_category_rollup,product_category_rollup,,parent_product_category_id,parent_product_category_id,1,,varchar(40),NOT NULL,Yes,,,Yes,
product_category_rollup,product_category_rollup,,from_date,from_date,2,,datetime,NOT NULL,Yes,,,Yes,
product_category_rollup,product_category_rollup,,thru_date,thru_date,3,,datetime,NULL,,,,,
product_category_rollup,product_category_rollup,,sequence_num,sequence_num,4,,"numeric(20,0)",NULL,,,,,
product_category_rollup,product_category_rollup,,last_updated_stamp,last_updated_stamp,5,,datetime,NULL,,,,,
gl_journal,gl_journal,,gl_journal_id,gl_journal_id,0,,varchar(40),NOT NULL,Yes,,,Yes,
gl_journal,gl_journal,,gl_journal_type_enum_id,gl_journal_type_enum_id,1,,varchar(40),NULL,,,,,
gl_journal,gl_journal,,gl_journal_name,gl_journal_name,2,,text,NULL,,,,,
gl_journal,gl_journal,,organization_party_id,organization_party_id,3,,varchar(40),NULL,,,,,
gl_journal,gl_journal,,is_posted,is_posted,4,,char(1),NULL,,,,,
gl_journal,gl_journal,,posted_date,posted_date,5,,datetime,NULL,,,,,
gl_journal,gl_journal,,last_updated_stamp,last_updated_stamp,6,,datetime,NULL,,,,,
rule_config,rule_config,,rule_id,rule_id,0,,varchar(40),NOT NULL,Yes,,,Yes,
