Table Name,Column Name,Column Datatype,Column Null Option,Primary Key,Restricted,PII,HashKey,ShortName
GF_TLB_EX_RES_TRENDS_SUM,LNUM,nchar(20),NOT NULL,Yes,,,Yes,
GF_TLB_EX_RES_TRENDS_SUM,BNUM,smallint,NOT NULL,Yes,,,,
GF_TLB_EX_RES_TRENDS_SUM,DBID,nchar(5),NOT NULL,Yes,,,,
GF_TLB_EX_RES_TRENDS_SUM,RESPONSEID,int,NOT NULL,Yes,,,,
GF_TLB_EX_RES_TRENDS_SUM,CREDITRESPONSEID,int,NOT NULL,Yes,,,,
GF_TLB_EX_RES_TRENDS_SUM,VARIATION_IND,nchar(1),NULL,,,,,
GF_TLB_EX_RES_TRENDS_SUM,MONTH_IND,smallint,NULL,,,,,
GF_TLB_EX_RES_TRENDS_SUM,REVOLVE_BAL_TTL,"decimal(18,3)",NULL,,,,,
GF_TLB_EX_RES_TRENDS_SUM,REVOLVE_BAL_AVG,"decimal(18,3)",NULL,,,,,
GF_TLB_EX_RES_TRENDS_SUM,PERCENT_UTILIZED,smallint,NULL,,,,,
GF_TLB_EX_RES_TRENDS_SUM,BANK_NAT_CARDS,smallint,NULL,,,,,
GF_TLB_EX_RES_TRENDS_SUM,RETAIL_CARDS,smallint,NULL,,,,,
GF_TLB_EX_RES_TRENDS_SUM,CARD_WITH_BALANCE,smallint,NULL,,,,,
GF_TLR_FLOOD_DETMN,LNUM,nchar(20),NOT NULL,Yes,,,Yes,
GF_TLR_FLOOD_DETMN,DBID,nchar(5),NOT NULL,Yes,,,,
GF_TLR_FLOOD_DETMN,RESPONSEID,int,NOT NULL,Yes,,,,
GF_TLR_FLOOD_DETMN,FLOODRESPONSEID,int,NOT NULL,Yes,,,,
GF_TLR_FLOOD_DETMN,FLOOD_CERT_ID,nvarchar(35),NULL,,,,,
GF_TLR_FLOOD_DETMN,FLOOD_CERT_DATE,datetime,NULL,,,,,
GF_TLR_FLOOD_DETMN,FLOOD_CERT_TRANS_IND,nchar(1),NULL,,,,,
GF_TLR_FLOOD_DETMN,FLOOD_CERT_LIFELOAN,nchar(1),NULL,,,,,
