Table Name,Column Name,Column Datatype,Column Null Option,Primary Key
ACCT_FEES,LNUM,nchar(20),NOT NULL,Yes
ACCT_FEES,ASVRPRM,"decimal(16,6)",NULL,
ACCT_FEES,AMISCFEE,"decimal(16,6)",NULL,
ACCT_FEES,ABYDNTT,"decimal(16,6)",NULL,
ACCT_FEES,AAMTWHD,"decimal(16,6)",NULL,
ACCT_FEES,APERDIEM,"decimal(16,6)",NULL,
ACCT_FEES,AIMPDS,"decimal(16,6)",NULL,
ACCT_FEES,ATAXSVR,"decimal(16,6)",NULL,
ACCT_FEES,AINVFF,"decimal(16,6)",NULL,
ACCT_FEES,ADISCAMT,"decimal(16,6)",NULL,
ACCT_FEES,ADISCPEC,"decimal(16,6)",NULL,
ACCT_FEES,ANUMPMTS,smallint,NULL,
ACCT_FEES,AODDAYS,smallint,NULL,
ACCT_FEES,A1STDUEI,datetime,NULL,
ACCT_FEES,APMTAMT,"decimal(16,6)",NULL,
ACCT_FEES,AINVWIRE,"decimal(16,6)",NULL,
ACCT_FEES,AADVAMT,"decimal(16,6)",NULL,
ACCT_FEES,AADVPCT,"decimal(16,6)",NULL,
ACT1098,S_ACTIVITY,nvarchar(8),NOT NULL,Yes
ACT1098,SRCENV,nvarchar(5),NULL,
ACT1098,REC_CUSTOM,nchar(1),NULL,
ACT1098,CREATE_DATE,datetime,NULL,
ACT1098,MODIFY_DATE,datetime,NULL,
ACTDOCS,S_ACTIVI,nvarchar(8),NOT NULL,Yes
ACTDOCS,S_ACTDOC,nvarchar(8),NOT NULL,Yes
ACTDOCS,DOCORDER,int,NOT NULL,
ACTDOCS,SRCENV,nvarchar(5),NULL,
ACTDOCS,REC_CUSTOM,nchar(1),NULL,
ACTDOCS,CREATE_DATE,datetime,NULL,
ACTDOCS,MODIFY_DATE,datetime,NULL,
ACTIVITY,S_ACTIVI,nvarchar(8),NOT NULL,Yes
ACTIVITY,TIMEALLT,smallint,NULL,
ACTIVITY,TIMETYPE,smallint,NULL,
ACTIVITY,INITIALACT,nchar(1),NULL,
ACTIVITY,SRCENV,nvarchar(5),NULL,
ACTIVITY,REC_CUSTOM,nchar(1),NULL,
ACTIVITY,CREATE_DATE,datetime,NULL,
ACTIVITY,MODIFY_DATE,datetime,NULL,
ACTQUERY,S_ACTIVI,nvarchar(8),NOT NULL,Yes
ACTQUERY,S_QUERY,nvarchar(8),NOT NULL,Yes
ACTQUERY,DEFFLAG,int,NOT NULL,Yes
ACTQUERY,SRCENV,nvarchar(5),NULL,
ACTQUERY,REC_CUSTOM,nchar(1),NULL,
ACTQUERY,CREATE_DATE,datetime,NULL,
ACTQUERY,MODIFY_DATE,datetime,NULL,
ACTSKSTP,S_ACTIVI,nvarchar(8),NOT NULL,Yes
ACTSKSTP,S_TASK,nvarchar(8),NOT NULL,Yes
ACTSKSTP,S_STEP,nvarchar(8),NOT NULL,Yes
ACTSKSTP,STEPREL,smallint,NOT NULL,
ACTSKSTP,STEPORD,smallint,NULL,
ACTSTAT,S_ACTIVI,nvarchar(8),NOT NULL,Yes
ACTSTAT,S_RETSTA,nvarchar(8),NOT NULL,Yes
ACTSTAT,RETORDER,int,NULL,
ACTSTAT,SRCENV,nvarchar(5),NULL,
ACTSTAT,REC_CUSTOM,nchar(1),NULL,
ACTSTAT,CREATE_DATE,datetime,NULL,
ACTSTAT,MODIFY_DATE,datetime,NULL,
ACTTASK,S_ACTIVI,nvarchar(8),NOT NULL,Yes
ACTTASK,S_TASK,nvarchar(8),NOT NULL,Yes
ACTTASK,TASKORD,int,NOT NULL,
ACTTASK,ACTRELT,smallint,NOT NULL,
ACTTASK,SRCENV,nvarchar(5),NULL,
ACTTASK,REC_CUSTOM,nchar(1),NULL,
ACTTASK,CREATE_DATE,datetime,NULL,
ACTTASK,MODIFY_DATE,datetime,NULL,
ADV_ACTN,LNUM,nchar(20),NOT NULL,Yes
ADV_ACTN,NOFILE,nchar(1),NULL,
ADV_ACTN,INSUFFCR,nchar(1),NULL,
ADV_ACTN,INSUFFLE,nchar(1),NULL,
ADV_ACTN,GARNISH,nchar(1),NULL,
ADV_ACTN,EXCSVOBL,nchar(1),NULL,
ADV_ACTN,PAYMTUNA,nchar(1),NULL,
ADV_ACTN,CASHLACK,nchar(1),NULL,
ADV_ACTN,BANKRUPT,nchar(1),NULL,
ADV_ACTN,DELCRDOB,nchar(1),NULL,
ADV_ACTN,VRFYCRDT,nchar(1),NULL,
ADV_ACTN,POORCRED,nchar(1),NULL,
ADV_ACTN,CRDTREF,nchar(1),NULL,
ADV_ACTN,LIMCRDT,nchar(1),NULL,
ADV_ACTN,VRFYEMPL,nchar(1),NULL,
ADV_ACTN,EMPLENG,nchar(1),NULL,
ADV_ACTN,EMPLTEMP,nchar(1),NULL,
ADV_ACTN,INSUFINC,nchar(1),NULL,
ADV_ACTN,VRFYINCM,nchar(1),NULL,
ADV_ACTN,INCEXCIN,nchar(1),NULL,
ADV_ACTN,TEMPRES,nchar(1),NULL,
ADV_ACTN,RESLENG,nchar(1),NULL,
ADV_ACTN,VRFYRES,nchar(1),NULL,
ADV_ACTN,DENY_HUD,nchar(1),NULL,
ADV_ACTN,DENY_VA,nchar(1),NULL,
ADV_ACTN,DENYFNMA,nchar(1),NULL,
ADV_ACTN,DENFHLMC,nchar(1),NULL,
ADV_ACTN,DENOTHR1,nchar(1),NULL,
ADV_ACTN,DENOTH1D,nvarchar(40),NULL,
ADV_ACTN,INSUFFND,nchar(1),NULL,
ADV_ACTN,APPINCMP,nchar(1),NULL,
ADV_ACTN,COLLSUFF,nchar(1),NULL,
ADV_ACTN,CLT_PROP,nchar(1),NULL,
ADV_ACTN,CLT_DATA,nchar(1),NULL,
ADV_ACTN,CLT_APRL,nchar(1),NULL,
ADV_ACTN,CLT_LEAS,nchar(1),NULL,
ADV_ACTN,NOCREDIT,nchar(1),NULL,
ADV_ACTN,NOCRDT_D,nvarchar(19),NULL,
ADV_ACTN,OTHERBX1,nchar(1),NULL,
ADV_ACTN,OTHRBX1D,nvarchar(80),NULL,
ADV_ACTN,OTSDSOUR,nchar(1),NULL,
ADV_ACTN,INFOBTND,nchar(1),NULL,
ADV_ACTN,CRDT_OTH,nchar(1),NULL,
ADV_ACTN,CRDTAGY1,nvarchar(25),NULL,
ADV_ACTN,CRDT1AD1,nvarchar(35),NULL,
ADV_ACTN,CRDT1AD2,nvarchar(35),NULL,
ADV_ACTN,CRDTCTY1,nvarchar(25),NULL,
ADV_ACTN,CRDTST1,nvarchar(2),NULL,
