Entity Name,Table Name,Entity/Table Definition,Entity/Table Owner,Attribute Name,Column Name,Attribute/Column Definition,Domain,Column Datatype,Column Null Option,Primary Key
COUNTY,COUNTY,,dbo,STCODE,STCODE,,,nvarchar(16),NOT NULL,Yes
COUNTY,COUNTY,,dbo,CNTYCODE,CNTYCODE,,,nvarchar(16),NOT NULL,Yes
COUNTY,COUNTY,,dbo,COUNTYDATA,COUNTYDATA,,,nvarchar(80),NULL,No
COUNTY,COUNTY,,dbo,SRCENV,SRCENV,,,nvarchar(5),NULL,No
COUNTY,COUNTY,,dbo,REC_CUSTOM,REC_CUSTOM,,,nchar(1),NULL,No
COUNTY,COUNTY,,dbo,CREATE_DATE,CREATE_DATE,,,datetime,NULL,No
COUNTY,COUNTY,,dbo,MODIFY_DATE,MODIFY_DATE,,,datetime,NULL,No
CONSREFI,CONSREFI,,dbo,LNUM,LNUM,,,nchar(20),NOT NULL,Yes
CONSREFI,CONSREFI,,dbo,ORIGCOST,ORIGCOST,,,"decimal(18,3)",NULL,No
CONSREFI,CONSREFI,,dbo,AMTEXLN,AMTEXLN,,,"decimal(18,3)",NULL,No
CONSREFI,CONSREFI,,dbo,PRESVAL,PRESVAL,,,"decimal(18,3)",NULL,No
CONSREFI,CONSREFI,,dbo,CSTIMPRO,CSTIMPRO,,,"decimal(18,3)",NULL,No
CONSREFI,CONSREFI,,dbo,IMPDESC,IMPDESC,,,nvarchar(80),NULL,No
CONSREFI,CONSREFI,,dbo,S_REFPRP,S_REFPRP,,,nvarchar(8),NULL,No
CONSREFI,CONSREFI,,dbo,IMPMADE,IMPMADE,,,nchar(1),NULL,No
CONSREFI,CONSREFI,,dbo,LOTACQUR,LOTACQUR,,,datetime,NULL,No
CONSREFI,CONSREFI,,dbo,REFIIMP,REFIIMP,,,"decimal(18,3)",NULL,No
CONSREFI,CONSREFI,,dbo,CASHAMT,CASHAMT,,,"decimal(18,3)",NULL,No
CONSREFI,CONSREFI,,dbo,S_GSE_REFINANCE_PURPOSE,S_GSE_REFINANCE_PURPOSE,,,nvarchar(8),NULL,No
CONSREFI,CONSREFI,,dbo,S_CONST_PERM_CLOSING,S_CONST_PERM_CLOSING,,,nvarchar(8),NULL,No
CONSREFI,CONSREFI,,dbo,INTERNREFI,INTERNREFI,,,nchar(1),NULL,No
CONSREFI,CONSREFI,,dbo,ORIG_INVESTOR_LOAN_NBR,ORIG_INVESTOR_LOAN_NBR,,,nvarchar(30),NULL,No
CONSREFI,CONSREFI,,dbo,S_ORIG_INVESTOR,S_ORIG_INVESTOR,,,nvarchar(8),NULL,No
CONSREFI,CONSREFI,,dbo,OTHER_INVESTOR_DESC,OTHER_INVESTOR_DESC,,,nvarchar(50),NULL,No
CONSREFI,CONSREFI,,dbo,OTHERGSEREFIPURPTYPEDESC,OTHERGSEREFIPURPTYPEDESC,,,nvarchar(80),NULL,No
CONSREFI,CONSREFI,,dbo,REPLACE_EXIST_CONSTR_LOAN,REPLACE_EXIST_CONSTR_LOAN,,,nchar(1),NULL,No
CONSREFI,CONSREFI,,dbo,FIR_MAX_MONTHLY_AMT,FIR_MAX_MONTHLY_AMT,,,int,NULL,No
CONSREFI,CONSREFI,,dbo,PREVIOUS_REFI_MONTHS,PREVIOUS_REFI_MONTHS,,,int,NULL,No
CONSREFI,CONSREFI,,dbo,CO_REFI_PURCH_CONST,CO_REFI_PURCH_CONST,,,nchar(1),NULL,No
CONSREFI,CONSREFI,,dbo,S_CONST_PERM_FEATURE,S_CONST_PERM_FEATURE,,,nvarchar(8),NULL,No
CONSREFI,CONSREFI,,dbo,S_FNM_REFI_PGM,S_FNM_REFI_PGM,,,nvarchar(8),NULL,No
CONSREFI,CONSREFI,,dbo,S_FRE_REFI_PGM,S_FRE_REFI_PGM,,,nvarchar(8),NULL,No
CONSREFI,CONSREFI,,dbo,LIMIT_DESC,LIMIT_DESC,,,nvarchar(80),NULL,No
CONSREFI,CONSREFI,,dbo,REFI_LOAN_ACCT_NBR,REFI_LOAN_ACCT_NBR,,,nvarchar(20),NULL,No
CONSLDT2,CONSLDT2,,dbo,LNUM,LNUM,,,nchar(20),NOT NULL,Yes
CONSLDT2,CONSLDT2,,dbo,CNSLDCNT,CNSLDCNT,,,int,NOT NULL,Yes
CONSLDT2,CONSLDT2,,dbo,DBID,DBID,,,nchar(5),NOT NULL,Yes
CONSLDT2,CONSLDT2,,dbo,BORNAMS,BORNAMS,,,nvarchar(80),NULL,No
CONSLDT2,CONSLDT2,,dbo,CLOSDAT,CLOSDAT,,,datetime,NULL,No
CONSLDT2,CONSLDT2,,dbo,DATEREC,DATEREC,,,datetime,NULL,No
CONSLDT2,CONSLDT2,,dbo,LENDER,LENDER,,,nvarchar(40),NULL,No
CONSLDT2,CONSLDT2,,dbo,ORIGPRIN,ORIGPRIN,,,"decimal(18,3)",NULL,No
CONSLDT2,CONSLDT2,,dbo,UNPDAMT,UNPDAMT,,,"decimal(18,3)",NULL,No
CONSLDT2,CONSLDT2,,dbo,OFFDESC,OFFDESC,,,nvarchar(40),NULL,No
CONSLDT2,CONSLDT2,,dbo,RECRDST,RECRDST,,,nchar(2),NULL,No
CONSLDT2,CONSLDT2,,dbo,RECRDCTY,RECRDCTY,,,nvarchar(35),NULL,No
CONSLDT2,CONSLDT2,,dbo,VOLNUM,VOLNUM,,,nvarchar(20),NULL,No
CONSLDT2,CONSLDT2,,dbo,BOOKNUM,BOOKNUM,,,nvarchar(20),NULL,No
CONSLDT2,CONSLDT2,,dbo,PAGENUM,PAGENUM,,,nvarchar(20),NULL,No
CONSLDT2,CONSLDT2,,dbo,RECDCITY,RECDCITY,,,nvarchar(20),NULL,No
CONSLDT2,CONSLDT2,,dbo,RECRDCTV,RECRDCTV,,,nchar(1),NULL,No
CONSLDT2,CONSLDT2,,dbo,SEC_NOTE_NAME,SEC_NOTE_NAME,,,nvarchar(80),NULL,No
CONSLDT2,CONSLDT2,,dbo,MORTGAGE_ASSIGNED,MORTGAGE_ASSIGNED,,,nchar(1),NULL,No
CONSLDT2,CONSLDT2,,dbo,ASSIGNEE,ASSIGNEE,,,nvarchar(80),NULL,No
CONSLDT2,CONSLDT2,,dbo,SEC_NOTE_DATE,SEC_NOTE_DATE,,,datetime,NULL,No
CONSLDT2,CONSLDT2,,dbo,SECINSTNAME,SECINSTNAME,,,nvarchar(35),NULL,No
CONSLDT1,CONSLDT1,,dbo,LNUM,LNUM,,,nchar(20),NOT NULL,Yes
CONSLDT1,CONSLDT1,,dbo,NUMBCONS,NUMBCONS,,,smallint,NULL,No
CONSLDT1,CONSLDT1,,dbo,TOTLADV,TOTLADV,,,"decimal(18,3)",NULL,No
CONSLDT1,CONSLDT1,,dbo,TITLENUM,TITLENUM,,,nvarchar(20),NULL,No
COMMITQRY,COMMITQRY,,dbo,DBCODE,DBCODE,,,nvarchar(8),NOT NULL,Yes
COMMITQRY,COMMITQRY,,dbo,DBID,DBID,,,nchar(5),NULL,No
COMMITQRY,COMMITQRY,,dbo,SERIALNO,SERIALNO,,,int,NULL,No
COMMITQRY,COMMITQRY,,dbo,TIER,TIER,,,nchar(1),NULL,No
DU_MSGS,DU_MSGS,,dbo,LNUM,LNUM,,,nchar(20),NOT NULL,Yes
