Entity Name,Table Name,Entity/Table Definition,Attribute Name,Column Name,Column Index,Attribute/Column Definition,Column Datatype,Column Null Option,Primary Key,Restricted,PII,HashKey,ShortName
CONSREFI,CONSREFI,,LNUM,LNUM,0,,nchar(20),NOT NULL,Yes,,,,
CONSREFI,CONSREFI,,ORIGCOST,ORIGCOST,1,,"decimal(18,3)",NULL,,,,,
CONSREFI,CONSREFI,,AMTEXLN,AMTEXLN,2,,"decimal(18,3)",NULL,,,,,
CONSREFI,CONSREFI,,PRESVAL,PRESVAL,3,,"decimal(18,3)",NULL,,,,,
CONSREFI,CONSREFI,,CSTIMPRO,CSTIMPRO,4,,"decimal(18,3)",NULL,,,,,
CONSREFI,CONSREFI,,IMPDESC,IMPDESC,5,,nvarchar(80),NULL,,,,,
CONSREFI,CONSREFI,,S_REFPRP,S_REFPRP,6,,nvarchar(8),NULL,,,,,
CONSREFI,CONSREFI,,IMPMADE,IMPMADE,7,,nchar(1),NULL,,,,,
CONSREFI,CONSREFI,,LOTACQUR,LOTACQUR,8,,datetime,NULL,,,,,
CONSREFI,CONSREFI,,REFIIMP,REFIIMP,9,,"decimal(18,3)",NULL,,,,,
CONSREFI,CONSREFI,,CASHAMT,CASHAMT,10,,"decimal(18,3)",NULL,,,,,
CONSREFI,CONSREFI,,S_GSE_REFINANCE_PURPOSE,S_GSE_REFINANCE_PURPOSE,11,,nvarchar(8),NULL,,,,,
CONSREFI,CONSREFI,,S_CONST_PERM_CLOSING,S_CONST_PERM_CLOSING,12,,nvarchar(8),NULL,,,,,
CONSREFI,CONSREFI,,INTERNREFI,INTERNREFI,13,,nchar(1),NULL,,,,,
CONSREFI,CONSREFI,,ORIG_INVESTOR_LOAN_NBR,ORIG_INVESTOR_LOAN_NBR,14,,nvarchar(30),NULL,,,,,
CONSREFI,CONSREFI,,S_ORIG_INVESTOR,S_ORIG_INVESTOR,15,,nvarchar(8),NULL,,,,,
CONSREFI,CONSREFI,,OTHER_INVESTOR_DESC,OTHER_INVESTOR_DESC,16,,nvarchar(50),NULL,,,,,
CONSREFI,CONSREFI,,OTHERGSEREFIPURPTYPEDESC,OTHERGSEREFIPURPTYPEDESC,17,,nvarchar(80),NULL,,,,,
CONSREFI,CONSREFI,,REPLACE_EXIST_CONSTR_LOAN,REPLACE_EXIST_CONSTR_LOAN,18,,nchar(1),NULL,,,,,
CONSREFI,CONSREFI,,FIR_MAX_MONTHLY_AMT,FIR_MAX_MONTHLY_AMT,19,,int,NULL,,,,,
