State,Change,Ordinal,Table Name,Column Name,Column Datatype,Column Null Option,Primary Key,Restricted,PII
Current,,5192,ADV_ACTN,LNUM,nchar(20),NOT NULL,Yes,,
Current,,5193,ADV_ACTN,NOFILE,nchar(1),NULL,,,
Current,,5194,ADV_ACTN,INSUFFCR,nchar(1),NULL,,,
Current,,5195,ADV_ACTN,INSUFFLE,nchar(1),NULL,,,
Current,,5196,ADV_ACTN,GARNISH,nchar(1),NULL,,,
Current,,5197,ADV_ACTN,EXCSVOBL,nchar(1),NULL,,,
Current,,5198,ADV_ACTN,PAYMTUNA,nchar(1),NULL,,,
Current,,5199,ADV_ACTN,CASHLACK,nchar(1),NULL,,,
Current,,5200,ADV_ACTN,BANKRUPT,nchar(1),NULL,,,
Current,,5201,ADV_ACTN,DELCRDOB,nchar(1),NULL,,,
Current,,5202,ADV_ACTN,VRFYCRDT,nchar(1),NULL,,,
Current,,5203,ADV_ACTN,POORCRED,nchar(1),NULL,,,
Current,,5204,ADV_ACTN,CRDTREF,nchar(1),NULL,,,
Current,,5205,ADV_ACTN,LIMCRDT,nchar(1),NULL,,,
Current,,5206,ADV_ACTN,VRFYEMPL,nchar(1),NULL,,,
Current,,5207,ADV_ACTN,EMPLENG,nchar(1),NULL,,,
Current,,5208,ADV_ACTN,EMPLTEMP,nchar(1),NULL,,,
Current,,5209,ADV_ACTN,INSUFINC,nchar(1),NULL,,,
Current,,5210,ADV_ACTN,VRFYINCM,nchar(1),NULL,,,
Current,,5211,ADV_ACTN,INCEXCIN,nchar(1),NULL,,,
Current,,5212,ADV_ACTN,TEMPRES,nchar(1),NULL,,,
Current,,5213,ADV_ACTN,RESLENG,nchar(1),NULL,,,
Current,,5214,ADV_ACTN,VRFYRES,nchar(1),NULL,,,
Current,,5215,ADV_ACTN,DENY_HUD,nchar(1),NULL,,,
Current,,5216,ADV_ACTN,DENY_VA,nchar(1),NULL,,,
Current,,5217,ADV_ACTN,DENYFNMA,nchar(1),NULL,,,
Current,,5218,ADV_ACTN,DENFHLMC,nchar(1),NULL,,,
Current,,5219,ADV_ACTN,DENOTHR1,nchar(1),NULL,,,
Current,,5220,ADV_ACTN,DENOTH1D,nvarchar(40),NULL,,,
Current,,5221,ADV_ACTN,INSUFFND,nchar(1),NULL,,,
Current,,5222,ADV_ACTN,APPINCMP,nchar(1),NULL,,,
Current,,5223,ADV_ACTN,COLLSUFF,nchar(1),NULL,,,
Current,,5224,ADV_ACTN,CLT_PROP,nchar(1),NULL,,,
Current,,5225,ADV_ACTN,CLT_DATA,nchar(1),NULL,,,
Current,,5226,ADV_ACTN,CLT_APRL,nchar(1),NULL,,,
Current,,5227,ADV_ACTN,CLT_LEAS,nchar(1),NULL,,,
Current,,5228,ADV_ACTN,NOCREDIT,nchar(1),NULL,,,
Current,,5229,ADV_ACTN,NOCRDT_D,nvarchar(19),NULL,,,
Current,,5230,ADV_ACTN,OTHERBX1,nchar(1),NULL,,,
Current,,5231,ADV_ACTN,OTHRBX1D,nvarchar(80),NULL,,,
Current,,5232,ADV_ACTN,OTSDSOUR,nchar(1),NULL,,,
Current,,5233,ADV_ACTN,INFOBTND,nchar(1),NULL,,,
Current,,5234,ADV_ACTN,CRDT_OTH,nchar(1),NULL,,,
Current,,5235,ADV_ACTN,CRDTAGY1,nvarchar(25),NULL,,,
