TableName,ColumnName,Ordinal,DataType,NotNull,PrimaryKey,Restricted,PII,TableName,ColumnName,Ordinal,DataType,NotNull,PrimaryKey,Restricted,PII,State
GF_TLBC_TU_RES_PUB_REC,ECOA,3056,nchar(1),False,False,False,False,GF_TLBC_TU_RES_PUB_REC,ECOA,42225,nvarchar(25),False,False,False,False,Update
GF_TLBC_TU_RES_PUB_REC,PR_SOURCE_CODE,3067,nchar(2),False,False,False,False,GF_TLBC_TU_RES_PUB_REC,PR_SOURCE_CODE,42236,nvarchar(25),False,False,False,False,Update
WG_RPT_WORKFLOW,LNUM,6065,nchar(20),False,True,False,False,WG_RPT_WORKFLOW,LNUM,45234,nchar(20),False,False,False,False,Update
WG_RPT_LOAN_REMARKS,RMKID,6300,int,True,False,False,False,WG_RPT_LOAN_REMARKS,RMKID,45469,int,True,True,False,False,Update
GF_TLR_DISBURSEMENTS,ACH_ACCOUNT_TYPE,9607,varchar(8),False,False,False,False,GF_TLR_DISBURSEMENTS,ACH_ACCOUNT_TYPE,48776,varchar(1),False,False,False,False,Update
GF_TLR_DISBURSEMENTS,ACH_DEBIT_OR_CREDIT,9608,varchar(8),False,False,False,False,GF_TLR_DISBURSEMENTS,ACH_DEBIT_OR_CREDIT,48777,varchar(1),False,False,False,False,Update
GF_TLR_DISBURSEMENTS,ACH_ROUTING_NUMBER,9609,varchar(30),False,False,False,False,GF_TLR_DISBURSEMENTS,ACH_ROUTING_NUMBER,48778,varchar(1),False,False,False,False,Update
GF_TLR_DISBURSEMENTS,ACH_ACCOUNT_NUMBER,9610,varchar(30),False,False,False,False,GF_TLR_DISBURSEMENTS,ACH_ACCOUNT_NUMBER,48779,varchar(1),False,False,False,False,Update
VARTXT,LNUM,11995,nchar(20),False,True,False,False,VARTXT,LNUM,51164,nchar(20),False,False,False,False,Update
WG_BULK_IMPORT_DATA,LNUM,12085,nchar(20),False,True,False,False,WG_BULK_IMPORT_DATA,LNUM,51254,nchar(20),False,False,False,False,Update
GF_TLBC_TU_RES_TRADELINE,TERMS_FREQUENCY,14050,nchar(1),False,False,False,False,GF_TLBC_TU_RES_TRADELINE,TERMS_FREQUENCY,53219,nvarchar(15),False,False,False,False,Update
GF_TLBC_TU_RES_TRADELINE,CLOSED_DATE_IND,14053,nchar(1),False,False,False,False,GF_TLBC_TU_RES_TRADELINE,CLOSED_DATE_IND,53222,nvarchar(10),False,False,False,False,Update
GF_TLBC_TU_RES_TRADELINE,PMT_SCHED_TYPE_CODE,14069,nchar(1),False,False,False,False,GF_TLBC_TU_RES_TRADELINE,PMT_SCHED_TYPE_CODE,53238,nvarchar(10),False,False,False,False,Update
GF_TLBC_TU_RES_TRADELINE,PORTFOLIO_SALE_CODE,14071,nchar(1),False,False,False,False,GF_TLBC_TU_RES_TRADELINE,PORTFOLIO_SALE_CODE,53240,nvarchar(15),False,False,False,False,Update
GF_TLBR_BORROWERID,IDENTIFICATION_NUMBER,21061,nvarchar(35),False,False,False,False,GF_TLBR_BORROWERID,IDENTIFICATION_NUMBER,60230,nvarchar(100),False,False,False,False,Update
GF_TLBR_BORROWERID,IDENTIFICATION_ORIGIN,21062,nvarchar(35),False,False,False,False,GF_TLBR_BORROWERID,IDENTIFICATION_ORIGIN,60231,nvarchar(100),False,False,False,False,Update
GF_TLBC_TU_RES_GEOCODE,ADDRESS_IND,24190,nchar(1),False,False,False,False,GF_TLBC_TU_RES_GEOCODE,ADDRESS_IND,63359,nvarchar(15),False,False,False,False,Update
