Step,Name,Count
FilterSourceActivity,Table count,188
FilterSourceActivity,PII count,6205
FilterSourceActivity,Restricted count,6205
ModelActivity,Input table count,188
ModelActivity,Schema count,7
ModelActivity,Table count,188
ModelActivity,Prefix columns count,2
ModelActivity,Suffix columns count,10
ModelActivity,Relationships columns count,1
ModelActivity,LookupRelationships columns count,0
ModelActivity,Schema count,7
ModelActivity,Table count,188
ModelActivity,Prefix columns count,2
ModelActivity,Suffix columns count,10
ModelActivity,Relationships columns count,1
ModelActivity,LookupRelationships columns count,0
